cve_id,package,version,ecosystem,cvss_score,severity,status,fix_version,notes
CVE-2025-27462,util-epsilon-036,3.1.4,npm,1.5,LOW,PATCHED,,Automated scan finding
CVE-2024-36832,util-zeta-037,1.0.0,cargo,4.9,LOW,OPEN,,Automated scan finding
CVE-2022-14148,util-eta-038,0.5.2,pypi,3.7,LOW,N/A,,Automated scan finding
CVE-2025-59077,util-theta-039,4.2.0,gomod,2.8,MEDIUM,PATCHED,,Automated scan finding
CVE-2024-62943,util-alpha-040,0.1.0,npm,0.9,MEDIUM,PATCHED,,Automated scan finding
CVE-2023-93180,util-beta-041,1.2.3,cargo,3.2,INFO,PATCHED,,Automated scan finding
CVE-2022-54765,util-gamma-042,2.0.1,pypi,3.6,LOW,OPEN,,Automated scan finding
CVE-2023-94781,util-delta-043,0.9.0,gomod,5.6,LOW,N/A,,Automated scan finding
CVE-2025-34653,util-epsilon-044,3.1.4,npm,2.4,LOW,PATCHED,,Automated scan finding
CVE-2021-41663,util-zeta-045,1.0.0,cargo,2.1,MEDIUM,PATCHED,,Automated scan finding
CVE-2025-39179,util-eta-046,0.5.2,pypi,4.4,MEDIUM,PATCHED,,Automated scan finding
CVE-2022-71356,util-theta-047,4.2.0,gomod,5.7,INFO,OPEN,,Automated scan finding
CVE-2020-70398,util-alpha-048,0.1.0,npm,2.2,LOW,N/A,,Automated scan finding
CVE-2022-58949,util-beta-049,1.2.3,cargo,5.0,LOW,PATCHED,,Automated scan finding
CVE-2024-38616,util-gamma-050,2.0.1,pypi,4.6,LOW,PATCHED,,Automated scan finding
CVE-2023-80064,util-delta-051,0.9.0,gomod,2.6,MEDIUM,PATCHED,,Automated scan finding
CVE-2024-15134,util-epsilon-052,3.1.4,npm,5.8,MEDIUM,OPEN,,Automated scan finding
CVE-2021-65318,util-zeta-053,1.0.0,cargo,2.8,INFO,N/A,,Automated scan finding
CVE-2023-16412,util-eta-054,0.5.2,pypi,0.5,LOW,PATCHED,,Automated scan finding
CVE-2022-61109,util-theta-055,4.2.0,gomod,5.6,LOW,PATCHED,,Automated scan finding
CVE-2020-70246,util-alpha-056,0.1.0,npm,1.1,LOW,PATCHED,,Automated scan finding
CVE-2024-40768,util-beta-057,1.2.3,cargo,3.6,MEDIUM,OPEN,,Automated scan finding
CVE-2020-26106,util-gamma-058,2.0.1,pypi,2.7,MEDIUM,N/A,,Automated scan finding
CVE-2021-35134,util-delta-059,0.9.0,gomod,0.3,INFO,PATCHED,,Automated scan finding
CVE-2022-35579,util-epsilon-060,3.1.4,npm,0.5,LOW,PATCHED,,Automated scan finding
CVE-2025-59544,util-zeta-061,1.0.0,cargo,1.9,LOW,PATCHED,,Automated scan finding
CVE-2023-97906,util-eta-062,0.5.2,pypi,5.0,LOW,OPEN,,Automated scan finding
CVE-2022-18884,util-theta-063,4.2.0,gomod,5.2,MEDIUM,N/A,,Automated scan finding
CVE-2024-22343,util-alpha-064,0.1.0,npm,3.2,MEDIUM,PATCHED,,Automated scan finding
CVE-2020-77886,util-beta-065,1.2.3,cargo,1.8,INFO,PATCHED,,Automated scan finding
CVE-2021-75839,util-gamma-066,2.0.1,pypi,3.5,LOW,PATCHED,,Automated scan finding
CVE-2023-88228,util-delta-067,0.9.0,gomod,1.8,LOW,OPEN,,Automated scan finding
CVE-2025-99884,util-epsilon-068,3.1.4,npm,3.7,LOW,N/A,,Automated scan finding
CVE-2021-20958,util-zeta-069,1.0.0,cargo,3.2,MEDIUM,PATCHED,,Automated scan finding
CVE-2022-91284,util-eta-070,0.5.2,pypi,3.4,MEDIUM,PATCHED,,Automated scan finding
CVE-2023-85391,util-theta-071,4.2.0,gomod,2.0,INFO,PATCHED,,Automated scan finding
CVE-2023-46296,util-alpha-072,0.1.0,npm,4.6,LOW,OPEN,,Automated scan finding
CVE-2024-63830,util-beta-073,1.2.3,cargo,4.1,LOW,N/A,,Automated scan finding
CVE-2025-33681,util-gamma-074,2.0.1,pypi,3.9,LOW,PATCHED,,Automated scan finding
CVE-2020-31662,util-delta-075,0.9.0,gomod,1.1,MEDIUM,PATCHED,,Automated scan finding
CVE-2024-44200,util-epsilon-076,3.1.4,npm,2.4,MEDIUM,PATCHED,,Automated scan finding
CVE-2024-77111,util-zeta-077,1.0.0,cargo,0.5,INFO,OPEN,,Automated scan finding
CVE-2022-74523,util-eta-078,0.5.2,pypi,2.8,LOW,N/A,,Automated scan finding
CVE-2020-27255,util-theta-079,4.2.0,gomod,5.5,LOW,PATCHED,,Automated scan finding
CVE-2020-16694,util-alpha-080,0.1.0,npm,5.1,LOW,PATCHED,,Automated scan finding
CVE-2021-60609,util-beta-081,1.2.3,cargo,3.3,MEDIUM,PATCHED,,Automated scan finding
CVE-2025-35632,util-gamma-082,2.0.1,pypi,2.3,MEDIUM,OPEN,,Automated scan finding
CVE-2022-52021,util-delta-083,0.9.0,gomod,2.6,INFO,N/A,,Automated scan finding
CVE-2023-97717,util-epsilon-084,3.1.4,npm,3.0,LOW,PATCHED,,Automated scan finding
CVE-2023-60005,util-zeta-085,1.0.0,cargo,0.7,LOW,PATCHED,,Automated scan finding
CVE-2020-88521,util-eta-086,0.5.2,pypi,5.7,LOW,PATCHED,,Automated scan finding
CVE-2021-77466,util-theta-087,4.2.0,gomod,1.9,MEDIUM,OPEN,,Automated scan finding
CVE-2021-14819,util-alpha-088,0.1.0,npm,4.8,MEDIUM,N/A,,Automated scan finding
CVE-2021-54708,util-beta-089,1.2.3,cargo,4.9,INFO,PATCHED,,Automated scan finding
CVE-2020-86947,util-gamma-090,2.0.1,pypi,4.3,LOW,PATCHED,,Automated scan finding
CVE-2022-54036,util-delta-091,0.9.0,gomod,3.3,LOW,PATCHED,,Automated scan finding
CVE-2023-16595,util-epsilon-092,3.1.4,npm,3.0,LOW,OPEN,,Automated scan finding
CVE-2022-39756,util-zeta-093,1.0.0,cargo,1.0,MEDIUM,N/A,,Automated scan finding
CVE-2021-84723,util-eta-094,0.5.2,pypi,4.7,MEDIUM,PATCHED,,Automated scan finding
CVE-2023-43903,util-theta-095,4.2.0,gomod,0.6,INFO,PATCHED,,Automated scan finding
CVE-2021-27223,util-alpha-096,0.1.0,npm,0.1,LOW,PATCHED,,Automated scan finding
CVE-2025-75667,util-beta-097,1.2.3,cargo,0.8,LOW,OPEN,,Automated scan finding
CVE-2024-18343,util-gamma-098,2.0.1,pypi,5.2,LOW,N/A,,Automated scan finding
CVE-2022-84124,util-delta-099,0.9.0,gomod,1.9,MEDIUM,PATCHED,,Automated scan finding
CVE-2020-65188,util-epsilon-100,3.1.4,npm,3.7,MEDIUM,PATCHED,,Automated scan finding
CVE-2025-78343,util-zeta-101,1.0.0,cargo,1.5,INFO,PATCHED,,Automated scan finding
CVE-2021-91996,util-eta-102,0.5.2,pypi,4.1,LOW,OPEN,,Automated scan finding
CVE-2023-47531,util-theta-103,4.2.0,gomod,2.4,LOW,N/A,,Automated scan finding
CVE-2024-25340,util-alpha-104,0.1.0,npm,4.9,LOW,PATCHED,,Automated scan finding
CVE-2023-84291,util-beta-105,1.2.3,cargo,4.9,MEDIUM,PATCHED,,Automated scan finding
CVE-2021-72920,util-gamma-106,2.0.1,pypi,3.8,MEDIUM,PATCHED,,Automated scan finding
CVE-2025-66287,util-delta-107,0.9.0,gomod,5.0,INFO,OPEN,,Automated scan finding
CVE-2025-86197,util-epsilon-108,3.1.4,npm,1.7,LOW,N/A,,Automated scan finding
CVE-2023-23591,util-zeta-109,1.0.0,cargo,2.6,LOW,PATCHED,,Automated scan finding
CVE-2025-62373,util-eta-110,0.5.2,pypi,3.1,LOW,PATCHED,,Automated scan finding
CVE-2020-91712,util-theta-111,4.2.0,gomod,4.5,MEDIUM,PATCHED,,Automated scan finding
CVE-2024-36309,util-alpha-112,0.1.0,npm,5.6,MEDIUM,OPEN,,Automated scan finding
CVE-2020-94201,util-beta-113,1.2.3,cargo,4.9,INFO,N/A,,Automated scan finding
CVE-2024-96798,util-gamma-114,2.0.1,pypi,4.5,LOW,PATCHED,,Automated scan finding
CVE-2020-47044,util-delta-115,0.9.0,gomod,3.3,LOW,PATCHED,,Automated scan finding
CVE-2021-68998,util-epsilon-116,3.1.4,npm,3.5,LOW,PATCHED,,Automated scan finding
CVE-2023-99385,util-zeta-117,1.0.0,cargo,3.7,MEDIUM,OPEN,,Automated scan finding
CVE-2024-60892,util-eta-118,0.5.2,pypi,3.5,MEDIUM,N/A,,Automated scan finding
CVE-2024-68480,util-theta-119,4.2.0,gomod,2.0,INFO,PATCHED,,Automated scan finding
CVE-2023-58451,util-alpha-120,0.1.0,npm,1.3,LOW,PATCHED,,Automated scan finding
CVE-2023-28076,util-beta-121,1.2.3,cargo,4.2,LOW,PATCHED,,Automated scan finding
CVE-2023-21906,util-gamma-122,2.0.1,pypi,1.3,LOW,OPEN,,Automated scan finding
CVE-2024-47903,util-delta-123,0.9.0,gomod,1.3,MEDIUM,N/A,,Automated scan finding
CVE-2024-39181,util-epsilon-124,3.1.4,npm,1.4,MEDIUM,PATCHED,,Automated scan finding
CVE-2024-91442,util-zeta-125,1.0.0,cargo,4.2,INFO,PATCHED,,Automated scan finding
CVE-2021-23541,util-eta-126,0.5.2,pypi,4.3,LOW,PATCHED,,Automated scan finding
CVE-2022-73461,util-theta-127,4.2.0,gomod,2.8,LOW,OPEN,,Automated scan finding
CVE-2025-61172,util-alpha-128,0.1.0,npm,5.1,LOW,N/A,,Automated scan finding
CVE-2022-24225,util-beta-129,1.2.3,cargo,2.9,MEDIUM,PATCHED,,Automated scan finding
CVE-2021-47485,util-gamma-130,2.0.1,pypi,3.9,MEDIUM,PATCHED,,Automated scan finding
CVE-2020-95231,util-delta-131,0.9.0,gomod,1.6,INFO,PATCHED,,Automated scan finding
CVE-2021-59530,util-epsilon-132,3.1.4,npm,4.1,LOW,OPEN,,Automated scan finding
CVE-2024-52058,util-zeta-133,1.0.0,cargo,1.7,LOW,N/A,,Automated scan finding
CVE-2023-85629,util-eta-134,0.5.2,pypi,2.7,LOW,PATCHED,,Automated scan finding
CVE-2024-38020,util-theta-135,4.2.0,gomod,5.6,MEDIUM,PATCHED,,Automated scan finding
CVE-2020-55564,util-alpha-136,0.1.0,npm,1.8,MEDIUM,PATCHED,,Automated scan finding
CVE-2024-49143,util-beta-137,1.2.3,cargo,3.0,INFO,OPEN,,Automated scan finding
CVE-2024-50332,util-gamma-138,2.0.1,pypi,4.9,LOW,N/A,,Automated scan finding
CVE-2024-59509,util-delta-139,0.9.0,gomod,1.9,LOW,PATCHED,,Automated scan finding
CVE-2024-14665,util-epsilon-140,3.1.4,npm,1.5,LOW,PATCHED,,Automated scan finding
CVE-2020-73257,util-zeta-141,1.0.0,cargo,4.2,MEDIUM,PATCHED,,Automated scan finding
CVE-2021-11111,util-eta-142,0.5.2,pypi,0.4,MEDIUM,OPEN,,Automated scan finding
CVE-2023-91673,util-theta-143,4.2.0,gomod,1.3,INFO,N/A,,Automated scan finding
CVE-2025-64180,util-alpha-144,0.1.0,npm,1.7,LOW,PATCHED,,Automated scan finding
CVE-2023-68871,util-beta-145,1.2.3,cargo,4.6,LOW,PATCHED,,Automated scan finding
CVE-2023-12587,util-gamma-146,2.0.1,pypi,5.7,LOW,PATCHED,,Automated scan finding
CVE-2020-66759,util-delta-147,0.9.0,gomod,2.0,MEDIUM,OPEN,,Automated scan finding
CVE-2024-24452,util-epsilon-148,3.1.4,npm,5.5,MEDIUM,N/A,,Automated scan finding
CVE-2025-99452,util-zeta-149,1.0.0,cargo,5.1,INFO,PATCHED,,Automated scan finding
CVE-2022-81575,util-eta-150,0.5.2,pypi,2.5,LOW,PATCHED,,Automated scan finding
CVE-2024-93518,util-theta-151,4.2.0,gomod,5.9,LOW,PATCHED,,Automated scan finding
CVE-2024-24911,util-alpha-152,0.1.0,npm,5.0,LOW,OPEN,,Automated scan finding
CVE-2020-30272,util-beta-153,1.2.3,cargo,3.2,MEDIUM,N/A,,Automated scan finding
CVE-2021-15596,util-gamma-154,2.0.1,pypi,4.3,MEDIUM,PATCHED,,Automated scan finding
CVE-2025-81783,util-delta-155,0.9.0,gomod,0.2,INFO,PATCHED,,Automated scan finding
CVE-2024-41727,util-epsilon-156,3.1.4,npm,3.6,LOW,PATCHED,,Automated scan finding
CVE-2020-50022,util-zeta-157,1.0.0,cargo,1.4,LOW,OPEN,,Automated scan finding
CVE-2022-50869,util-eta-158,0.5.2,pypi,2.8,LOW,N/A,,Automated scan finding
CVE-2022-64868,util-theta-159,4.2.0,gomod,5.9,MEDIUM,PATCHED,,Automated scan finding
CVE-2025-87607,util-alpha-160,0.1.0,npm,2.4,MEDIUM,PATCHED,,Automated scan finding
CVE-2023-93883,util-beta-161,1.2.3,cargo,2.2,INFO,PATCHED,,Automated scan finding
CVE-2023-14561,util-gamma-162,2.0.1,pypi,3.4,LOW,OPEN,,Automated scan finding
CVE-2023-30550,util-delta-163,0.9.0,gomod,0.5,LOW,N/A,,Automated scan finding
CVE-2023-81285,util-epsilon-164,3.1.4,npm,3.1,LOW,PATCHED,,Automated scan finding
CVE-2020-34367,util-zeta-165,1.0.0,cargo,4.5,MEDIUM,PATCHED,,Automated scan finding
CVE-2025-96421,util-eta-166,0.5.2,pypi,1.7,MEDIUM,PATCHED,,Automated scan finding
CVE-2023-18264,util-theta-167,4.2.0,gomod,3.0,INFO,OPEN,,Automated scan finding
CVE-2021-89965,util-alpha-168,0.1.0,npm,2.7,LOW,N/A,,Automated scan finding
CVE-2022-61625,util-beta-169,1.2.3,cargo,0.6,LOW,PATCHED,,Automated scan finding
CVE-2022-75287,util-gamma-170,2.0.1,pypi,5.8,LOW,PATCHED,,Automated scan finding
CVE-2024-20126,util-delta-171,0.9.0,gomod,4.0,MEDIUM,PATCHED,,Automated scan finding
CVE-2024-83716,util-epsilon-172,3.1.4,npm,4.2,MEDIUM,OPEN,,Automated scan finding
CVE-2022-95385,util-zeta-173,1.0.0,cargo,5.7,INFO,N/A,,Automated scan finding
CVE-2022-97408,util-eta-174,0.5.2,pypi,4.4,LOW,PATCHED,,Automated scan finding
CVE-2023-48752,util-theta-175,4.2.0,gomod,5.1,LOW,PATCHED,,Automated scan finding
CVE-2024-28886,util-alpha-176,0.1.0,npm,4.0,LOW,PATCHED,,Automated scan finding
CVE-2023-51728,util-beta-177,1.2.3,cargo,3.8,MEDIUM,OPEN,,Automated scan finding
CVE-2025-72903,util-gamma-178,2.0.1,pypi,3.3,MEDIUM,N/A,,Automated scan finding
CVE-2023-97814,util-delta-179,0.9.0,gomod,5.7,INFO,PATCHED,,Automated scan finding
CVE-2023-44323,util-epsilon-180,3.1.4,npm,1.5,LOW,PATCHED,,Automated scan finding
CVE-2023-79422,util-zeta-181,1.0.0,cargo,3.3,LOW,PATCHED,,Automated scan finding
CVE-2025-60236,util-eta-182,0.5.2,pypi,3.3,LOW,OPEN,,Automated scan finding
CVE-2021-42750,util-theta-183,4.2.0,gomod,4.8,MEDIUM,N/A,,Automated scan finding
CVE-2021-52241,util-alpha-184,0.1.0,npm,2.9,MEDIUM,PATCHED,,Automated scan finding
CVE-2025-80269,util-beta-185,1.2.3,cargo,3.4,INFO,PATCHED,,Automated scan finding
CVE-2025-94342,util-gamma-186,2.0.1,pypi,5.4,LOW,PATCHED,,Automated scan finding
CVE-2020-86208,util-delta-187,0.9.0,gomod,0.4,LOW,OPEN,,Automated scan finding
CVE-2021-46424,util-epsilon-188,3.1.4,npm,1.3,LOW,N/A,,Automated scan finding
CVE-2025-44948,util-zeta-189,1.0.0,cargo,3.0,MEDIUM,PATCHED,,Automated scan finding
CVE-2025-91646,util-eta-190,0.5.2,pypi,5.5,MEDIUM,PATCHED,,Automated scan finding
CVE-2021-51183,util-theta-191,4.2.0,gomod,2.8,INFO,PATCHED,,Automated scan finding
CVE-2021-34107,util-alpha-192,0.1.0,npm,1.5,LOW,OPEN,,Automated scan finding
CVE-2022-65263,util-beta-193,1.2.3,cargo,4.4,LOW,N/A,,Automated scan finding
CVE-2023-26369,util-gamma-194,2.0.1,pypi,3.1,LOW,PATCHED,,Automated scan finding
CVE-2022-19444,util-delta-195,0.9.0,gomod,3.3,MEDIUM,PATCHED,,Automated scan finding
CVE-2025-84573,util-epsilon-196,3.1.4,npm,0.1,MEDIUM,PATCHED,,Automated scan finding
CVE-2021-30962,util-zeta-197,1.0.0,cargo,1.9,INFO,OPEN,,Automated scan finding
CVE-2021-86202,util-eta-198,0.5.2,pypi,5.4,LOW,N/A,,Automated scan finding
CVE-2023-92769,util-theta-199,4.2.0,gomod,5.1,LOW,PATCHED,,Automated scan finding
