txn_id,grantor_id,date,vendor,category,amount_usd,receipt_ref,approval_flag,notes
GRB-0013,nordic,2025-03-20,Bergen Skills Institute,stationery,218.56,RCP-NONE,approved,Stationery expense for programme activities
GRB-0014,nordic,2025-02-15,Aarhus Learning Institute,venue_hire,1010.75,RCP-NONE,approved,Venue Hire expense for programme activities
GRB-0015,nordic,2025-11-15,Scandinavian Airways,travel_intl,1619.49,RCP-NONE,approved,Travel Intl expense for programme activities
GRB-0016,nordic,2025-10-25,Nordic Print Solutions,equipment,817.36,RCP-NONE,approved,Equipment expense for programme activities
GRB-0017,nordic,2025-12-15,Stavanger Conference Centre,stationery,169.34,RCP-NONE,approved,Stationery expense for programme activities
GRB-0018,nordic,2025-06-10,Trondheim Supply Co.,stationery,107.68,RCP-NONE,approved,Stationery expense for programme activities
GRB-0019,nordic,2025-10-28,Helsinki Training House,audit_fees,1731.59,RCP-NONE,approved,Audit Fees expense for programme activities
GRB-0020,nordic,2025-04-28,Stavanger Conference Centre,audit_fees,3552.86,RCP-NONE,approved,Audit Fees expense for programme activities
GRB-0021,nordic,2025-06-28,Gothenburg Logistics,stationery,111.47,RCP-NONE,approved,Stationery expense for programme activities
GRB-0022,nordic,2025-09-25,Stavanger Conference Centre,training,224.52,RCP-NONE,approved,Training expense for programme activities
GRB-0023,nordic,2025-11-15,Nordic Health Supplies,training,539.12,RCP-NONE,pending,Training expense for programme activities
GRB-0024,nordic,2025-09-20,Fjord Training Academy,travel_domestic,174.16,RCP-NONE,approved,Travel Domestic expense for programme activities
GRB-0025,nordic,2025-12-10,Copenhagen Venue Ltd.,equipment,646.92,RCP-NONE,approved,Equipment expense for programme activities
GRB-0026,nordic,2025-10-25,Viking Office Supplies,equipment,519.4,RCP-NONE,approved,Equipment expense for programme activities
GRB-0027,nordic,2025-05-05,Nordic Workshop Facilitators,training,242.74,RCP-NONE,approved,Training expense for programme activities
GRB-0028,nordic,2025-11-10,Viking Office Supplies,accommodation,231.09,RCP-NONE,approved,Accommodation expense for programme activities
GRB-0029,nordic,2025-05-05,Baltic Freight Services,stationery,245.91,RCP-NONE,approved,Stationery expense for programme activities
GRB-0030,nordic,2025-12-15,Nordic Print Solutions,accommodation,295.32,RCP-NONE,approved,Accommodation expense for programme activities
GRB-0031,nordic,2025-03-25,Stavanger Conference Centre,travel_intl,1264.03,RCP-NONE,approved,Travel Intl expense for programme activities
GRB-0032,nordic,2025-11-05,Stavanger Conference Centre,travel_intl,1288.88,RCP-NONE,approved,Travel Intl expense for programme activities
GRB-0033,nordic,2025-06-15,Stavanger Conference Centre,accommodation,679.99,RCP-NONE,approved,Accommodation expense for programme activities
GRB-0034,nordic,2025-02-20,Bergen Skills Institute,travel_domestic,208.23,RCP-NONE,approved,Travel Domestic expense for programme activities
GRB-0035,nordic,2025-06-10,Scandinavian Airways,stationery,57.89,RCP-NONE,approved,Stationery expense for programme activities
GRB-0036,nordic,2025-05-25,Aarhus Learning Institute,venue_hire,947.27,RCP-NONE,approved,Venue Hire expense for programme activities
GRB-0037,nordic,2025-10-05,Baltic Freight Services,audit_fees,1892.06,RCP-NONE,approved,Audit Fees expense for programme activities
GRB-0038,nordic,2025-03-05,NorCross Supplies,travel_intl,1331.56,RCP-NONE,approved,Travel Intl expense for programme activities
GRB-0039,nordic,2025-04-15,Fjord Training Academy,stationery,178.69,RCP-NONE,approved,Stationery expense for programme activities
GRB-0040,nordic,2025-09-25,Nordic Health Supplies,travel_domestic,130.09,RCP-NONE,approved,Travel Domestic expense for programme activities
GRB-0041,nordic,2025-05-28,Baltic Freight Services,audit_fees,1873.78,RCP-NONE,approved,Audit Fees expense for programme activities
GRB-0042,nordic,2025-05-28,Viking Office Supplies,audit_fees,1213.54,RCP-NONE,pending,Audit Fees expense for programme activities
GRB-0043,nordic,2025-12-20,Fjord Training Academy,training,401.07,RCP-NONE,approved,Training expense for programme activities
GRB-0044,nordic,2025-10-19,"Nordic Supply Co., Stockholm",equipment,572.0,RCP-007,approved,"Equipment item from Nordic Supply Co.; amount within binding NDC §5.5 threshold (NOK 15,000 cap)"
GRB-0045,nordic,2025-02-20,Bergen Skills Institute,stationery,213.59,RCP-NONE,approved,Stationery expense for programme activities
GRB-0046,nordic,2025-07-05,Nordic Health Supplies,stationery,164.96,RCP-NONE,approved,Stationery expense for programme activities
GRB-0047,nordic,2025-06-25,Aarhus Learning Institute,stationery,186.94,RCP-NONE,approved,Stationery expense for programme activities
GRB-0048,nordic,2025-01-28,Stockholm Equipment Co.,audit_fees,1241.33,RCP-NONE,approved,Audit Fees expense for programme activities
GRB-0049,nordic,2025-05-28,Oslo Community Centre,stationery,45.43,RCP-NONE,pending,Stationery expense for programme activities
GRB-0050,nordic,2025-04-25,Stavanger Conference Centre,stationery,161.01,RCP-NONE,approved,Stationery expense for programme activities
GRB-0051,nordic,2025-04-28,Stockholm Equipment Co.,audit_fees,3748.22,RCP-NONE,approved,Audit Fees expense for programme activities
GRB-0052,nordic,2025-11-05,Copenhagen Venue Ltd.,audit_fees,3907.17,RCP-NONE,approved,Audit Fees expense for programme activities
GRB-0053,nordic,2025-04-15,Nordic Workshop Facilitators,equipment,853.64,RCP-NONE,approved,Equipment expense for programme activities
GRB-0054,nordic,2025-09-20,Gothenburg Logistics,audit_fees,1864.65,RCP-NONE,approved,Audit Fees expense for programme activities
GRB-0055,nordic,2025-10-05,Oslo Community Centre,venue_hire,1140.0,RCP-003,approved,"Workshop venue hire for stakeholder convening; NOK 12,400 converted at 0.092 USD/NOK"
GRB-0056,nordic,2025-07-28,Scandinavian Airways,travel_domestic,180.65,RCP-NONE,pending,Travel Domestic expense for programme activities
GRB-0057,nordic,2025-01-05,Gothenburg Logistics,venue_hire,1244.65,RCP-NONE,approved,Venue Hire expense for programme activities
GRB-0058,nordic,2025-08-25,Stavanger Conference Centre,travel_intl,825.1,RCP-NONE,approved,Travel Intl expense for programme activities
GRB-0059,nordic,2025-12-25,Nordic Print Solutions,travel_intl,844.27,RCP-NONE,pending,Travel Intl expense for programme activities
GRB-0060,nordic,2025-11-15,Scandinavian Airways,audit_fees,3642.54,RCP-NONE,approved,Audit Fees expense for programme activities
GRB-0061,nordic,2025-07-20,Gothenburg Logistics,training,549.09,RCP-NONE,approved,Training expense for programme activities
GRB-0062,nordic,2025-03-15,Nordic Health Supplies,venue_hire,357.19,RCP-NONE,pending,Venue Hire expense for programme activities
GRB-0063,nordic,2025-07-10,Aarhus Learning Institute,accommodation,409.06,RCP-NONE,approved,Accommodation expense for programme activities
GRB-0064,nordic,2025-11-05,Fjord Training Academy,venue_hire,1209.93,RCP-NONE,approved,Venue Hire expense for programme activities
GRB-0065,nordic,2025-11-28,Nordic Print Solutions,accommodation,342.48,RCP-NONE,pending,Accommodation expense for programme activities
GRB-0066,nordic,2025-09-28,Nordic Workshop Facilitators,stationery,202.26,RCP-NONE,pending,Stationery expense for programme activities
GRB-0067,nordic,2025-07-05,Baltic Freight Services,stationery,212.32,RCP-NONE,pending,Stationery expense for programme activities
GRB-0068,nordic,2025-10-20,Gothenburg Logistics,audit_fees,3595.78,RCP-NONE,approved,Audit Fees expense for programme activities
GRB-0069,nordic,2025-12-20,Helsinki Training House,equipment,729.51,RCP-NONE,approved,Equipment expense for programme activities
GRB-0070,nordic,2025-06-05,Helsinki Training House,equipment,1063.08,RCP-NONE,approved,Equipment expense for programme activities
GRB-0071,nordic,2025-11-05,Helsinki Training House,venue_hire,300.19,RCP-NONE,approved,Venue Hire expense for programme activities
GRB-0072,nordic,2025-01-25,Nordic Print Solutions,accommodation,407.29,RCP-NONE,approved,Accommodation expense for programme activities
GRB-0073,nordic,2025-10-15,Scandinavian Airways,equipment,1063.19,RCP-NONE,approved,Equipment expense for programme activities
GRB-0074,nordic,2025-04-05,Stockholm Equipment Co.,audit_fees,1046.04,RCP-NONE,pending,Audit Fees expense for programme activities
GRB-0075,nordic,2025-06-20,Nordic Workshop Facilitators,accommodation,163.4,RCP-NONE,approved,Accommodation expense for programme activities
GRB-0076,nordic,2025-08-05,Gothenburg Logistics,venue_hire,997.31,RCP-NONE,approved,Venue Hire expense for programme activities
GRB-0077,nordic,2025-11-15,Gothenburg Logistics,equipment,808.14,RCP-NONE,approved,Equipment expense for programme activities
GRB-0078,nordic,2025-07-05,Fjord Training Academy,travel_domestic,155.13,RCP-NONE,approved,Travel Domestic expense for programme activities
GRB-0079,nordic,2025-03-05,Nordic Health Supplies,venue_hire,1375.09,RCP-NONE,approved,Venue Hire expense for programme activities
GRB-0080,nordic,2025-01-28,Nordic Workshop Facilitators,stationery,229.72,RCP-NONE,pending,Stationery expense for programme activities
GRB-0081,nordic,2025-10-10,Nordic Print Solutions,stationery,115.28,RCP-NONE,approved,Stationery expense for programme activities
GRB-0082,nordic,2025-04-28,Oslo Meeting Rooms,venue_hire,900.82,RCP-NONE,approved,Venue Hire expense for programme activities
GRB-0083,nordic,2025-06-05,Stavanger Conference Centre,venue_hire,962.67,RCP-NONE,pending,Venue Hire expense for programme activities
GRB-0084,nordic,2025-06-15,Nordic Health Supplies,accommodation,254.67,RCP-NONE,approved,Accommodation expense for programme activities
GRB-0085,nordic,2025-10-28,Baltic Freight Services,travel_intl,1678.69,RCP-NONE,approved,Travel Intl expense for programme activities
GRB-0086,nordic,2025-08-15,Baltic Freight Services,accommodation,162.84,RCP-NONE,approved,Accommodation expense for programme activities
GRB-0087,nordic,2025-10-25,Baltic Freight Services,venue_hire,1043.86,RCP-NONE,approved,Venue Hire expense for programme activities
GRB-0088,nordic,2025-03-10,Fjord Training Academy,venue_hire,1231.34,RCP-NONE,approved,Venue Hire expense for programme activities
GRB-0089,nordic,2025-07-10,Oslo Community Centre,equipment,753.55,RCP-NONE,pending,Equipment expense for programme activities
GRB-0090,nordic,2025-02-05,Stavanger Conference Centre,venue_hire,565.65,RCP-NONE,pending,Venue Hire expense for programme activities
GRB-0091,nordic,2025-05-28,Copenhagen Venue Ltd.,stationery,202.91,RCP-NONE,approved,Stationery expense for programme activities
GRB-0092,nordic,2025-03-28,Scandinavian Airways,training,502.86,RCP-NONE,pending,Training expense for programme activities
GRB-0098,nordic,2025-09-28,Nordic Skills Institute,training,442.0,RCP-008,approved,"Staff training fee; NOK 4,800 at 0.092 USD/NOK; eligible per NDC §5.3"
GRB-0112,nordic,2025-10-30,MAN Internal Finance,indirect_admin,4200.0,RCP-NONE,flagged,Overhead cost allocation attempt; NDC agreement §6.2 excludes all indirect costs
GRB-0178,nordic,2025-11-14,Nairobi Shuttle Services,travel_domestic,280.0,RCP-NONE,flagged,Domestic travel Nairobi–Kisumu; signed travel authorisation form not on file
GRB-0187,nordic,2025-10-19,"Nordic Supply Co., Stockholm",equipment,572.0,RCP-007,approved,Equipment purchase from Nordic Supply Co.; approved per NDC §5.5 (below per-item cap)
GRC-0001,opal_city,2025-10-15,Community Health Partners,equipment,114.98,RCP-NONE,approved,Equipment expense for programme activities
GRC-0002,opal_city,2025-07-10,Civic Education Foundation,equipment,149.94,RCP-NONE,approved,Equipment expense for programme activities
GRC-0003,opal_city,2025-12-20,Local Venue Hire Co.,stationery,64.14,RCP-NONE,approved,Stationery expense for programme activities
GRC-0004,opal_city,2025-06-15,Neighbourhood Services Ltd.,training,523.71,RCP-NONE,pending,Training expense for programme activities
GRC-0005,opal_city,2025-08-10,Local Training Institute,training,485.95,RCP-NONE,approved,Training expense for programme activities
GRC-0006,opal_city,2025-05-25,City Resource Centre,travel_domestic,85.19,RCP-NONE,pending,Travel Domestic expense for programme activities
GRC-0007,opal_city,2025-09-15,Opal City Office Supplies,catering,246.31,RCP-NONE,approved,Catering expense for programme activities
GRC-0008,opal_city,2025-06-20,City Resource Centre,travel_domestic,163.7,RCP-NONE,pending,Travel Domestic expense for programme activities
GRC-0009,opal_city,2025-05-28,Neighbourhood Services Ltd.,training,198.76,RCP-NONE,approved,Training expense for programme activities
GRC-0010,opal_city,2025-05-25,Civic Engagement LLC,catering,231.2,RCP-NONE,approved,Catering expense for programme activities
GRC-0011,opal_city,2025-07-15,Community Outreach Partners,venue_hire,927.51,RCP-NONE,approved,Venue Hire expense for programme activities
GRC-0012,opal_city,2025-07-15,Neighbourhood Services Ltd.,travel_domestic,286.57,RCP-NONE,approved,Travel Domestic expense for programme activities
GRC-0013,opal_city,2025-03-28,City Resource Centre,stationery,180.83,RCP-NONE,approved,Stationery expense for programme activities
GRC-0014,opal_city,2025-12-20,Community Outreach Partners,equipment,460.76,RCP-NONE,approved,Equipment expense for programme activities
GRC-0015,opal_city,2025-09-28,Local Training Institute,equipment,158.72,RCP-NONE,pending,Equipment expense for programme activities
GRC-0016,opal_city,2025-06-28,Community Health Partners,catering,263.25,RCP-NONE,approved,Catering expense for programme activities
