cve_id,package,ecosystem,version_affected,version_fixed,severity_score,severity_label,cvss_vector,published_date,description
CVE-2021-23554,golang.org/x/sync,cargo,<4.4.3,3.5.9,9.1,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,2021-07-23,"Security issue in golang.org/x/sync version <4.4.3"
CVE-2021-46084,rich,cargo,<5.4.3,5.9.8,5.4,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,2021-07-05,"Security issue in rich version <5.4.3"
CVE-2020-36674,serde,cargo,<5.6.0,5.2.6,9.1,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,2020-06-12,"Security issue in serde version <5.6.0"
CVE-2022-80894,numpy,cargo,<1.1.4,1.1.1,9.1,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,2022-01-16,"Security issue in numpy version <1.1.4"
CVE-2020-62643,typer,cargo,<3.1.0,4.5.2,5.4,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,2020-07-25,"Security issue in typer version <3.1.0"
CVE-2024-13736,anyhow,cargo,<4.0.2,2.10.7,3.1,LOW,CVSS:3.1/AV:L/AC:H/PR:H/UI:R/S:U/C:L/I:N/A:N,2024-01-10,"Security issue in anyhow version <4.0.2"
CVE-2021-14248,github.com/sirupsen/logrus,cargo,<2.2.1,3.6.1,7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,2021-01-07,"Security issue in github.com/sirupsen/logrus version <2.2.1"
CVE-2024-73532,rich,cargo,<4.10.5,4.0.8,7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,2024-11-25,"Security issue in rich version <4.10.5"
CVE-2023-59776,golang.org/x/sync,cargo,<2.3.3,3.5.7,5.4,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,2023-08-17,"Security issue in golang.org/x/sync version <2.3.3"
CVE-2022-69969,axios,cargo,<5.9.1,3.10.6,9.1,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,2022-11-27,"Security issue in axios version <5.9.1"
CVE-2020-95654,rand,cargo,<2.2.4,1.10.7,7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,2020-10-05,"Security issue in rand version <2.2.4"
CVE-2025-75428,typer,cargo,<3.9.3,4.4.4,2.0,LOW,CVSS:3.1/AV:P/AC:H/PR:H/UI:R/S:U/C:N/I:N/A:L,2025-11-16,"Security issue in typer version <3.9.3"
CVE-2023-22112,log,cargo,<3.6.5,5.3.8,7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,2023-11-02,"Security issue in log version <3.6.5"
CVE-2023-94360,commander,cargo,<1.9.5,2.1.6,2.0,LOW,CVSS:3.1/AV:P/AC:H/PR:H/UI:R/S:U/C:N/I:N/A:L,2023-05-26,"Security issue in commander version <1.9.5"
CVE-2022-39251,github.com/sirupsen/logrus,cargo,<5.7.1,4.0.6,2.0,LOW,CVSS:3.1/AV:P/AC:H/PR:H/UI:R/S:U/C:N/I:N/A:L,2022-12-26,"Security issue in github.com/sirupsen/logrus version <5.7.1"
CVE-2023-97935,rand,cargo,<2.2.3,1.0.4,7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,2023-10-20,"Security issue in rand version <2.2.3"
CVE-2023-99105,commander,cargo,<4.9.3,5.10.4,5.4,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,2023-09-10,"Security issue in commander version <4.9.3"
CVE-2022-37265,anyhow,cargo,<3.10.5,4.4.6,3.1,LOW,CVSS:3.1/AV:L/AC:H/PR:H/UI:R/S:U/C:L/I:N/A:N,2022-09-08,"Security issue in anyhow version <3.10.5"
CVE-2023-74639,lodash,cargo,<4.10.1,1.7.2,7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,2023-11-15,"Security issue in lodash version <4.10.1"
CVE-2020-22890,numpy,cargo,<1.6.1,2.4.5,5.4,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,2020-12-22,"Security issue in numpy version <1.6.1"
CVE-2024-62809,github.com/sirupsen/logrus,cargo,<5.3.2,2.4.5,2.0,LOW,CVSS:3.1/AV:P/AC:H/PR:H/UI:R/S:U/C:N/I:N/A:L,2024-03-11,"Security issue in github.com/sirupsen/logrus version <5.3.2"
CVE-2022-67864,golang.org/x/sys,cargo,<5.8.5,4.0.8,9.1,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,2022-08-24,"Security issue in golang.org/x/sys version <5.8.5"
CVE-2020-39069,axios,cargo,<5.6.0,4.1.7,5.4,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,2020-02-09,"Security issue in axios version <5.6.0"
CVE-2025-12398,httpx,cargo,<5.9.2,2.0.9,5.4,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,2025-06-04,"Security issue in httpx version <5.9.2"
CVE-2021-90474,rand,cargo,<2.9.2,1.5.8,2.0,LOW,CVSS:3.1/AV:P/AC:H/PR:H/UI:R/S:U/C:N/I:N/A:L,2021-04-28,"Security issue in rand version <2.9.2"
CVE-2020-12832,golang.org/x/sync,cargo,<3.8.4,4.7.1,2.0,LOW,CVSS:3.1/AV:P/AC:H/PR:H/UI:R/S:U/C:N/I:N/A:L,2020-10-05,"Security issue in golang.org/x/sync version <3.8.4"
CVE-2020-87344,serde,cargo,<5.9.0,3.6.2,5.4,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,2020-07-10,"Security issue in serde version <5.9.0"
CVE-2025-47284,byteorder,cargo,<5.1.3,3.9.6,3.1,LOW,CVSS:3.1/AV:L/AC:H/PR:H/UI:R/S:U/C:L/I:N/A:N,2025-11-01,"Security issue in byteorder version <5.1.3"
CVE-2025-93944,pydantic,cargo,<5.4.4,2.8.4,7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,2025-12-04,"Security issue in pydantic version <5.4.4"
CVE-2021-99511,log,cargo,<5.6.1,3.0.7,5.4,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,2021-08-22,"Security issue in log version <5.6.1"
CVE-2022-16346,typer,cargo,<4.8.0,5.4.1,5.4,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,2022-09-12,"Security issue in typer version <4.8.0"
CVE-2022-30500,github.com/spf13/cobra,cargo,<2.0.2,5.6.2,5.4,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,2022-10-18,"Security issue in github.com/spf13/cobra version <2.0.2"
CVE-2021-27900,github.com/sirupsen/logrus,cargo,<2.4.4,3.7.3,9.1,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,2021-01-20,"Security issue in github.com/sirupsen/logrus version <2.4.4"
CVE-2024-74059,log,cargo,<1.4.2,5.2.7,5.4,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,2024-06-22,"Security issue in log version <1.4.2"
CVE-2021-42753,github.com/sirupsen/logrus,cargo,<5.3.4,4.2.4,3.1,LOW,CVSS:3.1/AV:L/AC:H/PR:H/UI:R/S:U/C:L/I:N/A:N,2021-10-27,"Security issue in github.com/sirupsen/logrus version <5.3.4"
CVE-2021-33476,chalk,cargo,<5.5.2,2.4.6,9.1,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,2021-07-12,"Security issue in chalk version <5.5.2"
CVE-2025-62920,typer,cargo,<5.4.5,2.6.7,9.1,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,2025-10-21,"Security issue in typer version <5.4.5"
CVE-2020-36133,chalk,cargo,<1.2.4,1.1.2,5.4,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,2020-12-17,"Security issue in chalk version <1.2.4"
CVE-2023-90240,tokio,cargo,<2.5.5,5.0.7,9.1,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,2023-04-22,"Security issue in tokio version <2.5.5"
CVE-2021-35745,lodash,cargo,<3.0.2,5.8.9,7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,2021-01-28,"Security issue in lodash version <3.0.2"
CVE-2025-97089,pydantic,cargo,<3.1.1,4.0.5,7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,2025-06-24,"Security issue in pydantic version <3.1.1"
CVE-2021-85504,github.com/spf13/cobra,cargo,<4.6.3,5.1.3,7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,2021-01-01,"Security issue in github.com/spf13/cobra version <4.6.3"
CVE-2023-82115,golang.org/x/sync,cargo,<3.1.0,3.4.6,7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,2023-01-04,"Security issue in golang.org/x/sync version <3.1.0"
CVE-2024-47178,tokio,cargo,<2.6.5,4.7.7,5.4,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,2024-03-26,"Security issue in tokio version <2.6.5"
CVE-2020-56430,commander,cargo,<4.10.2,1.5.8,9.1,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,2020-07-06,"Security issue in commander version <4.10.2"
CVE-2025-42656,serde,cargo,<3.6.0,4.2.1,3.1,LOW,CVSS:3.1/AV:L/AC:H/PR:H/UI:R/S:U/C:L/I:N/A:N,2025-06-28,"Security issue in serde version <3.6.0"
CVE-2025-50746,byteorder,cargo,<3.6.4,3.5.1,2.0,LOW,CVSS:3.1/AV:P/AC:H/PR:H/UI:R/S:U/C:N/I:N/A:L,2025-07-06,"Security issue in byteorder version <3.6.4"
CVE-2025-82257,log,cargo,<5.1.3,3.9.3,2.0,LOW,CVSS:3.1/AV:P/AC:H/PR:H/UI:R/S:U/C:N/I:N/A:L,2025-12-07,"Security issue in log version <5.1.3"
CVE-2025-40183,commander,cargo,<4.7.1,3.4.1,2.0,LOW,CVSS:3.1/AV:P/AC:H/PR:H/UI:R/S:U/C:N/I:N/A:L,2025-06-13,"Security issue in commander version <4.7.1"
CVE-2025-15240,lodash,cargo,<5.7.5,3.4.6,3.1,LOW,CVSS:3.1/AV:L/AC:H/PR:H/UI:R/S:U/C:L/I:N/A:N,2025-05-07,"Security issue in lodash version <5.7.5"
CVE-2022-10441,github.com/sirupsen/logrus,cargo,<5.8.5,3.8.9,7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,2022-07-28,"Security issue in github.com/sirupsen/logrus version <5.8.5"
CVE-2025-11526,anyhow,cargo,<2.4.2,1.9.6,7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,2025-11-10,"Security issue in anyhow version <2.4.2"
CVE-2025-68604,rich,cargo,<1.5.4,2.3.7,7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,2025-05-25,"Security issue in rich version <1.5.4"
CVE-2022-65116,byteorder,cargo,<4.7.3,5.7.2,7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,2022-03-09,"Security issue in byteorder version <4.7.3"
CVE-2020-35403,log,cargo,<3.10.2,4.9.9,7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,2020-12-03,"Security issue in log version <3.10.2"
CVE-2024-86527,log,cargo,<5.8.3,4.5.8,2.0,LOW,CVSS:3.1/AV:P/AC:H/PR:H/UI:R/S:U/C:N/I:N/A:L,2024-09-06,"Security issue in log version <5.8.3"
CVE-2022-19687,numpy,cargo,<4.9.4,1.7.4,7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,2022-12-01,"Security issue in numpy version <4.9.4"
CVE-2025-69295,golang.org/x/sync,cargo,<2.8.4,5.5.1,3.1,LOW,CVSS:3.1/AV:L/AC:H/PR:H/UI:R/S:U/C:L/I:N/A:N,2025-03-09,"Security issue in golang.org/x/sync version <2.8.4"
CVE-2024-96628,numpy,cargo,<5.1.3,1.2.7,5.4,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,2024-03-24,"Security issue in numpy version <5.1.3"
CVE-2021-56737,byteorder,cargo,<2.4.4,1.10.7,9.1,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,2021-09-03,"Security issue in byteorder version <2.4.4"
CVE-2025-20485,golang.org/x/sync,cargo,<3.3.1,2.1.9,7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,2025-12-18,"Security issue in golang.org/x/sync version <3.3.1"
CVE-2024-51756,github.com/spf13/cobra,cargo,<1.4.4,5.3.7,5.4,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,2024-10-13,"Security issue in github.com/spf13/cobra version <1.4.4"
CVE-2020-22799,tokio,cargo,<1.6.3,5.8.5,2.0,LOW,CVSS:3.1/AV:P/AC:H/PR:H/UI:R/S:U/C:N/I:N/A:L,2020-06-07,"Security issue in tokio version <1.6.3"
CVE-2020-69164,commander,cargo,<3.7.5,2.3.3,9.1,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,2020-05-14,"Security issue in commander version <3.7.5"
CVE-2020-15624,clap,cargo,<3.2.5,1.6.4,7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,2020-08-24,"Security issue in clap version <3.2.5"
CVE-2024-48999,golang.org/x/sync,cargo,<4.1.4,3.6.8,5.4,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,2024-10-03,"Security issue in golang.org/x/sync version <4.1.4"
CVE-2020-64031,github.com/sirupsen/logrus,cargo,<3.3.4,1.1.5,9.1,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,2020-02-10,"Security issue in github.com/sirupsen/logrus version <3.3.4"
CVE-2021-58453,axios,cargo,<1.6.2,1.9.2,9.1,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,2021-08-02,"Security issue in axios version <1.6.2"
CVE-2025-35441,clap,cargo,<3.10.0,2.9.2,9.1,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,2025-09-03,"Security issue in clap version <3.10.0"
