capa_id,case,source,root_cause,category,description,owner,priority,open_date,due_date,status,cfr_reference,verification_method,closure_date,effectiveness_confirmed,ivenix_software_version_reference,nimbus_distribution_start_reference,notes
CAPA-0001,Case-A-Nimbus,Recall-2024-Case-A-Nimbus,sterile_barrier,Preventive,Implement escalation pathway,V&V-Team,Critical,2026-02-20,2026-06-13,In-Progress,21 CFR 806.10,Bench-test or audit review,,PENDING,N/A,2015-02-27,Recall Nimbus-2024; units 52328
CAPA-0012,Case-B-Ivenix,Recall-2024-Case-B-Ivenix,soc_algorithm_defect,Corrective,Update SOPs,Regulatory,Medium,2026-03-07,2026-07-08,In-Progress,21 CFR 806.10,Bench-test or audit review,,PENDING,5.10.1 → 5.10.2,N/A,Recall Z-0885-2026; units 2
CAPA-0013,Case-B-Ivenix,Recall-2024-Case-B-Ivenix,soc_algorithm_defect,Corrective,Update checklists,Hardware-Team,High,2026-02-25,2026-05-08,Verified,21 CFR 820.100,Bench-test or audit review,2026-05-08,YES,5.10.1 → 5.10.2,N/A,Recall Z-0885-2026; units 2
CAPA-0014,Case-B-Ivenix,Recall-2024-Case-B-Ivenix,soc_algorithm_defect,Corrective,Redesign firmware component,Regulatory,Critical,2026-01-21,2026-02-26,In-Progress,21 CFR 820.30,Bench-test or audit review,,PENDING,5.10.1 → 5.10.2,N/A,Recall Z-0885-2026; units 2
CAPA-0015,Case-A-Nimbus,Recall-2024-Case-A-Nimbus,battery_bms_design,Preventive,Implement monitoring,Hardware-Team,Low,2026-03-12,2026-04-16,Open,21 CFR 806.10,Bench-test or audit review,,PENDING,N/A,2015-02-27,Recall Nimbus-2024; units 52328
CAPA-0016,Case-A-Nimbus,Recall-2024-Case-A-Nimbus,battery_bms_design,Preventive,Revise specification,Quality,High,2026-03-25,2026-06-23,Complete,21 CFR 803.50(a)(1),Bench-test or audit review,,PENDING,N/A,2015-02-27,Recall Nimbus-2024; units 52328
CAPA-0017,Case-B-Ivenix,Recall-2024-Case-B-Ivenix,input_validation_gap,Preventive,Implement audit trail,Quality,Critical,2026-01-22,2026-02-28,In-Progress,21 CFR 806.10,Bench-test or audit review,,PENDING,5.10.1 → 5.10.2,N/A,Recall Z-0885-2026; units 2
CAPA-0018,Case-B-Ivenix,Recall-2024-Case-B-Ivenix,vv_protocol_gap,Preventive,Update SOPs,Software-Team,Critical,2026-02-22,2026-04-02,Complete,21 CFR 820.100,Bench-test or audit review,,PENDING,5.10.1 → 5.10.2,N/A,Recall Z-0885-2026; units 2
CAPA-0019,Case-A-Nimbus,Recall-2024-Case-A-Nimbus,sterile_barrier,Preventive,Update checklists,Regulatory,Low,2026-03-13,2026-07-21,Complete,21 CFR 820.100,Bench-test or audit review,,PENDING,N/A,2015-02-27,Recall Nimbus-2024; units 52328
CAPA-0020,Case-B-Ivenix,Recall-2024-Case-B-Ivenix,soc_algorithm_defect,Preventive,Implement audit trail,Manufacturing,High,2026-01-25,2026-06-21,Verified,21 CFR 820.100,Bench-test or audit review,2026-06-21,YES,5.10.1 → 5.10.2,N/A,Recall Z-0885-2026; units 2
CAPA-0021,Case-A-Nimbus,Recall-2024-Case-A-Nimbus,battery_bms_design,Corrective,Revise V&V protocol,Hardware-Team,Critical,2026-01-20,2026-02-14,Open,21 CFR 820.30,Bench-test or audit review,,PENDING,N/A,2015-02-27,Recall Nimbus-2024; units 52328
CAPA-0022,Case-A-Nimbus,Recall-2024-Case-A-Nimbus,battery_bms_design,Corrective,Redesign process component,Field-Service,Critical,2026-02-09,2026-03-11,Verified,21 CFR 806.10,Bench-test or audit review,2026-03-11,YES,N/A,2015-02-27,Recall Nimbus-2024; units 52328
CAPA-0023,Case-B-Ivenix,Recall-2024-Case-B-Ivenix,vv_protocol_gap,Preventive,Update checklists,V&V-Team,Low,2026-01-18,2026-05-23,Complete,21 CFR 820.30,Bench-test or audit review,,PENDING,5.10.1 → 5.10.2,N/A,Recall Z-0885-2026; units 2
CAPA-0024,Case-A-Nimbus,Recall-2024-Case-A-Nimbus,sterile_barrier,Corrective,Implement escalation pathway,Hardware-Team,High,2026-03-20,2026-04-14,Verified,21 CFR 806.10,Bench-test or audit review,2026-04-14,YES,N/A,2015-02-27,Recall Nimbus-2024; units 52328
CAPA-0025,Case-B-Ivenix,Recall-2024-Case-B-Ivenix,vv_protocol_gap,Preventive,Redesign firmware component,Software-Team,High,2026-01-28,2026-02-02,Complete,21 CFR 820.100,Bench-test or audit review,,PENDING,5.10.1 → 5.10.2,N/A,Recall Z-0885-2026; units 2
CAPA-0026,Case-B-Ivenix,Recall-2024-Case-B-Ivenix,vv_protocol_gap,Preventive,Update SOPs,Manufacturing,High,2026-04-03,2026-05-23,Open,21 CFR 803.50(a)(1),Bench-test or audit review,,PENDING,5.10.1 → 5.10.2,N/A,Recall Z-0885-2026; units 2
CAPA-0027,Case-A-Nimbus,Recall-2024-Case-A-Nimbus,sterile_barrier,Preventive,Update documentation,Regulatory,Medium,2026-03-18,2026-04-25,In-Progress,21 CFR 820.100,Bench-test or audit review,,PENDING,N/A,2015-02-27,Recall Nimbus-2024; units 52328
CAPA-0028,Case-A-Nimbus,Recall-2024-Case-A-Nimbus,sterile_barrier,Preventive,Revise V&V protocol,Field-Service,High,2026-01-21,2026-02-07,In-Progress,21 CFR 820.100,Bench-test or audit review,,PENDING,N/A,2015-02-27,Recall Nimbus-2024; units 52328
CAPA-0029,Case-B-Ivenix,Recall-2024-Case-B-Ivenix,soc_algorithm_defect,Corrective,Implement monitoring,Quality,Critical,2026-03-03,2026-08-12,Open,21 CFR 803.50(a)(1),Bench-test or audit review,,PENDING,5.10.1 → 5.10.2,N/A,Recall Z-0885-2026; units 2
CAPA-0030,Case-B-Ivenix,Recall-2024-Case-B-Ivenix,input_validation_gap,Corrective,Revise test matrix,Software-Team,Low,2026-03-22,2026-05-20,In-Progress,21 CFR 820.100,Bench-test or audit review,,PENDING,5.10.1 → 5.10.2,N/A,Recall Z-0885-2026; units 2
CAPA-0031,Case-B-Ivenix,Recall-2024-Case-B-Ivenix,vv_protocol_gap,Preventive,Update documentation,Software-Team,High,2026-02-10,2026-08-25,Complete,21 CFR 806.10,Bench-test or audit review,,PENDING,5.10.1 → 5.10.2,N/A,Recall Z-0885-2026; units 2
CAPA-0032,Case-B-Ivenix,Recall-2024-Case-B-Ivenix,soc_algorithm_defect,Corrective,Revise test matrix,Field-Service,High,2026-01-20,2026-07-16,Open,21 CFR 806.10,Bench-test or audit review,,PENDING,5.10.1 → 5.10.2,N/A,Recall Z-0885-2026; units 2
CAPA-0033,Case-A-Nimbus,Recall-2024-Case-A-Nimbus,battery_bms_design,Corrective,Update documentation,Regulatory,Critical,2026-01-16,2026-03-23,Verified,21 CFR 806.10,Bench-test or audit review,2026-03-23,YES,N/A,2015-02-27,Recall Nimbus-2024; units 52328
CAPA-0034,Case-B-Ivenix,Recall-2024-Case-B-Ivenix,soc_algorithm_defect,Preventive,Implement escalation pathway,Quality,Medium,2026-01-16,2026-06-26,In-Progress,21 CFR 803.50(a)(1),Bench-test or audit review,,PENDING,5.10.1 → 5.10.2,N/A,Recall Z-0885-2026; units 2
CAPA-0035,Case-B-Ivenix,Recall-2024-Case-B-Ivenix,input_validation_gap,Preventive,Redesign algorithm component,V&V-Team,Medium,2026-03-10,2026-05-21,Complete,21 CFR 803.50(a)(1),Bench-test or audit review,,PENDING,5.10.1 → 5.10.2,N/A,Recall Z-0885-2026; units 2
CAPA-0036,Case-A-Nimbus,Recall-2024-Case-A-Nimbus,occlusion_threshold,Corrective,Update training materials,Software-Team,Medium,2026-02-13,2026-08-11,Open,21 CFR 820.30,Bench-test or audit review,,PENDING,N/A,2015-02-27,Recall Nimbus-2024; units 52328
CAPA-0037,Case-B-Ivenix,Recall-2024-Case-B-Ivenix,vv_protocol_gap,Corrective,Revise design review,Hardware-Team,High,2026-03-10,2026-04-23,Complete,21 CFR 820.30,Bench-test or audit review,,PENDING,5.10.1 → 5.10.2,N/A,Recall Z-0885-2026; units 2
CAPA-0038,Case-A-Nimbus,Recall-2024-Case-A-Nimbus,occlusion_threshold,Corrective,Revise test matrix,Regulatory,Critical,2026-02-21,2026-04-27,Complete,21 CFR 803.50(a)(1),Bench-test or audit review,,PENDING,N/A,2015-02-27,Recall Nimbus-2024; units 52328
CAPA-0039,Case-B-Ivenix,Recall-2024-Case-B-Ivenix,soc_algorithm_defect,Preventive,Redesign process component,V&V-Team,High,2026-03-20,2026-06-04,In-Progress,21 CFR 820.100,Bench-test or audit review,,PENDING,5.10.1 → 5.10.2,N/A,Recall Z-0885-2026; units 2
CAPA-0040,Case-A-Nimbus,Recall-2024-Case-A-Nimbus,sterile_barrier,Preventive,Implement audit trail,Quality,Critical,2026-02-11,2026-07-28,Complete,21 CFR 803.50(a)(1),Bench-test or audit review,,PENDING,N/A,2015-02-27,Recall Nimbus-2024; units 52328
CAPA-0041,Case-B-Ivenix,Recall-2024-Case-B-Ivenix,input_validation_gap,Corrective,Implement audit trail,Manufacturing,Low,2026-04-11,2026-05-21,Verified,21 CFR 820.30,Bench-test or audit review,2026-05-21,YES,5.10.1 → 5.10.2,N/A,Recall Z-0885-2026; units 2
CAPA-0042,Case-A-Nimbus,Recall-2024-Case-A-Nimbus,battery_bms_design,Preventive,Update training materials,Regulatory,Critical,2026-02-07,2026-04-09,Open,21 CFR 803.50(a)(1),Bench-test or audit review,,PENDING,N/A,2015-02-27,Recall Nimbus-2024; units 52328
CAPA-0043,Case-B-Ivenix,Recall-2024-Case-B-Ivenix,soc_algorithm_defect,Preventive,Implement escalation pathway,Manufacturing,Medium,2026-03-20,2026-06-08,In-Progress,21 CFR 803.50(a)(1),Bench-test or audit review,,PENDING,5.10.1 → 5.10.2,N/A,Recall Z-0885-2026; units 2
CAPA-0044,Case-A-Nimbus,Recall-2024-Case-A-Nimbus,occlusion_threshold,Corrective,Implement monitoring,Regulatory,Critical,2026-03-05,2026-04-24,Complete,21 CFR 806.10,Bench-test or audit review,,PENDING,N/A,2015-02-27,Recall Nimbus-2024; units 52328
CAPA-0045,Case-B-Ivenix,Recall-2024-Case-B-Ivenix,vv_protocol_gap,Preventive,Update checklists,Software-Team,Low,2026-01-06,2026-05-09,Verified,21 CFR 806.10,Bench-test or audit review,2026-05-09,YES,5.10.1 → 5.10.2,N/A,Recall Z-0885-2026; units 2
CAPA-0046,Case-A-Nimbus,Recall-2024-Case-A-Nimbus,battery_bms_design,Corrective,Implement monitoring,Field-Service,Critical,2026-04-20,2026-07-20,In-Progress,21 CFR 806.10,Bench-test or audit review,,PENDING,N/A,2015-02-27,Recall Nimbus-2024; units 52328
CAPA-0047,Case-A-Nimbus,Recall-2024-Case-A-Nimbus,occlusion_threshold,Preventive,Update checklists,Manufacturing,High,2026-01-24,2026-04-21,Open,21 CFR 820.100,Bench-test or audit review,,PENDING,N/A,2015-02-27,Recall Nimbus-2024; units 52328
CAPA-0048,Case-B-Ivenix,Recall-2024-Case-B-Ivenix,input_validation_gap,Preventive,Redesign process component,Field-Service,High,2026-03-23,2026-04-04,Open,21 CFR 820.30,Bench-test or audit review,,PENDING,5.10.1 → 5.10.2,N/A,Recall Z-0885-2026; units 2
CAPA-0049,Case-B-Ivenix,Recall-2024-Case-B-Ivenix,vv_protocol_gap,Preventive,Update SOPs,Regulatory,High,2026-01-06,2026-05-02,In-Progress,21 CFR 806.10,Bench-test or audit review,,PENDING,5.10.1 → 5.10.2,N/A,Recall Z-0885-2026; units 2
CAPA-0050,Case-A-Nimbus,Recall-2024-Case-A-Nimbus,occlusion_threshold,Preventive,Redesign process component,Software-Team,Low,2026-01-11,2026-06-07,Complete,21 CFR 806.10,Bench-test or audit review,,PENDING,N/A,2015-02-27,Recall Nimbus-2024; units 52328
CAPA-0051,Case-B-Ivenix,Recall-2024-Case-B-Ivenix,vv_protocol_gap,Preventive,Update SOPs,Manufacturing,Critical,2026-03-14,2026-06-08,Verified,21 CFR 806.10,Bench-test or audit review,2026-06-08,YES,5.10.1 → 5.10.2,N/A,Recall Z-0885-2026; units 2
CAPA-0052,Case-B-Ivenix,Recall-2024-Case-B-Ivenix,vv_protocol_gap,Corrective,Implement monitoring,V&V-Team,Low,2026-01-26,2026-06-02,Complete,21 CFR 820.30,Bench-test or audit review,,PENDING,5.10.1 → 5.10.2,N/A,Recall Z-0885-2026; units 2
CAPA-0053,Case-B-Ivenix,Recall-2024-Case-B-Ivenix,soc_algorithm_defect,Corrective,Implement inspection procedure,Manufacturing,High,2026-03-23,2026-07-14,Complete,21 CFR 806.10,Bench-test or audit review,,PENDING,5.10.1 → 5.10.2,N/A,Recall Z-0885-2026; units 2
CAPA-0054,Case-B-Ivenix,Recall-2024-Case-B-Ivenix,vv_protocol_gap,Corrective,Update checklists,Hardware-Team,High,2026-02-23,2026-03-14,Open,21 CFR 820.30,Bench-test or audit review,,PENDING,5.10.1 → 5.10.2,N/A,Recall Z-0885-2026; units 2
CAPA-0055,Case-B-Ivenix,Recall-2024-Case-B-Ivenix,soc_algorithm_defect,Corrective,Update documentation,Hardware-Team,High,2026-03-01,2026-07-26,Complete,21 CFR 820.30,Bench-test or audit review,,PENDING,5.10.1 → 5.10.2,N/A,Recall Z-0885-2026; units 2
CAPA-0056,Case-A-Nimbus,Recall-2024-Case-A-Nimbus,battery_bms_design,Preventive,Update SOPs,Regulatory,Critical,2026-01-05,2026-07-10,Open,21 CFR 806.10,Bench-test or audit review,,PENDING,N/A,2015-02-27,Recall Nimbus-2024; units 52328
CAPA-0057,Case-B-Ivenix,Recall-2024-Case-B-Ivenix,soc_algorithm_defect,Preventive,Revise V&V protocol,Quality,Medium,2026-04-04,2026-07-08,In-Progress,21 CFR 820.30,Bench-test or audit review,,PENDING,5.10.1 → 5.10.2,N/A,Recall Z-0885-2026; units 2
CAPA-0058,Case-A-Nimbus,Recall-2024-Case-A-Nimbus,battery_bms_design,Preventive,Update documentation,Software-Team,Medium,2026-01-18,2026-06-10,In-Progress,21 CFR 820.100,Bench-test or audit review,,PENDING,N/A,2015-02-27,Recall Nimbus-2024; units 52328
CAPA-0059,Case-A-Nimbus,Recall-2024-Case-A-Nimbus,occlusion_threshold,Corrective,Update checklists,Software-Team,Medium,2026-04-19,2026-10-16,In-Progress,21 CFR 803.50(a)(1),Bench-test or audit review,,PENDING,N/A,2015-02-27,Recall Nimbus-2024; units 52328
CAPA-0060,Case-A-Nimbus,Recall-2024-Case-A-Nimbus,occlusion_threshold,Corrective,Implement monitoring,Software-Team,Low,2026-04-20,2026-10-17,In-Progress,21 CFR 803.50(a)(1),Bench-test or audit review,,PENDING,N/A,2015-02-27,Recall Nimbus-2024; units 52328
CAPA-0061,Case-A-Nimbus,Recall-2024-Case-A-Nimbus,battery_bms_design,Preventive,Redesign firmware component,Regulatory,Critical,2026-01-18,2026-06-24,In-Progress,21 CFR 820.30,Bench-test or audit review,,PENDING,N/A,2015-02-27,Recall Nimbus-2024; units 52328
CAPA-0062,Case-B-Ivenix,Recall-2024-Case-B-Ivenix,input_validation_gap,Preventive,Update documentation,Software-Team,Critical,2026-03-19,2026-05-12,Complete,21 CFR 820.100,Bench-test or audit review,,PENDING,5.10.1 → 5.10.2,N/A,Recall Z-0885-2026; units 2
CAPA-0063,Case-B-Ivenix,Recall-2024-Case-B-Ivenix,soc_algorithm_defect,Corrective,Revise V&V protocol,Hardware-Team,Medium,2026-04-06,2026-05-11,Complete,21 CFR 820.100,Bench-test or audit review,,PENDING,5.10.1 → 5.10.2,N/A,Recall Z-0885-2026; units 2
CAPA-0064,Case-B-Ivenix,Recall-2024-Case-B-Ivenix,vv_protocol_gap,Preventive,Redesign process component,V&V-Team,Critical,2026-01-25,2026-04-22,In-Progress,21 CFR 806.10,Bench-test or audit review,,PENDING,5.10.1 → 5.10.2,N/A,Recall Z-0885-2026; units 2
CAPA-0065,Case-A-Nimbus,Recall-2024-Case-A-Nimbus,sterile_barrier,Corrective,Redesign process component,Hardware-Team,Medium,2026-04-19,2026-07-17,In-Progress,21 CFR 820.30,Bench-test or audit review,,PENDING,N/A,2015-02-27,Recall Nimbus-2024; units 52328
CAPA-0066,Case-A-Nimbus,Recall-2024-Case-A-Nimbus,battery_bms_design,Corrective,Redesign process component,Quality,Medium,2026-02-15,2026-06-14,Complete,21 CFR 803.50(a)(1),Bench-test or audit review,,PENDING,N/A,2015-02-27,Recall Nimbus-2024; units 52328
CAPA-0067,Case-B-Ivenix,Recall-2024-Case-B-Ivenix,soc_algorithm_defect,Corrective,Implement monitoring,Regulatory,Critical,2026-03-08,2026-05-06,Complete,21 CFR 820.30,Bench-test or audit review,,PENDING,5.10.1 → 5.10.2,N/A,Recall Z-0885-2026; units 2
CAPA-0068,Case-B-Ivenix,Recall-2024-Case-B-Ivenix,vv_protocol_gap,Corrective,Redesign firmware component,V&V-Team,High,2026-04-08,2026-09-23,In-Progress,21 CFR 806.10,Bench-test or audit review,,PENDING,5.10.1 → 5.10.2,N/A,Recall Z-0885-2026; units 2
CAPA-0069,Case-B-Ivenix,Recall-2024-Case-B-Ivenix,soc_algorithm_defect,Corrective,Implement audit trail,V&V-Team,Medium,2026-04-18,2026-08-19,Verified,21 CFR 806.10,Bench-test or audit review,2026-08-19,YES,5.10.1 → 5.10.2,N/A,Recall Z-0885-2026; units 2
CAPA-0070,Case-B-Ivenix,Recall-2024-Case-B-Ivenix,input_validation_gap,Corrective,Redesign circuit component,Hardware-Team,Medium,2026-04-04,2026-05-12,Open,21 CFR 820.30,Bench-test or audit review,,PENDING,5.10.1 → 5.10.2,N/A,Recall Z-0885-2026; units 2
CAPA-0071,Case-A-Nimbus,Recall-2024-Case-A-Nimbus,sterile_barrier,Preventive,Implement audit trail,Quality,Medium,2026-01-28,2026-02-17,In-Progress,21 CFR 820.30,Bench-test or audit review,,PENDING,N/A,2015-02-27,Recall Nimbus-2024; units 52328
CAPA-0072,Case-A-Nimbus,Recall-2024-Case-A-Nimbus,battery_bms_design,Corrective,Redesign circuit component,Regulatory,High,2026-01-09,2026-06-06,In-Progress,21 CFR 803.50(a)(1),Bench-test or audit review,,PENDING,N/A,2015-02-27,Recall Nimbus-2024; units 52328
CAPA-0073,Case-A-Nimbus,Recall-2024-Case-A-Nimbus,sterile_barrier,Corrective,Update SOPs,V&V-Team,High,2026-04-09,2026-08-23,In-Progress,21 CFR 820.100,Bench-test or audit review,,PENDING,N/A,2015-02-27,Recall Nimbus-2024; units 52328
CAPA-0074,Case-B-Ivenix,Recall-2024-Case-B-Ivenix,vv_protocol_gap,Preventive,Update SOPs,Hardware-Team,High,2026-02-28,2026-06-07,Open,21 CFR 803.50(a)(1),Bench-test or audit review,,PENDING,5.10.1 → 5.10.2,N/A,Recall Z-0885-2026; units 2
CAPA-0075,Case-B-Ivenix,Recall-2024-Case-B-Ivenix,input_validation_gap,Corrective,Revise specification,Quality,High,2026-04-01,2026-09-23,Complete,21 CFR 820.100,Bench-test or audit review,,PENDING,5.10.1 → 5.10.2,N/A,Recall Z-0885-2026; units 2
CAPA-0076,Case-B-Ivenix,Recall-2024-Case-B-Ivenix,soc_algorithm_defect,Corrective,Update SOPs,Software-Team,High,2026-01-24,2026-06-14,Complete,21 CFR 803.50(a)(1),Bench-test or audit review,,PENDING,5.10.1 → 5.10.2,N/A,Recall Z-0885-2026; units 2
CAPA-0077,Case-B-Ivenix,Recall-2024-Case-B-Ivenix,soc_algorithm_defect,Preventive,Update training materials,Manufacturing,Critical,2026-04-14,2026-06-14,Verified,21 CFR 806.10,Bench-test or audit review,2026-06-14,YES,5.10.1 → 5.10.2,N/A,Recall Z-0885-2026; units 2
CAPA-0078,Case-A-Nimbus,Recall-2024-Case-A-Nimbus,battery_bms_design,Corrective,Update SOPs,V&V-Team,Critical,2026-03-03,2026-07-07,In-Progress,21 CFR 820.30,Bench-test or audit review,,PENDING,N/A,2015-02-27,Recall Nimbus-2024; units 52328
CAPA-0079,Case-A-Nimbus,Recall-2024-Case-A-Nimbus,occlusion_threshold,Corrective,Update SOPs,Software-Team,Critical,2026-04-10,2026-08-20,Verified,21 CFR 803.50(a)(1),Bench-test or audit review,2026-08-20,YES,N/A,2015-02-27,Recall Nimbus-2024; units 52328
CAPA-0080,Case-A-Nimbus,Recall-2024-Case-A-Nimbus,sterile_barrier,Preventive,Redesign process component,Hardware-Team,Critical,2026-03-14,2026-04-17,Verified,21 CFR 806.10,Bench-test or audit review,2026-04-17,YES,N/A,2015-02-27,Recall Nimbus-2024; units 52328
CAPA-0081,Case-A-Nimbus,Recall-2024-Case-A-Nimbus,occlusion_threshold,Corrective,Revise V&V protocol,Regulatory,Medium,2026-04-07,2026-08-11,Complete,21 CFR 803.50(a)(1),Bench-test or audit review,,PENDING,N/A,2015-02-27,Recall Nimbus-2024; units 52328
CAPA-0082,Case-A-Nimbus,Recall-2024-Case-A-Nimbus,sterile_barrier,Preventive,Revise design review,Manufacturing,Critical,2026-04-06,2026-07-04,Open,21 CFR 803.50(a)(1),Bench-test or audit review,,PENDING,N/A,2015-02-27,Recall Nimbus-2024; units 52328
CAPA-0083,Case-A-Nimbus,Recall-2024-Case-A-Nimbus,sterile_barrier,Corrective,Implement monitoring,Manufacturing,High,2026-03-03,2026-09-17,In-Progress,21 CFR 803.50(a)(1),Bench-test or audit review,,PENDING,N/A,2015-02-27,Recall Nimbus-2024; units 52328
CAPA-0084,Case-B-Ivenix,Recall-2024-Case-B-Ivenix,vv_protocol_gap,Preventive,Revise test matrix,Hardware-Team,Critical,2026-01-19,2026-06-01,In-Progress,21 CFR 803.50(a)(1),Bench-test or audit review,,PENDING,5.10.1 → 5.10.2,N/A,Recall Z-0885-2026; units 2
CAPA-0085,Case-B-Ivenix,Recall-2024-Case-B-Ivenix,soc_algorithm_defect,Preventive,Redesign firmware component,Hardware-Team,Critical,2026-01-09,2026-03-10,Complete,21 CFR 806.10,Bench-test or audit review,,PENDING,5.10.1 → 5.10.2,N/A,Recall Z-0885-2026; units 2
CAPA-0086,Case-B-Ivenix,Recall-2024-Case-B-Ivenix,vv_protocol_gap,Preventive,Update training materials,V&V-Team,Critical,2026-01-09,2026-04-27,In-Progress,21 CFR 820.30,Bench-test or audit review,,PENDING,5.10.1 → 5.10.2,N/A,Recall Z-0885-2026; units 2
CAPA-0087,Case-B-Ivenix,Recall-2024-Case-B-Ivenix,vv_protocol_gap,Corrective,Revise test matrix,Quality,Medium,2026-01-17,2026-07-14,In-Progress,21 CFR 820.30,Bench-test or audit review,,PENDING,5.10.1 → 5.10.2,N/A,Recall Z-0885-2026; units 2
CAPA-0088,Case-B-Ivenix,Recall-2024-Case-B-Ivenix,input_validation_gap,Corrective,Redesign algorithm component,Regulatory,High,2026-02-03,2026-08-03,Open,21 CFR 803.50(a)(1),Bench-test or audit review,,PENDING,5.10.1 → 5.10.2,N/A,Recall Z-0885-2026; units 2
CAPA-0089,Case-A-Nimbus,Recall-2024-Case-A-Nimbus,battery_bms_design,Preventive,Implement escalation pathway,Field-Service,Critical,2026-01-23,2026-07-27,Complete,21 CFR 820.30,Bench-test or audit review,,PENDING,N/A,2015-02-27,Recall Nimbus-2024; units 52328
CAPA-0090,Case-A-Nimbus,Recall-2024-Case-A-Nimbus,sterile_barrier,Corrective,Implement audit trail,Manufacturing,High,2026-04-06,2026-05-08,In-Progress,21 CFR 820.30,Bench-test or audit review,,PENDING,N/A,2015-02-27,Recall Nimbus-2024; units 52328
CAPA-0091,Case-A-Nimbus,Recall-2024-Case-A-Nimbus,occlusion_threshold,Preventive,Implement monitoring,Software-Team,Critical,2026-01-18,2026-03-24,In-Progress,21 CFR 806.10,Bench-test or audit review,,PENDING,N/A,2015-02-27,Recall Nimbus-2024; units 52328
CAPA-0092,Case-A-Nimbus,Recall-2024-Case-A-Nimbus,sterile_barrier,Preventive,Implement audit trail,Manufacturing,Medium,2026-01-04,2026-05-18,In-Progress,21 CFR 820.100,Bench-test or audit review,,PENDING,N/A,2015-02-27,Recall Nimbus-2024; units 52328
CAPA-0093,Case-A-Nimbus,Recall-2024-Case-A-Nimbus,battery_bms_design,Corrective,Redesign circuit component,Hardware-Team,High,2026-04-07,2026-05-08,In-Progress,21 CFR 820.100,Bench-test or audit review,,PENDING,N/A,2015-02-27,Recall Nimbus-2024; units 52328
