study_id,product_tested,ingredient,study_type,control_group,randomized,blinded,sample_size,duration_weeks,primary_endpoint,result_direction,statistical_significance_p,clinical_meaningful,ftc_evidence_tier,standalone_sufficient_for_claim,claim_type_supported,limitations,funding_source,publication_year,journal,ftc_assessment
STU-0042,ProBio+ Daily component,Thiamine HCl,pilot_study,NO,NO,NO,435,21,energy_levels_self_report,neutral,0.2397,NO,Tier_2_pilot,NO,energy_metabolism,no product-specific testing; surrogate endpoints only; no control group,NIH grant,2025,JAMA,Insufficient for energy_metabolism claim under FTC standards
STU-0043,ProBio+ Daily component,Bifidobacterium lactis Bi-07,pilot_study,NO,NO,NO,280,16,cognitive_performance,positive,0.2297,NO,Tier_2_pilot,NO,energy_metabolism,no product-specific testing; surrogate endpoints only; small sample size; single center,Academic institution,2019,Gut Microbes,Insufficient for energy_metabolism claim under FTC standards
STU-0044,ProBio+ Daily component,Vitamin B12 (Methylcobalamin),open_label_trial,NO,NO,NO,373,32,gut_microbiome_diversity,positive,0.068,NO,Tier_2_pilot,NO,digestive_health,no control group; high dropout rate; no product-specific testing,Industry + independent verification,2020,Gut Microbes,Insufficient for digestive_health claim under FTC standards
STU-0045,ProBio+ Daily component,Folate (L-Methylfolate),RCT,YES,YES,YES,165,19,bloating_score,neutral,0.1485,NO,Tier_2_observational,CONDITIONAL,digestive_health,no blinding; small sample size; healthy volunteers only,NIH grant,2016,Food Research International,Insufficient for digestive_health claim under FTC standards
STU-0046,ProBio+ Daily component,Niacin (Niacinamide),cohort_study,NO,NO,NO,283,7,stool_consistency,positive,0.0653,NO,Tier_2_observational,CONDITIONAL,digestive_health,single center; no blinding; short duration,NIH grant,2022,J Functional Foods,Insufficient for digestive_health claim under FTC standards
STU-0047,ProBio+ Daily component,Bifidobacterium lactis Bi-07,open_label_trial,NO,NO,NO,375,33,inflammatory_markers,neutral,0.7443,NO,Tier_2_pilot,NO,energy_metabolism,surrogate endpoints only; small sample size,Academic institution,2018,NEJM,Insufficient for energy_metabolism claim under FTC standards
STU-0048,ProBio+ Daily component,Lactobacillus acidophilus NCFM,pilot_study,NO,NO,NO,49,46,stool_consistency,positive,0.1612,NO,Tier_2_pilot,NO,digestive_health,no control group; high dropout rate,EU research fund,2022,J Clinical Nutrition,Insufficient for digestive_health claim under FTC standards
STU-0049,ProBio+ Daily component,Lactobacillus plantarum 299v,pilot_study,NO,NO,NO,116,30,cognitive_performance,positive,0.0089,NO,Tier_2_pilot,NO,energy_metabolism,short duration; surrogate endpoints only; healthy volunteers only; small sample size,EU research fund,2025,Am J Clinical Nutrition,Insufficient for energy_metabolism claim under FTC standards
STU-0050,ProBio+ Daily component,Biotin (D-Biotin),pilot_study,NO,NO,NO,125,36,URTI_frequency,positive,0.1786,NO,Tier_2_pilot,NO,energy_metabolism,single center; small sample size,Industry + independent verification,2024,J Clinical Nutrition,Insufficient for energy_metabolism claim under FTC standards
STU-0051,ProBio+ Daily component,Folate (L-Methylfolate),animal_model,NO,NO,NO,324,1,antioxidant_capacity,neutral,0.303,NO,Tier_3_insufficient,NO,energy_metabolism,short duration; healthy volunteers only; single center,Industry (manufacturer),2024,J Functional Foods,Insufficient for energy_metabolism claim under FTC standards
STU-0052,ProBio+ Daily component,Bifidobacterium lactis Bi-07,consumer_survey,NO,NO,NO,426,15,URTI_frequency,neutral,0.799,NO,Tier_3_insufficient,NO,energy_metabolism,healthy volunteers only,NIH grant,2019,Food Research International,Insufficient for energy_metabolism claim under FTC standards
STU-0053,ProBio+ Daily component,Lactobacillus rhamnosus GG,cohort_study,NO,NO,NO,191,46,inflammatory_markers,negative,0.0304,NO,Tier_2_observational,CONDITIONAL,energy_metabolism,industry funded,Industry + independent verification,2020,NEJM,Insufficient for energy_metabolism claim under FTC standards
STU-0054,ProBio+ Daily component,Vitamin B6 (Pyridoxine HCl),pilot_study,NO,NO,NO,359,41,bloating_score,positive,0.1403,NO,Tier_2_pilot,NO,digestive_health,no control group; healthy volunteers only; high dropout rate,NIH grant,2018,Food Research International,Insufficient for digestive_health claim under FTC standards
STU-0055,ProBio+ Daily component,Thiamine HCl,animal_model,NO,NO,NO,280,6,bloating_score,neutral,0.6933,NO,Tier_3_insufficient,NO,digestive_health,healthy volunteers only; high dropout rate; short duration; small sample size,Academic institution,2025,BMJ Open,Insufficient for digestive_health claim under FTC standards
STU-0056,ProBio+ Daily component,Lactobacillus acidophilus NCFM,RCT,YES,YES,YES,42,47,skin_hydration,positive,0.1563,NO,Tier_2_observational,CONDITIONAL,energy_metabolism,healthy volunteers only; no product-specific testing; no control group,Academic institution,2021,Probiotics & Antimicrobials,Insufficient for energy_metabolism claim under FTC standards
STU-0057,ProBio+ Daily component,Vitamin B6 (Pyridoxine HCl),cohort_study,NO,NO,NO,214,17,gut_microbiome_diversity,negative,0.2013,NO,Tier_2_observational,CONDITIONAL,digestive_health,no blinding,EU research fund,2024,Food Research International,Insufficient for digestive_health claim under FTC standards
STU-0058,ProBio+ Daily component,Lactobacillus plantarum 299v,animal_model,NO,NO,NO,413,7,inflammatory_markers,negative,0.0185,NO,Tier_3_insufficient,NO,energy_metabolism,no control group; surrogate endpoints only; no blinding; high dropout rate,Academic institution,2019,Food Research International,Insufficient for energy_metabolism claim under FTC standards
STU-0059,ProBio+ Daily component,Vitamin B6 (Pyridoxine HCl),animal_model,NO,NO,NO,176,7,gut_microbiome_diversity,positive,0.2033,NO,Tier_3_insufficient,NO,digestive_health,industry funded; high dropout rate; healthy volunteers only; short duration,NIH grant,2017,Food Research International,Insufficient for digestive_health claim under FTC standards
STU-0060,ProBio+ Daily component,Pantothenic Acid,open_label_trial,NO,NO,NO,182,16,antioxidant_capacity,positive,0.0886,NO,Tier_2_pilot,NO,energy_metabolism,surrogate endpoints only; single center; no product-specific testing,NIH grant,2016,J Functional Foods,Insufficient for energy_metabolism claim under FTC standards
STU-0061,ProBio+ Daily component,Niacin (Niacinamide),consumer_survey,NO,NO,NO,33,21,cognitive_performance,neutral,0.3799,NO,Tier_3_insufficient,NO,energy_metabolism,single center; short duration; industry funded; no blinding,NIH grant,2025,Food Research International,Insufficient for energy_metabolism claim under FTC standards
STU-0062,ProBio+ Daily component,Biotin (D-Biotin),meta_analysis,YES,NO,NO,242,35,skin_hydration,positive,0.0876,NO,Tier_1_meta_analysis,YES,energy_metabolism,short duration,Academic institution,2023,Am J Clinical Nutrition,Adequate for energy_metabolism claim under FTC standards
STU-0063,ProBio+ Daily component,Pantothenic Acid,consumer_survey,NO,NO,NO,29,30,energy_levels_self_report,positive,0.0843,NO,Tier_3_insufficient,NO,energy_metabolism,no control group; surrogate endpoints only; no product-specific testing; high dropout rate,EU research fund,2023,Gut Microbes,Insufficient for energy_metabolism claim under FTC standards
STU-0064,ProBio+ Daily component,Thiamine HCl,meta_analysis,YES,NO,NO,259,22,bloating_score,positive,0.0601,NO,Tier_1_meta_analysis,YES,digestive_health,no product-specific testing; high dropout rate; no control group,Industry + independent verification,2018,JAMA,Adequate for digestive_health claim under FTC standards
STU-0065,ProBio+ Daily component,Pantothenic Acid,cohort_study,NO,NO,NO,34,18,gut_microbiome_diversity,positive,0.0203,NO,Tier_2_observational,CONDITIONAL,digestive_health,no control group; industry funded; no blinding; healthy volunteers only,Academic institution,2015,Am J Clinical Nutrition,Insufficient for digestive_health claim under FTC standards
STU-0066,ProBio+ Daily component,Lactobacillus plantarum 299v,cohort_study,NO,NO,NO,333,34,URTI_frequency,positive,0.158,NO,Tier_2_observational,CONDITIONAL,energy_metabolism,no blinding; high dropout rate,NIH grant,2025,J Clinical Nutrition,Insufficient for energy_metabolism claim under FTC standards
STU-0067,ProBio+ Daily component,Pantothenic Acid,cohort_study,NO,NO,NO,268,4,gut_microbiome_diversity,positive,0.0798,NO,Tier_2_observational,CONDITIONAL,digestive_health,no blinding; healthy volunteers only; no control group,Industry (manufacturer),2018,BMJ Open,Insufficient for digestive_health claim under FTC standards
STU-0068,ProBio+ Daily component,Riboflavin,animal_model,NO,NO,NO,234,8,cognitive_performance,negative,0.0567,NO,Tier_3_insufficient,NO,energy_metabolism,short duration; healthy volunteers only; small sample size; no product-specific testing,Academic institution,2020,J Functional Foods,Insufficient for energy_metabolism claim under FTC standards
STU-0069,ProBio+ Daily component,Lactobacillus rhamnosus GG,open_label_trial,NO,NO,NO,354,13,stool_consistency,neutral,0.1962,NO,Tier_2_pilot,NO,digestive_health,no product-specific testing; single center; high dropout rate; no blinding,EU research fund,2015,NEJM,Insufficient for digestive_health claim under FTC standards
STU-0070,ProBio+ Daily component,Folate (L-Methylfolate),meta_analysis,YES,NO,NO,58,29,cognitive_performance,positive,0.0658,NO,Tier_1_meta_analysis,YES,energy_metabolism,surrogate endpoints only; high dropout rate; industry funded,EU research fund,2020,NEJM,Adequate for energy_metabolism claim under FTC standards
STU-0071,ProBio+ Daily component,Thiamine HCl,cohort_study,NO,NO,NO,136,9,URTI_frequency,negative,0.1456,NO,Tier_2_observational,CONDITIONAL,energy_metabolism,no blinding; healthy volunteers only,EU research fund,2024,NEJM,Insufficient for energy_metabolism claim under FTC standards
STU-0072,ProBio+ Daily component,Lactobacillus rhamnosus GG,cohort_study,NO,NO,NO,432,39,skin_hydration,neutral,0.3607,NO,Tier_2_observational,CONDITIONAL,energy_metabolism,surrogate endpoints only; no blinding,Academic institution,2025,Gut Microbes,Insufficient for energy_metabolism claim under FTC standards
STU-0073,ProBio+ Daily component,Bifidobacterium lactis Bi-07,animal_model,NO,NO,NO,153,2,bioavailability,neutral,0.7074,NO,Tier_3_insufficient,NO,energy_metabolism,high dropout rate; no product-specific testing; industry funded,Industry (manufacturer),2025,JAMA,Insufficient for energy_metabolism claim under FTC standards
STU-0074,ProBio+ Daily component,Niacin (Niacinamide),consumer_survey,NO,NO,NO,168,5,cognitive_performance,positive,0.1735,NO,Tier_3_insufficient,NO,energy_metabolism,surrogate endpoints only; small sample size,EU research fund,2024,Am J Clinical Nutrition,Insufficient for energy_metabolism claim under FTC standards
STU-0075,ProBio+ Daily component,Biotin (D-Biotin),meta_analysis,YES,NO,NO,321,39,NK_cell_activity,negative,0.2497,NO,Tier_1_meta_analysis,YES,immune_function,no product-specific testing; healthy volunteers only,Industry + independent verification,2021,Gut Microbes,Adequate for immune_function claim under FTC standards
STU-0076,ProBio+ Daily component,Folate (L-Methylfolate),meta_analysis,YES,NO,NO,310,49,antioxidant_capacity,neutral,0.1273,NO,Tier_1_meta_analysis,YES,energy_metabolism,short duration,Industry + independent verification,2018,JAMA,Adequate for energy_metabolism claim under FTC standards
STU-0077,ProBio+ Daily component,Lactobacillus plantarum 299v,open_label_trial,NO,NO,NO,425,50,gut_microbiome_diversity,negative,0.2227,NO,Tier_2_pilot,NO,digestive_health,no blinding,NIH grant,2022,Am J Clinical Nutrition,Insufficient for digestive_health claim under FTC standards
STU-0078,ProBio+ Daily component,Bifidobacterium lactis Bi-07,meta_analysis,YES,NO,NO,331,51,stool_consistency,positive,0.1733,NO,Tier_1_meta_analysis,YES,digestive_health,single center,Industry (manufacturer),2020,Gut Microbes,Adequate for digestive_health claim under FTC standards
STU-0079,ProBio+ Daily component,Lactobacillus rhamnosus GG,pilot_study,NO,NO,NO,22,49,antioxidant_capacity,neutral,0.3359,NO,Tier_2_pilot,NO,energy_metabolism,no product-specific testing; no blinding; high dropout rate; surrogate endpoints only,Academic institution,2019,J Functional Foods,Insufficient for energy_metabolism claim under FTC standards
STU-0080,ProBio+ Daily component,Niacin (Niacinamide),meta_analysis,YES,NO,NO,120,19,bloating_score,neutral,0.632,NO,Tier_1_meta_analysis,YES,digestive_health,surrogate endpoints only; no control group,Academic institution,2019,J Functional Foods,Adequate for digestive_health claim under FTC standards
STU-0081,ProBio+ Daily component,Thiamine HCl,animal_model,NO,NO,NO,346,8,cognitive_performance,neutral,0.6327,NO,Tier_3_insufficient,NO,energy_metabolism,surrogate endpoints only; healthy volunteers only; no control group,Industry + independent verification,2017,J Functional Foods,Insufficient for energy_metabolism claim under FTC standards
STU-0082,ProBio+ Daily component,Riboflavin,animal_model,NO,NO,NO,59,4,cognitive_performance,positive,0.2183,NO,Tier_3_insufficient,NO,energy_metabolism,single center; no blinding,Industry (manufacturer),2021,NEJM,Insufficient for energy_metabolism claim under FTC standards
STU-0083,ProBio+ Daily component,Vitamin B6 (Pyridoxine HCl),RCT,YES,YES,YES,87,10,NK_cell_activity,positive,0.027,NO,Tier_1_RCT,YES,immune_function,no blinding; high dropout rate,Industry + independent verification,2018,J Clinical Nutrition,Adequate for immune_function claim under FTC standards
STU-0084,ProBio+ Daily component,Niacin (Niacinamide),open_label_trial,NO,NO,NO,326,35,NK_cell_activity,neutral,0.6429,NO,Tier_2_pilot,NO,immune_function,industry funded; no blinding; no product-specific testing; healthy volunteers only,Industry + independent verification,2024,JAMA,Insufficient for immune_function claim under FTC standards
STU-0085,ProBio+ Daily component,Vitamin B12 (Methylcobalamin),consumer_survey,NO,NO,NO,207,24,gut_microbiome_diversity,positive,0.2469,NO,Tier_3_insufficient,NO,digestive_health,short duration,EU research fund,2020,Nutrients,Insufficient for digestive_health claim under FTC standards
STU-0086,ProBio+ Daily component,Folate (L-Methylfolate),pilot_study,NO,NO,NO,238,24,immune_markers_IgA,neutral,0.1156,NO,Tier_2_pilot,NO,immune_function,no product-specific testing; healthy volunteers only; industry funded; surrogate endpoints only,EU research fund,2025,Food Research International,Insufficient for immune_function claim under FTC standards
STU-0087,ProBio+ Daily component,Biotin (D-Biotin),pilot_study,NO,NO,NO,32,4,gut_microbiome_diversity,neutral,0.7078,NO,Tier_2_pilot,NO,digestive_health,surrogate endpoints only; healthy volunteers only,EU research fund,2018,Probiotics & Antimicrobials,Insufficient for digestive_health claim under FTC standards
STU-0088,ProBio+ Daily component,Folate (L-Methylfolate),consumer_survey,NO,NO,NO,107,7,URTI_frequency,positive,0.104,NO,Tier_3_insufficient,NO,energy_metabolism,single center,Industry + independent verification,2023,J Clinical Nutrition,Insufficient for energy_metabolism claim under FTC standards
STU-0089,ProBio+ Daily component,Thiamine HCl,RCT,YES,YES,YES,317,48,NK_cell_activity,negative,0.0095,YES,Tier_1_RCT,YES,immune_function,surrogate endpoints only,Industry + independent verification,2020,JAMA,Adequate for immune_function claim under FTC standards
STU-0090,ProBio+ Daily component,Niacin (Niacinamide),open_label_trial,NO,NO,NO,440,26,antioxidant_capacity,neutral,0.387,NO,Tier_2_pilot,NO,energy_metabolism,high dropout rate; surrogate endpoints only; no product-specific testing,EU research fund,2019,Nutrients,Insufficient for energy_metabolism claim under FTC standards
STU-0091,ProBio+ Daily component,Lactobacillus rhamnosus GG,animal_model,NO,NO,NO,355,4,antioxidant_capacity,neutral,0.6277,NO,Tier_3_insufficient,NO,energy_metabolism,single center; high dropout rate; industry funded,EU research fund,2016,Gut Microbes,Insufficient for energy_metabolism claim under FTC standards
STU-0092,ProBio+ Daily component,Thiamine HCl,animal_model,NO,NO,NO,192,7,stool_consistency,neutral,0.677,NO,Tier_3_insufficient,NO,digestive_health,short duration; industry funded; no product-specific testing; surrogate endpoints only,Industry (manufacturer),2022,Food Research International,Insufficient for digestive_health claim under FTC standards
STU-0093,ProBio+ Daily component,Pantothenic Acid,animal_model,NO,NO,NO,358,4,bioavailability,neutral,0.1595,NO,Tier_3_insufficient,NO,energy_metabolism,small sample size; single center; no blinding,Academic institution,2021,J Clinical Nutrition,Insufficient for energy_metabolism claim under FTC standards
