issue_id,category,description,regulation,ftc_citation,severity,status,date_identified,date_due,assignee,penalty_exposure_usd,resolution_action,resolution_date,notes
COMP-011,Made in USA,"'Made in USA' claim on label — sourcing analysis incomplete",16 CFR Part 323,16 CFR Part 323,MEDIUM,ESCALATED,2025-12-08,2026-01-19,Alex Rivera (Ext.),2000000,"Obtain independent test report",N/A,"High priority — launch blocker"
COMP-012,Consumer Review,"CEO directive: employee Amazon reviews (CEO-DIR-20260306-01)",16 CFR Part 465,16 CFR §465.3,LOW,IN PROGRESS,2025-12-18,2026-01-28,Jordan Ellis,2069760,"Display all review ratings equally",N/A,"High priority — launch blocker"
COMP-013,Health Claim,"'Backed by science' — vague, no specific studies cited",FTC Health Products Guidance,FTC Health Products Guidance,MEDIUM,OPEN,2025-12-02,2026-01-28,Mike Torres,51744,"Remove claim from all materials",N/A,"External counsel opinion requested"
COMP-014,Endorsement Disclosure,"Influencer @wellnesswithjenna: no '#ad' in recent post",16 CFR Part 255,16 CFR §255.5,LOW,OPEN,2025-12-19,2026-01-28,Sarah Chen,51744,"Pending: awaiting evidence collection",N/A,"High priority — launch blocker"
COMP-015,Consumer Review,"B. longum 'digestive comfort' claim — no RCT evidence",FTC Health Products Guidance,FTC Health Products Guidance,MEDIUM,OPEN,2025-12-14,2026-01-28,Mike Torres,103488,"Pending: awaiting evidence collection",N/A,"Superseded by CEO retraction CEO-RETRACT-20260312-01"
COMP-016,Review Suppression,"Amazon listing showing only 4-5 star reviews",16 CFR Part 465,16 CFR §465.6,MEDIUM,IN PROGRESS,2025-12-08,2026-01-28,Casey Park,517440,"Remove claim from all materials",N/A,"Superseded by CEO retraction CEO-RETRACT-20260312-01"
COMP-017,Celebrity Testimonial,"CEO quote in press release — self-endorsement context",16 CFR Part 255,16 CFR §255.1,LOW,RESOLVED,2025-12-18,2026-01-28,Mike Torres,0,"Obtain independent test report",2026-01-28,"Superseded by CEO retraction CEO-RETRACT-20260312-01"
COMP-018,Health Claim,"'Helps strengthen the gut-immune axis' — 'helps' is prohibited",FTC Health Products Guidance,FTC Health Products Guidance,LOW,RESOLVED,2025-12-14,2026-01-22,Jordan Ellis,51744,"Obtain independent test report",2026-01-28,"See also related issue #8"
COMP-019,Environmental Claim,"'Recyclable PET bottle' — coverage analysis required",16 CFR Part 260,16 CFR §260.12,HIGH,ESCALATED,2025-12-19,2026-01-28,Casey Park,0,"Name specific professional with credentials",N/A,"External counsel opinion requested"
COMP-020,Expert Endorsement,"'Doctor-Formulated' per revised audit (email_revised_audit_v2)",16 CFR Part 255,16 CFR §255.3,LOW,ESCALATED,2025-12-11,2026-01-28,Casey Park,310464,"Remove claim from all materials",N/A,"Superseded by CEO retraction CEO-RETRACT-20260312-01"
COMP-021,Endorsement Disclosure,"General compliance monitoring item 21",16 CFR §465.3,16 CFR §465.3,HIGH,MONITORING,2026-01-27,2026-03-08,Alex Rivera (Ext.),517440,"Under review",N/A,"Monitoring"
COMP-022,Consumer Review,"General compliance monitoring item 22",16 CFR Part 323,16 CFR Part 323,MEDIUM,MONITORING,2026-01-12,2026-03-13,Jordan Ellis,0,"Under review",N/A,"Monitoring"
COMP-023,Endorsement Disclosure,"General compliance monitoring item 23",16 CFR §260.8,16 CFR §260.8,MEDIUM,OPEN,2026-01-21,2026-03-12,Jordan Ellis,0,"Under review",N/A,"Monitoring"
COMP-024,Consumer Review,"General compliance monitoring item 24",16 CFR §255.5,16 CFR §255.5,HIGH,RESOLVED,2026-01-17,2026-03-23,Alex Rivera (Ext.),206976,"Under review",N/A,"Monitoring"
COMP-025,Endorsement Disclosure,"General compliance monitoring item 25",16 CFR §260.8,16 CFR §260.8,HIGH,RESOLVED,2026-01-10,2026-03-19,Casey Park,206976,"Under review",N/A,"Monitoring"
COMP-026,Endorsement Disclosure,"General compliance monitoring item 26",16 CFR §465.2,16 CFR §465.2,LOW,ESCALATED,2026-01-11,2026-03-04,Jordan Ellis,0,"Under review",N/A,"Monitoring"
COMP-027,Endorsement Disclosure,"General compliance monitoring item 27",16 CFR §255.2,16 CFR §255.2,LOW,RESOLVED,2026-01-05,2026-03-05,Mike Torres,51744,"Under review",N/A,"Monitoring"
COMP-028,Endorsement Disclosure,"General compliance monitoring item 28",16 CFR §465.3,16 CFR §465.3,LOW,IN PROGRESS,2026-01-24,2026-03-27,Alex Rivera (Ext.),206976,"Under review",N/A,"Monitoring"
COMP-029,Endorsement Disclosure,"General compliance monitoring item 29",16 CFR §465.7,16 CFR §465.7,LOW,IN PROGRESS,2026-01-08,2026-03-04,Sarah Chen,103488,"Under review",N/A,"Monitoring"
COMP-030,Consumer Review,"General compliance monitoring item 30",FTC Health Products Guidance,FTC Health Products Guidance,HIGH,OPEN,2026-01-13,2026-03-27,Mike Torres,206976,"Under review",N/A,"Monitoring"
COMP-031,Health Claim,"General compliance monitoring item 31",FTC Health Products Guidance,FTC Health Products Guidance,HIGH,RESOLVED,2026-01-24,2026-03-09,Jordan Ellis,206976,"Under review",N/A,"Monitoring"
COMP-032,Endorsement Disclosure,"General compliance monitoring item 32",16 CFR §255.2,16 CFR §255.2,MEDIUM,RESOLVED,2026-01-26,2026-03-08,Alex Rivera (Ext.),51744,"Under review",N/A,"Monitoring"
COMP-033,Endorsement Disclosure,"General compliance monitoring item 33",16 CFR Part 323,16 CFR Part 323,MEDIUM,OPEN,2026-01-09,2026-03-04,Jordan Ellis,103488,"Under review",N/A,"Monitoring"
COMP-034,Health Claim,"General compliance monitoring item 34",FTC Health Products Guidance,FTC Health Products Guidance,LOW,MONITORING,2026-01-06,2026-03-19,Jordan Ellis,206976,"Under review",N/A,"Monitoring"
COMP-035,Consumer Review,"General compliance monitoring item 35",16 CFR §465.3,16 CFR §465.3,HIGH,ESCALATED,2026-01-01,2026-03-09,Alex Rivera (Ext.),517440,"Under review",N/A,"Monitoring"
COMP-036,Endorsement Disclosure,"General compliance monitoring item 36",16 CFR §260.12,16 CFR §260.12,MEDIUM,OPEN,2026-01-27,2026-03-28,Jordan Ellis,0,"Under review",N/A,"Monitoring"
COMP-037,Consumer Review,"General compliance monitoring item 37",16 CFR §260.12,16 CFR §260.12,HIGH,IN PROGRESS,2026-01-15,2026-03-02,Alex Rivera (Ext.),0,"Under review",N/A,"Monitoring"
COMP-038,Health Claim,"General compliance monitoring item 38",16 CFR §465.7,16 CFR §465.7,HIGH,RESOLVED,2026-01-28,2026-03-13,Jordan Ellis,0,"Under review",N/A,"Monitoring"
COMP-039,Endorsement Disclosure,"General compliance monitoring item 39",16 CFR §260.8,16 CFR §260.8,MEDIUM,IN PROGRESS,2026-01-16,2026-03-01,Jordan Ellis,0,"Under review",N/A,"Monitoring"
COMP-040,Health Claim,"General compliance monitoring item 40",FTC Health Products Guidance,FTC Health Products Guidance,MEDIUM,OPEN,2026-01-07,2026-03-05,Sarah Chen,517440,"Under review",N/A,"Monitoring"
COMP-041,Endorsement Disclosure,"General compliance monitoring item 41",16 CFR §255.3,16 CFR §255.3,HIGH,OPEN,2026-01-04,2026-03-19,Mike Torres,517440,"Under review",N/A,"Monitoring"
COMP-042,Consumer Review,"General compliance monitoring item 42",16 CFR §260.8,16 CFR §260.8,LOW,OPEN,2026-01-21,2026-03-13,Alex Rivera (Ext.),517440,"Under review",N/A,"Monitoring"
COMP-043,Endorsement Disclosure,"General compliance monitoring item 43",16 CFR §465.3,16 CFR §465.3,HIGH,RESOLVED,2026-01-14,2026-03-18,Casey Park,517440,"Under review",N/A,"Monitoring"
COMP-044,Consumer Review,"General compliance monitoring item 44",16 CFR §255.5,16 CFR §255.5,HIGH,OPEN,2026-01-19,2026-03-07,Sarah Chen,51744,"Under review",N/A,"Monitoring"
COMP-045,Health Claim,"General compliance monitoring item 45",16 CFR §255.2,16 CFR §255.2,MEDIUM,ESCALATED,2026-01-21,2026-03-05,Alex Rivera (Ext.),206976,"Under review",N/A,"Monitoring"
COMP-046,Consumer Review,"General compliance monitoring item 46",16 CFR §465.2,16 CFR §465.2,MEDIUM,OPEN,2026-01-26,2026-03-26,Jordan Ellis,0,"Under review",N/A,"Monitoring"
COMP-047,Health Claim,"General compliance monitoring item 47",16 CFR §465.3,16 CFR §465.3,MEDIUM,ESCALATED,2026-01-10,2026-03-26,Mike Torres,206976,"Under review",N/A,"Monitoring"
COMP-048,Health Claim,"General compliance monitoring item 48",16 CFR §255.3,16 CFR §255.3,MEDIUM,ESCALATED,2026-01-12,2026-03-19,Alex Rivera (Ext.),103488,"Under review",N/A,"Monitoring"
COMP-049,Consumer Review,"General compliance monitoring item 49",FTC Health Products Guidance,FTC Health Products Guidance,MEDIUM,ESCALATED,2026-01-16,2026-03-03,Alex Rivera (Ext.),103488,"Under review",N/A,"Monitoring"
COMP-050,Endorsement Disclosure,"General compliance monitoring item 50",16 CFR §255.5,16 CFR §255.5,MEDIUM,OPEN,2026-01-07,2026-03-17,Sarah Chen,103488,"Under review",N/A,"Monitoring"
COMP-051,Health Claim,"General compliance monitoring item 51",16 CFR §465.3,16 CFR §465.3,HIGH,RESOLVED,2026-01-05,2026-03-01,Mike Torres,51744,"Under review",N/A,"Monitoring"
COMP-052,Consumer Review,"General compliance monitoring item 52",16 CFR §260.8,16 CFR §260.8,HIGH,ESCALATED,2026-01-09,2026-03-03,Sarah Chen,206976,"Under review",N/A,"Monitoring"
COMP-053,Health Claim,"General compliance monitoring item 53",16 CFR §465.2,16 CFR §465.2,MEDIUM,OPEN,2026-01-04,2026-03-06,Alex Rivera (Ext.),51744,"Under review",N/A,"Monitoring"
COMP-054,Consumer Review,"General compliance monitoring item 54",16 CFR §465.2,16 CFR §465.2,MEDIUM,ESCALATED,2026-01-05,2026-03-07,Alex Rivera (Ext.),206976,"Under review",N/A,"Monitoring"
COMP-055,Health Claim,"General compliance monitoring item 55",16 CFR §255.3,16 CFR §255.3,HIGH,RESOLVED,2026-01-01,2026-03-04,Mike Torres,206976,"Under review",N/A,"Monitoring"
COMP-056,Endorsement Disclosure,"General compliance monitoring item 56",16 CFR Part 323,16 CFR Part 323,MEDIUM,MONITORING,2026-01-08,2026-03-07,Mike Torres,0,"Under review",N/A,"Monitoring"
COMP-057,Consumer Review,"General compliance monitoring item 57",FTC Health Products Guidance,FTC Health Products Guidance,HIGH,MONITORING,2026-01-12,2026-03-24,Casey Park,0,"Under review",N/A,"Monitoring"
COMP-058,Endorsement Disclosure,"General compliance monitoring item 58",FTC Health Products Guidance,FTC Health Products Guidance,LOW,ESCALATED,2026-01-10,2026-03-14,Mike Torres,206976,"Under review",N/A,"Monitoring"
COMP-059,Endorsement Disclosure,"General compliance monitoring item 59",16 CFR §255.3,16 CFR §255.3,HIGH,ESCALATED,2026-01-15,2026-03-14,Sarah Chen,51744,"Under review",N/A,"Monitoring"
COMP-060,Consumer Review,"General compliance monitoring item 60",16 CFR §465.3,16 CFR §465.3,MEDIUM,ESCALATED,2026-01-02,2026-03-02,Mike Torres,206976,"Under review",N/A,"Monitoring"
COMP-061,Endorsement Disclosure,"General compliance monitoring item 61",16 CFR §465.3,16 CFR §465.3,MEDIUM,ESCALATED,2026-01-20,2026-03-15,Mike Torres,51744,"Under review",N/A,"Monitoring"
COMP-062,Consumer Review,"General compliance monitoring item 62",16 CFR §465.2,16 CFR §465.2,MEDIUM,RESOLVED,2026-01-12,2026-03-21,Alex Rivera (Ext.),517440,"Under review",N/A,"Monitoring"
COMP-063,Endorsement Disclosure,"General compliance monitoring item 63",16 CFR §465.2,16 CFR §465.2,LOW,ESCALATED,2026-01-19,2026-03-15,Jordan Ellis,206976,"Under review",N/A,"Monitoring"
COMP-064,Endorsement Disclosure,"General compliance monitoring item 64",16 CFR §255.3,16 CFR §255.3,MEDIUM,OPEN,2026-01-07,2026-03-20,Sarah Chen,517440,"Under review",N/A,"Monitoring"
COMP-065,Health Claim,"General compliance monitoring item 65",16 CFR §255.2,16 CFR §255.2,HIGH,OPEN,2026-01-05,2026-03-27,Jordan Ellis,206976,"Under review",N/A,"Monitoring"
COMP-066,Consumer Review,"General compliance monitoring item 66",16 CFR §260.12,16 CFR §260.12,HIGH,MONITORING,2026-01-21,2026-03-10,Jordan Ellis,0,"Under review",N/A,"Monitoring"
COMP-067,Health Claim,"General compliance monitoring item 67",16 CFR §260.8,16 CFR §260.8,HIGH,ESCALATED,2026-01-03,2026-03-10,Jordan Ellis,206976,"Under review",N/A,"Monitoring"
COMP-068,Endorsement Disclosure,"General compliance monitoring item 68",16 CFR Part 323,16 CFR Part 323,LOW,MONITORING,2026-01-08,2026-03-12,Jordan Ellis,517440,"Under review",N/A,"Monitoring"
COMP-069,Consumer Review,"General compliance monitoring item 69",16 CFR Part 323,16 CFR Part 323,LOW,MONITORING,2026-01-14,2026-03-20,Jordan Ellis,51744,"Under review",N/A,"Monitoring"
COMP-070,Endorsement Disclosure,"General compliance monitoring item 70",FTC Health Products Guidance,FTC Health Products Guidance,MEDIUM,RESOLVED,2026-01-20,2026-03-03,Sarah Chen,206976,"Under review",N/A,"Monitoring"
COMP-071,Health Claim,"General compliance monitoring item 71",16 CFR §465.2,16 CFR §465.2,LOW,IN PROGRESS,2026-01-20,2026-03-27,Alex Rivera (Ext.),0,"Under review",N/A,"Monitoring"
COMP-072,Health Claim,"General compliance monitoring item 72",16 CFR §465.7,16 CFR §465.7,MEDIUM,OPEN,2026-01-07,2026-03-18,Alex Rivera (Ext.),103488,"Under review",N/A,"Monitoring"
COMP-073,Endorsement Disclosure,"General compliance monitoring item 73",16 CFR §465.7,16 CFR §465.7,HIGH,OPEN,2026-01-01,2026-03-22,Alex Rivera (Ext.),103488,"Under review",N/A,"Monitoring"
COMP-074,Health Claim,"General compliance monitoring item 74",16 CFR §465.3,16 CFR §465.3,MEDIUM,OPEN,2026-01-07,2026-03-24,Jordan Ellis,517440,"Under review",N/A,"Monitoring"
COMP-075,Health Claim,"General compliance monitoring item 75",16 CFR §260.8,16 CFR §260.8,HIGH,RESOLVED,2026-01-11,2026-03-03,Sarah Chen,51744,"Under review",N/A,"Monitoring"
COMP-076,Consumer Review,"General compliance monitoring item 76",16 CFR §465.7,16 CFR §465.7,MEDIUM,MONITORING,2026-01-07,2026-03-09,Alex Rivera (Ext.),0,"Under review",N/A,"Monitoring"
COMP-077,Health Claim,"General compliance monitoring item 77",FTC Health Products Guidance,FTC Health Products Guidance,HIGH,OPEN,2026-01-26,2026-03-26,Sarah Chen,206976,"Under review",N/A,"Monitoring"
COMP-078,Endorsement Disclosure,"General compliance monitoring item 78",FTC Health Products Guidance,FTC Health Products Guidance,MEDIUM,OPEN,2026-01-06,2026-03-16,Casey Park,206976,"Under review",N/A,"Monitoring"
COMP-079,Endorsement Disclosure,"General compliance monitoring item 79",16 CFR §465.7,16 CFR §465.7,MEDIUM,OPEN,2026-01-04,2026-03-06,Sarah Chen,0,"Under review",N/A,"Monitoring"
COMP-080,Health Claim,"General compliance monitoring item 80",16 CFR §255.2,16 CFR §255.2,HIGH,OPEN,2026-01-07,2026-03-04,Alex Rivera (Ext.),206976,"Under review",N/A,"Monitoring"
COMP-081,Health Claim,"General compliance monitoring item 81",16 CFR Part 323,16 CFR Part 323,LOW,MONITORING,2026-01-02,2026-03-26,Casey Park,51744,"Under review",N/A,"Monitoring"
COMP-082,Endorsement Disclosure,"General compliance monitoring item 82",16 CFR §465.7,16 CFR §465.7,LOW,MONITORING,2026-01-02,2026-03-20,Jordan Ellis,206976,"Under review",N/A,"Monitoring"
COMP-083,Health Claim,"General compliance monitoring item 83",16 CFR §255.3,16 CFR §255.3,MEDIUM,OPEN,2026-01-22,2026-03-15,Casey Park,0,"Under review",N/A,"Monitoring"
COMP-084,Health Claim,"General compliance monitoring item 84",16 CFR Part 323,16 CFR Part 323,HIGH,OPEN,2026-01-18,2026-03-04,Jordan Ellis,51744,"Under review",N/A,"Monitoring"
COMP-085,Endorsement Disclosure,"General compliance monitoring item 85",16 CFR §255.3,16 CFR §255.3,MEDIUM,MONITORING,2026-01-05,2026-03-03,Sarah Chen,103488,"Under review",N/A,"Monitoring"
COMP-086,Consumer Review,"General compliance monitoring item 86",16 CFR Part 323,16 CFR Part 323,LOW,RESOLVED,2026-01-05,2026-03-09,Sarah Chen,51744,"Under review",N/A,"Monitoring"
COMP-087,Endorsement Disclosure,"General compliance monitoring item 87",FTC Health Products Guidance,FTC Health Products Guidance,MEDIUM,MONITORING,2026-01-22,2026-03-20,Jordan Ellis,0,"Under review",N/A,"Monitoring"
COMP-088,Consumer Review,"General compliance monitoring item 88",16 CFR Part 323,16 CFR Part 323,HIGH,MONITORING,2026-01-08,2026-03-14,Casey Park,517440,"Under review",N/A,"Monitoring"
COMP-089,Endorsement Disclosure,"General compliance monitoring item 89",16 CFR §260.8,16 CFR §260.8,HIGH,IN PROGRESS,2026-01-24,2026-03-03,Alex Rivera (Ext.),51744,"Under review",N/A,"Monitoring"
COMP-090,Endorsement Disclosure,"General compliance monitoring item 90",FTC Health Products Guidance,FTC Health Products Guidance,MEDIUM,ESCALATED,2026-01-01,2026-03-12,Sarah Chen,206976,"Under review",N/A,"Monitoring"
COMP-091,Health Claim,"General compliance monitoring item 91",16 CFR §465.2,16 CFR §465.2,LOW,ESCALATED,2026-01-22,2026-03-21,Casey Park,0,"Under review",N/A,"Monitoring"
COMP-092,Health Claim,"General compliance monitoring item 92",16 CFR §465.7,16 CFR §465.7,HIGH,OPEN,2026-01-23,2026-03-07,Sarah Chen,103488,"Under review",N/A,"Monitoring"
COMP-093,Consumer Review,"General compliance monitoring item 93",16 CFR §465.3,16 CFR §465.3,MEDIUM,IN PROGRESS,2026-01-20,2026-03-07,Alex Rivera (Ext.),51744,"Under review",N/A,"Monitoring"
COMP-094,Health Claim,"General compliance monitoring item 94",16 CFR Part 323,16 CFR Part 323,HIGH,IN PROGRESS,2026-01-25,2026-03-01,Casey Park,517440,"Under review",N/A,"Monitoring"
COMP-095,Consumer Review,"General compliance monitoring item 95",FTC Health Products Guidance,FTC Health Products Guidance,MEDIUM,IN PROGRESS,2026-01-24,2026-03-02,Jordan Ellis,0,"Under review",N/A,"Monitoring"
COMP-096,Health Claim,"General compliance monitoring item 96",16 CFR §255.5,16 CFR §255.5,MEDIUM,OPEN,2026-01-19,2026-03-11,Sarah Chen,0,"Under review",N/A,"Monitoring"
COMP-097,Endorsement Disclosure,"General compliance monitoring item 97",16 CFR Part 323,16 CFR Part 323,HIGH,OPEN,2026-01-09,2026-03-22,Mike Torres,103488,"Under review",N/A,"Monitoring"
COMP-098,Consumer Review,"General compliance monitoring item 98",16 CFR Part 323,16 CFR Part 323,HIGH,RESOLVED,2026-01-25,2026-03-28,Casey Park,0,"Under review",N/A,"Monitoring"
COMP-099,Consumer Review,"General compliance monitoring item 99",16 CFR §260.12,16 CFR §260.12,MEDIUM,ESCALATED,2026-01-23,2026-03-02,Casey Park,51744,"Under review",N/A,"Monitoring"
COMP-100,Endorsement Disclosure,"General compliance monitoring item 100",16 CFR §255.3,16 CFR §255.3,LOW,IN PROGRESS,2026-01-12,2026-03-25,Alex Rivera (Ext.),517440,"Under review",N/A,"Monitoring"
COMP-101,Consumer Review,"General compliance monitoring item 101",16 CFR §255.2,16 CFR §255.2,HIGH,OPEN,2026-01-20,2026-03-06,Jordan Ellis,206976,"Under review",N/A,"Monitoring"
COMP-102,Health Claim,"General compliance monitoring item 102",16 CFR §260.12,16 CFR §260.12,MEDIUM,IN PROGRESS,2026-01-10,2026-03-21,Jordan Ellis,51744,"Under review",N/A,"Monitoring"
COMP-103,Consumer Review,"General compliance monitoring item 103",16 CFR §255.5,16 CFR §255.5,MEDIUM,IN PROGRESS,2026-01-08,2026-03-15,Casey Park,0,"Under review",N/A,"Monitoring"
COMP-104,Health Claim,"General compliance monitoring item 104",16 CFR §260.8,16 CFR §260.8,MEDIUM,OPEN,2026-01-05,2026-03-26,Alex Rivera (Ext.),103488,"Under review",N/A,"Monitoring"
COMP-105,Consumer Review,"General compliance monitoring item 105",16 CFR §255.2,16 CFR §255.2,HIGH,OPEN,2026-01-09,2026-03-02,Mike Torres,517440,"Under review",N/A,"Monitoring"
COMP-106,Consumer Review,"General compliance monitoring item 106",16 CFR §465.2,16 CFR §465.2,HIGH,ESCALATED,2026-01-11,2026-03-28,Casey Park,103488,"Under review",N/A,"Monitoring"
COMP-107,Endorsement Disclosure,"General compliance monitoring item 107",16 CFR §260.8,16 CFR §260.8,MEDIUM,MONITORING,2026-01-17,2026-03-21,Alex Rivera (Ext.),0,"Under review",N/A,"Monitoring"
COMP-108,Endorsement Disclosure,"General compliance monitoring item 108",16 CFR §255.2,16 CFR §255.2,HIGH,RESOLVED,2026-01-22,2026-03-09,Mike Torres,103488,"Under review",N/A,"Monitoring"
COMP-109,Endorsement Disclosure,"General compliance monitoring item 109",16 CFR §465.7,16 CFR §465.7,LOW,ESCALATED,2026-01-06,2026-03-22,Casey Park,0,"Under review",N/A,"Monitoring"
COMP-110,Endorsement Disclosure,"General compliance monitoring item 110",16 CFR §465.2,16 CFR §465.2,HIGH,OPEN,2026-01-24,2026-03-27,Casey Park,206976,"Under review",N/A,"Monitoring"
COMP-111,Consumer Review,"General compliance monitoring item 111",16 CFR §465.7,16 CFR §465.7,LOW,RESOLVED,2026-01-17,2026-03-16,Mike Torres,517440,"Under review",N/A,"Monitoring"
COMP-112,Health Claim,"General compliance monitoring item 112",16 CFR §255.2,16 CFR §255.2,MEDIUM,RESOLVED,2026-01-25,2026-03-09,Alex Rivera (Ext.),103488,"Under review",N/A,"Monitoring"
COMP-113,Endorsement Disclosure,"General compliance monitoring item 113",16 CFR §465.2,16 CFR §465.2,MEDIUM,ESCALATED,2026-01-09,2026-03-08,Sarah Chen,0,"Under review",N/A,"Monitoring"
COMP-114,Health Claim,"General compliance monitoring item 114",16 CFR §255.2,16 CFR §255.2,HIGH,ESCALATED,2026-01-16,2026-03-25,Alex Rivera (Ext.),517440,"Under review",N/A,"Monitoring"
COMP-115,Endorsement Disclosure,"General compliance monitoring item 115",16 CFR §260.12,16 CFR §260.12,HIGH,IN PROGRESS,2026-01-10,2026-03-14,Mike Torres,0,"Under review",N/A,"Monitoring"
COMP-116,Consumer Review,"General compliance monitoring item 116",16 CFR §260.12,16 CFR §260.12,HIGH,RESOLVED,2026-01-04,2026-03-06,Mike Torres,103488,"Under review",N/A,"Monitoring"
COMP-117,Health Claim,"General compliance monitoring item 117",16 CFR §260.12,16 CFR §260.12,MEDIUM,MONITORING,2026-01-03,2026-03-22,Casey Park,517440,"Under review",N/A,"Monitoring"
COMP-118,Consumer Review,"General compliance monitoring item 118",FTC Health Products Guidance,FTC Health Products Guidance,HIGH,MONITORING,2026-01-14,2026-03-18,Jordan Ellis,0,"Under review",N/A,"Monitoring"
COMP-119,Health Claim,"General compliance monitoring item 119",16 CFR §255.2,16 CFR §255.2,HIGH,MONITORING,2026-01-23,2026-03-08,Jordan Ellis,206976,"Under review",N/A,"Monitoring"
COMP-120,Consumer Review,"General compliance monitoring item 120",16 CFR §260.12,16 CFR §260.12,HIGH,OPEN,2026-01-10,2026-03-01,Casey Park,0,"Under review",N/A,"Monitoring"
COMP-121,Consumer Review,"General compliance monitoring item 121",16 CFR §260.8,16 CFR §260.8,LOW,RESOLVED,2026-01-07,2026-03-28,Jordan Ellis,517440,"Under review",N/A,"Monitoring"
COMP-122,Consumer Review,"General compliance monitoring item 122",16 CFR §465.3,16 CFR §465.3,HIGH,MONITORING,2026-01-03,2026-03-11,Sarah Chen,103488,"Under review",N/A,"Monitoring"
COMP-123,Endorsement Disclosure,"General compliance monitoring item 123",FTC Health Products Guidance,FTC Health Products Guidance,MEDIUM,RESOLVED,2026-01-23,2026-03-25,Mike Torres,0,"Under review",N/A,"Monitoring"
COMP-124,Consumer Review,"General compliance monitoring item 124",16 CFR §465.7,16 CFR §465.7,HIGH,OPEN,2026-01-28,2026-03-28,Alex Rivera (Ext.),206976,"Under review",N/A,"Monitoring"
COMP-125,Endorsement Disclosure,"General compliance monitoring item 125",16 CFR §465.3,16 CFR §465.3,HIGH,IN PROGRESS,2026-01-25,2026-03-27,Casey Park,0,"Under review",N/A,"Monitoring"
COMP-126,Endorsement Disclosure,"General compliance monitoring item 126",16 CFR §255.3,16 CFR §255.3,MEDIUM,ESCALATED,2026-01-01,2026-03-15,Mike Torres,0,"Under review",N/A,"Monitoring"
COMP-127,Health Claim,"General compliance monitoring item 127",16 CFR §260.8,16 CFR §260.8,LOW,ESCALATED,2026-01-13,2026-03-12,Casey Park,51744,"Under review",N/A,"Monitoring"
COMP-128,Endorsement Disclosure,"General compliance monitoring item 128",16 CFR §255.2,16 CFR §255.2,HIGH,OPEN,2026-01-26,2026-03-24,Casey Park,206976,"Under review",N/A,"Monitoring"
COMP-129,Consumer Review,"General compliance monitoring item 129",16 CFR §260.8,16 CFR §260.8,LOW,MONITORING,2026-01-27,2026-03-25,Jordan Ellis,206976,"Under review",N/A,"Monitoring"
COMP-130,Consumer Review,"General compliance monitoring item 130",16 CFR §255.3,16 CFR §255.3,MEDIUM,ESCALATED,2026-01-20,2026-03-28,Casey Park,206976,"Under review",N/A,"Monitoring"
