post_id,handle,platform,post_date,post_time_est,follower_count,impressions,engagement_rate,disclosure_pattern,compliance_status,health_claim_detected,health_claim_compliant,penalty_exposure_usd,review_date,reviewer,action_required,notes
POST-0011,@vitamindiary,Instagram Stories,2026-01-24,19:00:00,24027,9490,4.93,"Platform Paid Partnership only",COMPLIANT,"No health claim made (compliant)",Yes,0,2026-02-28,Jordan Ellis,NONE,Compliant - no action needed
POST-0012,@vitamindiary,Instagram,2026-03-04,21:15:00,43980,14693,3.65,"Disclosure in bio only",NON-COMPLIANT,"may help immune function (PROHIBITED)",No,51744,2026-03-09,Jordan Ellis,UPDATE DISCLOSURE,Influencer agreement updated
POST-0013,@digestive_digest,YouTube,2026-02-03,20:45:00,80017,16003,2.73,"No disclosure",NON-COMPLIANT,"Clinically demonstrated (PROHIBITED if no RCT)",No,51744,2026-03-08,Jordan Ellis,UPDATE DISCLOSURE,Compliant - no action needed
POST-0014,@immunity_insider,TikTok,2026-01-17,19:30:00,31524,7989,3.99,"#sponsored in middle",NON-COMPLIANT,"Doctor recommended (REQUIRES DISCLOSURE)",No,51744,2026-02-22,Casey Park,UPDATE DISCLOSURE,Formal notice issued
POST-0015,@vitalitycoach,Reels,2026-02-20,08:00:00,39583,17333,3.21,"Disclosure in bio only",NON-COMPLIANT,"No health claim made (compliant)",Yes,51744,2026-03-25,Jordan Ellis,UPDATE DISCLOSURE,Formal notice issued
POST-0016,@guthealth_guru,Instagram,2026-02-05,17:30:00,64624,25879,2.62,"Ad: at beginning",NON-COMPLIANT,"Doctor recommended (REQUIRES DISCLOSURE)",No,51744,2026-03-10,Casey Park,UPDATE DISCLOSURE,Formal notice issued
POST-0017,@holistic_health_hub,Instagram,2026-03-20,13:30:00,94536,21179,5.01,"Ad: at beginning",NON-COMPLIANT,"Helps strengthen immunity (PROHIBITED - 'helps')",No,51744,2026-03-25,Sarah Chen,UPDATE DISCLOSURE,Follow up required before next post
POST-0018,@digestive_digest,TikTok,2026-02-26,13:45:00,61608,26254,2.94,"#ad buried as last hashtag",NON-COMPLIANT,"Supports immune health (compliant)",Yes,51744,2026-03-28,Casey Park,UPDATE DISCLOSURE,Influencer agreement updated
POST-0019,@immunity_insider,Reels,2026-03-09,15:15:00,18754,3979,3.51,"Platform Paid Partnership only",COMPLIANT,"No health claim made (compliant)",Yes,0,2026-03-14,Jordan Ellis,NONE,Verbal reminder sent to influencer
POST-0020,@digestive_digest,Instagram,2026-03-19,19:45:00,56031,19327,2.32,"No disclosure",NON-COMPLIANT,"Helps strengthen immunity (PROHIBITED - 'helps')",No,51744,2026-03-24,Casey Park,UPDATE DISCLOSURE,Formal notice issued
POST-0021,@probiotic_life,Reels,2026-03-04,10:30:00,45151,9625,2.55,"Verbal only (video)",COMPLIANT,"Supports immune health (compliant)",Yes,0,2026-03-09,Sarah Chen,NONE,Influencer agreement updated
POST-0022,@wellnesswithjenna,Reels,2026-03-18,09:00:00,46225,15040,5.63,"#ad first hashtag",COMPLIANT,"No health claim made (compliant)",Yes,0,2026-03-23,Casey Park,NONE,Corrected in subsequent post
POST-0023,@immunity_insider,TikTok,2026-02-24,12:15:00,30761,7205,5.24,"#sponsored in middle",NON-COMPLIANT,"preliminary research (PROHIBITED)",No,51744,2026-03-28,Casey Park,UPDATE DISCLOSURE,Influencer agreement updated
POST-0024,@nourishednaturally,Instagram,2026-01-08,17:00:00,82027,22066,1.21,"#ad buried as last hashtag",NON-COMPLIANT,"Doctor recommended (REQUIRES DISCLOSURE)",No,51744,2026-02-13,Casey Park,UPDATE DISCLOSURE,Follow up required before next post
POST-0025,@wellnesswithjenna,Instagram Stories,2026-01-22,14:15:00,44753,9565,3.59,"Ad: at beginning",NON-COMPLIANT,"supports gut microbiome (compliant)",Yes,51744,2026-02-27,Jordan Ellis,UPDATE DISCLOSURE,Compliant - no action needed
POST-0026,@guthealth_guru,Reels,2026-02-25,18:30:00,40488,16404,5.6,"Platform Paid Partnership only",COMPLIANT,"preliminary research (PROHIBITED)",No,0,2026-03-28,Jordan Ellis,NONE,Influencer agreement updated
POST-0027,@nourishednaturally,YouTube,2026-02-08,15:00:00,29788,12487,5.8,"Platform Paid Partnership only",COMPLIANT,"promising results (PROHIBITED)",No,0,2026-03-13,Casey Park,NONE,Formal notice issued
POST-0028,@wellnesswithjenna,Instagram,2026-01-25,22:30:00,20139,4629,5.99,"Ad: at beginning",NON-COMPLIANT,"promising results (PROHIBITED)",No,51744,2026-02-28,Jordan Ellis,UPDATE DISCLOSURE,Formal notice issued
POST-0029,@guthealth_guru,TikTok,2026-01-17,10:30:00,57975,14951,5.59,"#ad buried as last hashtag",NON-COMPLIANT,"Doctor recommended (REQUIRES DISCLOSURE)",No,51744,2026-02-22,Sarah Chen,UPDATE DISCLOSURE,Influencer agreement updated
POST-0030,@digestive_digest,YouTube,2026-03-20,21:00:00,34013,8730,4.83,"No disclosure",NON-COMPLIANT,"Clinically demonstrated (PROHIBITED if no RCT)",No,51744,2026-03-25,Casey Park,UPDATE DISCLOSURE,Corrected in subsequent post
POST-0031,@supplementspro,TikTok,2026-02-01,19:15:00,79977,21282,3.74,"Platform Paid Partnership only",COMPLIANT,"promising results (PROHIBITED)",No,0,2026-03-06,Jordan Ellis,NONE,Formal notice issued
POST-0032,@microbiome_maven,Instagram Stories,2026-01-21,08:45:00,77415,13436,2.98,"No disclosure",NON-COMPLIANT,"Supports immune health (compliant)",Yes,51744,2026-02-26,Jordan Ellis,UPDATE DISCLOSURE,Follow up required before next post
POST-0033,@digestive_digest,YouTube,2026-03-16,21:00:00,35245,12275,1.74,"Disclosure in bio only",NON-COMPLIANT,"Helps strengthen immunity (PROHIBITED - 'helps')",No,51744,2026-03-21,Casey Park,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-0034,@digestive_digest,TikTok,2026-02-20,16:00:00,71540,23786,0.9,"No disclosure",NON-COMPLIANT,"preliminary research (PROHIBITED)",No,51744,2026-03-25,Jordan Ellis,UPDATE DISCLOSURE,Follow up required before next post
POST-0035,@digestive_digest,TikTok,2026-02-17,22:45:00,20019,6799,5.03,"Verbal only (video)",COMPLIANT,"supports gut microbiome (compliant)",Yes,0,2026-03-22,Sarah Chen,NONE,Influencer agreement updated
POST-0036,@nourishednaturally,Reels,2026-02-21,15:45:00,36808,13811,1.89,"Ad: at beginning",NON-COMPLIANT,"preliminary research (PROHIBITED)",No,51744,2026-03-26,Sarah Chen,UPDATE DISCLOSURE,Compliant - no action needed
POST-0037,@guthealth_guru,Instagram,2026-03-21,21:30:00,43463,18241,2.99,"#ad first hashtag",COMPLIANT,"promising results (PROHIBITED)",No,0,2026-03-26,Jordan Ellis,NONE,Verbal reminder sent to influencer
POST-0038,@digestive_digest,TikTok,2026-02-06,10:00:00,83820,33631,1.74,"#ad first hashtag",COMPLIANT,"preliminary research (PROHIBITED)",No,0,2026-03-11,Jordan Ellis,NONE,Compliant - no action needed
POST-0039,@holistic_health_hub,Instagram Stories,2026-01-09,11:30:00,81958,13968,5.45,"#ad at post beginning",NON-COMPLIANT,"Clinically demonstrated (PROHIBITED if no RCT)",No,51744,2026-02-14,Sarah Chen,UPDATE DISCLOSURE,Corrected in subsequent post
POST-0040,@supplementspro,YouTube,2026-03-27,08:00:00,26245,7647,5.35,"Ad: at beginning",NON-COMPLIANT,"preliminary research (PROHIBITED)",No,51744,2026-03-28,Casey Park,UPDATE DISCLOSURE,Influencer agreement updated
POST-0041,@fitandfueled,TikTok,2026-03-23,12:30:00,51948,23079,6.13,"#ad at post beginning",NON-COMPLIANT,"promising results (PROHIBITED)",No,51744,2026-03-28,Sarah Chen,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-0042,@probiotic_life,Instagram,2026-01-02,15:15:00,31266,13841,2.55,"Ad: at beginning",NON-COMPLIANT,"Clinically demonstrated (PROHIBITED if no RCT)",No,51744,2026-02-07,Sarah Chen,UPDATE DISCLOSURE,Compliant - no action needed
POST-0043,@guthealth_guru,Instagram Stories,2026-03-24,18:30:00,63473,28485,5.69,"#ad buried as last hashtag",NON-COMPLIANT,"Supports immune health (compliant)",Yes,51744,2026-03-28,Jordan Ellis,UPDATE DISCLOSURE,Follow up required before next post
POST-0044,@immunity_insider,Instagram Stories,2026-01-22,19:45:00,39159,13393,3.3,"#ad first hashtag",COMPLIANT,"Clinically demonstrated (PROHIBITED if no RCT)",No,0,2026-02-27,Casey Park,NONE,Verbal reminder sent to influencer
POST-0045,@guthealth_guru,YouTube,2026-02-28,08:15:00,63183,11560,2.23,"Disclosure in bio only",NON-COMPLIANT,"Helps strengthen immunity (PROHIBITED - 'helps')",No,51744,2026-03-28,Jordan Ellis,UPDATE DISCLOSURE,Follow up required before next post
POST-0046,@probiotic_life,YouTube,2026-01-26,10:45:00,87346,14637,3.0,"#ad buried as last hashtag",NON-COMPLIANT,"Clinically demonstrated (PROHIBITED if no RCT)",No,51744,2026-02-28,Sarah Chen,UPDATE DISCLOSURE,Formal notice issued
POST-0047,@holistic_health_hub,YouTube,2026-01-06,18:45:00,92968,14345,5.78,"Ad: at beginning",NON-COMPLIANT,"Doctor recommended (REQUIRES DISCLOSURE)",No,51744,2026-02-11,Casey Park,UPDATE DISCLOSURE,Follow up required before next post
POST-0048,@vitamindiary,Instagram,2026-03-23,22:15:00,61131,24007,2.28,"Ad: at beginning",NON-COMPLIANT,"Helps strengthen immunity (PROHIBITED - 'helps')",No,51744,2026-03-28,Jordan Ellis,UPDATE DISCLOSURE,Follow up required before next post
POST-0049,@holistic_health_hub,YouTube,2026-01-28,10:00:00,79819,34832,5.43,"#ad at post beginning",NON-COMPLIANT,"No health claim made (compliant)",Yes,51744,2026-02-28,Jordan Ellis,UPDATE DISCLOSURE,Compliant - no action needed
POST-0050,@wellnesswithjenna,Instagram Stories,2026-01-18,19:15:00,93697,30665,5.35,"#ad first hashtag",COMPLIANT,"Helps strengthen immunity (PROHIBITED - 'helps')",No,0,2026-02-23,Sarah Chen,NONE,Influencer agreement updated
POST-0051,@nutriscience,Reels,2026-03-28,17:15:00,53381,21350,1.11,"Disclosure in bio only",NON-COMPLIANT,"Clinically demonstrated (PROHIBITED if no RCT)",No,51744,2026-03-28,Casey Park,UPDATE DISCLOSURE,Corrected in subsequent post
POST-0052,@holistic_health_hub,Instagram,2026-01-04,15:45:00,66544,27479,5.66,"No disclosure",NON-COMPLIANT,"supports gut microbiome (compliant)",Yes,51744,2026-02-09,Casey Park,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-0053,@immunity_insider,YouTube,2026-01-20,21:30:00,25891,11414,3.14,"#sponsored in middle",NON-COMPLIANT,"preliminary research (PROHIBITED)",No,51744,2026-02-25,Casey Park,UPDATE DISCLOSURE,Compliant - no action needed
POST-0054,@immunity_insider,Instagram Stories,2026-02-19,11:00:00,40920,8466,2.1,"Platform Paid Partnership only",COMPLIANT,"No health claim made (compliant)",Yes,0,2026-03-24,Jordan Ellis,NONE,Formal notice issued
POST-0055,@nourishednaturally,Instagram,2026-01-27,11:00:00,69358,14278,2.95,"#ad at post beginning",NON-COMPLIANT,"Clinically demonstrated (PROHIBITED if no RCT)",No,51744,2026-02-28,Jordan Ellis,UPDATE DISCLOSURE,Follow up required before next post
POST-0056,@cleanwellness,TikTok,2026-01-23,12:30:00,87080,14225,4.84,"#ad first hashtag",COMPLIANT,"Helps strengthen immunity (PROHIBITED - 'helps')",No,0,2026-02-28,Jordan Ellis,NONE,Formal notice issued
POST-0057,@vitamindiary,Reels,2026-01-02,19:45:00,51225,8870,4.69,"#ad at post beginning",NON-COMPLIANT,"Clinically demonstrated (PROHIBITED if no RCT)",No,51744,2026-02-07,Jordan Ellis,UPDATE DISCLOSURE,Influencer agreement updated
POST-0058,@vitamindiary,YouTube,2026-03-04,18:45:00,53967,12626,2.29,"Platform Paid Partnership only",COMPLIANT,"Gut health support (compliant with RCT)",Yes,0,2026-03-09,Jordan Ellis,NONE,Influencer agreement updated
POST-0059,@immunity_insider,Instagram Stories,2026-02-07,12:15:00,43012,18317,1.57,"#ad buried as last hashtag",NON-COMPLIANT,"may help immune function (PROHIBITED)",No,51744,2026-03-12,Sarah Chen,UPDATE DISCLOSURE,Compliant - no action needed
POST-0060,@nourishednaturally,Instagram,2026-01-24,17:30:00,75857,27716,3.68,"#ad first hashtag",COMPLIANT,"may help immune function (PROHIBITED)",No,0,2026-02-28,Sarah Chen,NONE,Verbal reminder sent to influencer
POST-0061,@probiotic_life,Reels,2026-03-01,18:30:00,18052,6337,2.12,"#sponsored in middle",NON-COMPLIANT,"No health claim made (compliant)",Yes,51744,2026-03-06,Jordan Ellis,UPDATE DISCLOSURE,Follow up required before next post
POST-0062,@cleanwellness,TikTok,2026-01-28,10:30:00,35176,6180,2.26,"#ad first hashtag",COMPLIANT,"supports gut microbiome (compliant)",Yes,0,2026-02-28,Sarah Chen,NONE,Compliant - no action needed
POST-0063,@nutriscience,YouTube,2026-01-26,20:45:00,55470,12567,1.89,"#sponsored in middle",NON-COMPLIANT,"Supports immune health (compliant)",Yes,51744,2026-02-28,Sarah Chen,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-0064,@immunity_insider,TikTok,2026-02-13,11:15:00,90157,13986,1.71,"#ad at post beginning",NON-COMPLIANT,"Supports immune health (compliant)",Yes,51744,2026-03-18,Sarah Chen,UPDATE DISCLOSURE,Corrected in subsequent post
POST-0065,@digestive_digest,Reels,2026-01-20,21:00:00,47532,10684,1.72,"No disclosure",NON-COMPLIANT,"preliminary research (PROHIBITED)",No,51744,2026-02-25,Casey Park,UPDATE DISCLOSURE,Corrected in subsequent post
POST-0066,@wellnesswithjenna,Reels,2026-02-19,17:00:00,44770,16302,1.94,"#sponsored in middle",NON-COMPLIANT,"preliminary research (PROHIBITED)",No,51744,2026-03-24,Sarah Chen,UPDATE DISCLOSURE,Formal notice issued
POST-0067,@holistic_health_hub,Reels,2026-03-08,16:00:00,36046,7872,1.89,"Platform Paid Partnership only",COMPLIANT,"may help immune function (PROHIBITED)",No,0,2026-03-13,Casey Park,NONE,Compliant - no action needed
POST-0068,@guthealth_guru,Instagram Stories,2026-01-12,12:45:00,60752,24512,5.65,"#ad at post beginning",NON-COMPLIANT,"may help immune function (PROHIBITED)",No,51744,2026-02-17,Sarah Chen,UPDATE DISCLOSURE,Influencer agreement updated
POST-0069,@nourishednaturally,TikTok,2026-03-22,17:45:00,32463,6610,3.36,"Platform Paid Partnership only",COMPLIANT,"preliminary research (PROHIBITED)",No,0,2026-03-27,Jordan Ellis,NONE,Formal notice issued
POST-0070,@holistic_health_hub,Reels,2026-03-03,08:30:00,35417,10297,3.99,"Disclosure in bio only",NON-COMPLIANT,"preliminary research (PROHIBITED)",No,51744,2026-03-08,Casey Park,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-0071,@fitandfueled,Instagram Stories,2026-02-13,12:15:00,67017,19555,1.41,"Ad: at beginning",NON-COMPLIANT,"promising results (PROHIBITED)",No,51744,2026-03-18,Jordan Ellis,UPDATE DISCLOSURE,Influencer agreement updated
POST-0072,@digestive_digest,Reels,2026-03-01,15:30:00,26593,11897,2.71,"Ad: at beginning",NON-COMPLIANT,"preliminary research (PROHIBITED)",No,51744,2026-03-06,Jordan Ellis,UPDATE DISCLOSURE,Follow up required before next post
POST-0073,@probiotic_life,Instagram,2026-01-07,11:45:00,70218,23130,1.93,"#sponsored in middle",NON-COMPLIANT,"Doctor recommended (REQUIRES DISCLOSURE)",No,51744,2026-02-12,Sarah Chen,UPDATE DISCLOSURE,Formal notice issued
POST-0074,@digestive_digest,Reels,2026-03-18,18:30:00,66437,11409,3.62,"No disclosure",NON-COMPLIANT,"promising results (PROHIBITED)",No,51744,2026-03-23,Casey Park,UPDATE DISCLOSURE,Follow up required before next post
POST-0075,@holistic_health_hub,Reels,2026-02-20,16:15:00,94451,35281,5.53,"Ad: at beginning",NON-COMPLIANT,"preliminary research (PROHIBITED)",No,51744,2026-03-25,Casey Park,UPDATE DISCLOSURE,Compliant - no action needed
POST-0076,@probiotic_life,TikTok,2026-01-07,11:45:00,58907,17576,3.53,"Platform Paid Partnership only",COMPLIANT,"supports gut microbiome (compliant)",Yes,0,2026-02-12,Casey Park,NONE,Follow up required before next post
POST-0077,@immunity_insider,Instagram,2026-03-11,08:30:00,52557,12361,1.14,"Platform Paid Partnership only",COMPLIANT,"preliminary research (PROHIBITED)",No,0,2026-03-16,Jordan Ellis,NONE,Influencer agreement updated
POST-0078,@supplementspro,Reels,2026-02-16,19:15:00,93115,40942,5.46,"No disclosure",NON-COMPLIANT,"promising results (PROHIBITED)",No,51744,2026-03-21,Sarah Chen,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-0079,@immunity_insider,Instagram,2026-03-14,11:30:00,51457,22443,1.79,"#sponsored in middle",NON-COMPLIANT,"may help immune function (PROHIBITED)",No,51744,2026-03-19,Casey Park,UPDATE DISCLOSURE,Corrected in subsequent post
POST-0080,@nourishednaturally,TikTok,2026-03-11,22:45:00,77904,32781,4.41,"#sponsored in middle",NON-COMPLIANT,"Doctor recommended (REQUIRES DISCLOSURE)",No,51744,2026-03-16,Jordan Ellis,UPDATE DISCLOSURE,Compliant - no action needed
POST-0081,@wellnesswithjenna,TikTok,2026-01-21,19:00:00,57616,13615,5.13,"Disclosure in bio only",NON-COMPLIANT,"Doctor recommended (REQUIRES DISCLOSURE)",No,51744,2026-02-26,Jordan Ellis,UPDATE DISCLOSURE,Corrected in subsequent post
POST-0082,@supplementspro,Instagram Stories,2026-03-01,10:15:00,63684,18898,1.09,"Disclosure in bio only",NON-COMPLIANT,"Clinically demonstrated (PROHIBITED if no RCT)",No,51744,2026-03-06,Jordan Ellis,UPDATE DISCLOSURE,Influencer agreement updated
POST-0083,@wellnesswithjenna,YouTube,2026-03-03,15:30:00,26677,7421,4.7,"#sponsored in middle",NON-COMPLIANT,"Doctor recommended (REQUIRES DISCLOSURE)",No,51744,2026-03-08,Sarah Chen,UPDATE DISCLOSURE,Corrected in subsequent post
POST-0084,@wellnesswithjenna,Instagram,2026-03-01,08:30:00,29205,9868,3.7,"Ad: at beginning",NON-COMPLIANT,"Helps strengthen immunity (PROHIBITED - 'helps')",No,51744,2026-03-06,Jordan Ellis,UPDATE DISCLOSURE,Formal notice issued
POST-0085,@vitalitycoach,YouTube,2026-03-27,11:45:00,19052,5826,3.91,"Verbal only (video)",COMPLIANT,"Helps strengthen immunity (PROHIBITED - 'helps')",No,0,2026-03-28,Jordan Ellis,NONE,Corrected in subsequent post
POST-0086,@probiotic_life,YouTube,2026-02-09,22:15:00,83899,27784,1.49,"Verbal only (video)",COMPLIANT,"Doctor recommended (REQUIRES DISCLOSURE)",No,0,2026-03-14,Jordan Ellis,NONE,Formal notice issued
POST-0087,@nourishednaturally,TikTok,2026-03-06,22:45:00,60254,24691,3.07,"#sponsored in middle",NON-COMPLIANT,"No health claim made (compliant)",Yes,51744,2026-03-11,Sarah Chen,UPDATE DISCLOSURE,Corrected in subsequent post
POST-0088,@probiotic_life,Instagram,2026-01-01,17:30:00,26380,5364,2.02,"Verbal only (video)",COMPLIANT,"may help immune function (PROHIBITED)",No,0,2026-02-06,Sarah Chen,NONE,Follow up required before next post
POST-0089,@nutriscience,Instagram Stories,2026-02-07,12:30:00,50837,22500,4.58,"#ad buried as last hashtag",NON-COMPLIANT,"promising results (PROHIBITED)",No,51744,2026-03-12,Casey Park,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-0090,@probiotic_life,Instagram,2026-01-17,10:15:00,78054,17344,1.23,"No disclosure",NON-COMPLIANT,"Clinically demonstrated (PROHIBITED if no RCT)",No,51744,2026-02-22,Jordan Ellis,UPDATE DISCLOSURE,Influencer agreement updated
POST-0091,@wellnesswithjenna,TikTok,2026-02-19,14:30:00,37817,10496,4.52,"#ad first hashtag",COMPLIANT,"Doctor recommended (REQUIRES DISCLOSURE)",No,0,2026-03-24,Sarah Chen,NONE,Follow up required before next post
POST-0092,@digestive_digest,TikTok,2026-02-12,13:30:00,73628,20681,4.87,"#ad at post beginning",NON-COMPLIANT,"preliminary research (PROHIBITED)",No,51744,2026-03-17,Jordan Ellis,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-0093,@immunity_insider,Reels,2026-01-22,17:45:00,78688,20718,4.07,"Ad: at beginning",NON-COMPLIANT,"No health claim made (compliant)",Yes,51744,2026-02-27,Casey Park,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-0094,@supplementspro,Instagram,2026-02-24,11:15:00,34246,9914,5.42,"No disclosure",NON-COMPLIANT,"promising results (PROHIBITED)",No,51744,2026-03-28,Sarah Chen,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-0095,@nourishednaturally,TikTok,2026-02-16,14:30:00,23261,5414,3.24,"Verbal only (video)",COMPLIANT,"promising results (PROHIBITED)",No,0,2026-03-21,Casey Park,NONE,Formal notice issued
POST-0096,@supplementspro,YouTube,2026-01-15,13:00:00,28695,5416,1.06,"Ad: at beginning",NON-COMPLIANT,"No health claim made (compliant)",Yes,51744,2026-02-20,Jordan Ellis,UPDATE DISCLOSURE,Influencer agreement updated
POST-0097,@vitalitycoach,Instagram,2026-02-14,21:00:00,42495,10688,4.74,"#ad at post beginning",NON-COMPLIANT,"Helps strengthen immunity (PROHIBITED - 'helps')",No,51744,2026-03-19,Casey Park,UPDATE DISCLOSURE,Follow up required before next post
POST-0098,@cleanwellness,YouTube,2026-03-06,19:45:00,89894,33083,0.9,"#ad first hashtag",COMPLIANT,"Doctor recommended (REQUIRES DISCLOSURE)",No,0,2026-03-11,Casey Park,NONE,Verbal reminder sent to influencer
POST-0099,@vitalitycoach,YouTube,2026-02-18,21:30:00,84705,33574,4.65,"#sponsored in middle",NON-COMPLIANT,"No health claim made (compliant)",Yes,51744,2026-03-23,Casey Park,UPDATE DISCLOSURE,Corrected in subsequent post
POST-0100,@holistic_health_hub,Reels,2026-02-08,18:45:00,91700,23153,2.72,"#ad buried as last hashtag",NON-COMPLIANT,"Supports immune health (compliant)",Yes,51744,2026-03-13,Jordan Ellis,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-0101,@fitandfueled,YouTube,2026-03-02,09:00:00,39867,7463,5.85,"#sponsored in middle",NON-COMPLIANT,"Doctor recommended (REQUIRES DISCLOSURE)",No,51744,2026-03-07,Sarah Chen,UPDATE DISCLOSURE,Verbal reminder sent to influencer
POST-0102,@immunity_insider,TikTok,2026-02-24,16:00:00,56067,10381,2.92,"Platform Paid Partnership only",COMPLIANT,"Clinically demonstrated (PROHIBITED if no RCT)",No,0,2026-03-28,Jordan Ellis,NONE,Formal notice issued
POST-0103,@vitalitycoach,TikTok,2026-01-02,20:15:00,14298,4315,2.13,"#ad first hashtag",COMPLIANT,"promising results (PROHIBITED)",No,0,2026-02-07,Casey Park,NONE,Compliant - no action needed
POST-0104,@digestive_digest,TikTok,2026-01-04,15:15:00,73250,15090,3.5,"Ad: at beginning",NON-COMPLIANT,"promising results (PROHIBITED)",No,51744,2026-02-09,Casey Park,UPDATE DISCLOSURE,Follow up required before next post
POST-0105,@wellnesswithjenna,Instagram Stories,2026-01-23,19:15:00,62656,27108,2.0,"#ad buried as last hashtag",NON-COMPLIANT,"Supports immune health (compliant)",Yes,51744,2026-02-28,Casey Park,UPDATE DISCLOSURE,Influencer agreement updated
POST-0106,@vitalitycoach,Reels,2026-01-28,09:45:00,88359,28275,5.94,"No disclosure",NON-COMPLIANT,"preliminary research (PROHIBITED)",No,51744,2026-02-28,Casey Park,UPDATE DISCLOSURE,Corrected in subsequent post
POST-0107,@nourishednaturally,YouTube,2026-01-10,13:30:00,15323,5459,4.24,"Verbal only (video)",COMPLIANT,"Gut health support (compliant with RCT)",Yes,0,2026-02-15,Jordan Ellis,NONE,Formal notice issued
POST-0108,@digestive_digest,YouTube,2026-03-01,10:00:00,68930,19002,6.2,"#sponsored in middle",NON-COMPLIANT,"promising results (PROHIBITED)",No,51744,2026-03-06,Casey Park,UPDATE DISCLOSURE,Compliant - no action needed
POST-0109,@holistic_health_hub,YouTube,2026-02-19,18:45:00,35782,16082,4.56,"Verbal only (video)",COMPLIANT,"preliminary research (PROHIBITED)",No,0,2026-03-24,Jordan Ellis,NONE,Verbal reminder sent to influencer
POST-0110,@cleanwellness,YouTube,2026-03-21,12:15:00,50090,9210,1.03,"Ad: at beginning",NON-COMPLIANT,"preliminary research (PROHIBITED)",No,51744,2026-03-26,Casey Park,UPDATE DISCLOSURE,Formal notice issued
POST-0111,@nourishednaturally,Reels,2026-02-09,16:45:00,73536,19524,2.03,"#sponsored in middle",NON-COMPLIANT,"No health claim made (compliant)",Yes,51744,2026-03-14,Sarah Chen,UPDATE DISCLOSURE,Formal notice issued
POST-0112,@cleanwellness,TikTok,2026-03-04,08:00:00,81655,15311,5.46,"Platform Paid Partnership only",COMPLIANT,"preliminary research (PROHIBITED)",No,0,2026-03-09,Jordan Ellis,NONE,Corrected in subsequent post
