asset_tag,device_category,manufacturer,model_name,serial_number,acquisition_year,condition_rating,location_ward
STA-ASSET-0138,EP Recording System,GE Healthcare,EP R-973,EPR-X37JW3,2021,Good,Cardiac Ward B
STA-ASSET-0161,Ventilator,Boston Scientific,Vent-504,VNT-V0BJWK,2025,Poor,Cath Lab
STA-ASSET-0112,Ventilator,Siemens Healthineers,Vent-228,VNT-B3I4FI,2018,Fair,Cardiac ICU
STA-ASSET-0062,Ventilator,Medtronic,Vent-173,VNT-S75T0I,2015,Fair,Cardiac Ward A
STA-ASSET-0038,Echocardiograph,Zoll Medical,Echo-639,ECH-RNU8C0,2019,Excellent,Cardiac Ward B
STA-ASSET-0124,EP Recording System,Mindray,EP R-127,EPR-I7B03R,2017,Excellent,Cardiac Ward B
STA-ASSET-0054,EP Recording System,GE Healthcare,EP R-758,EPR-VGRF1H,2016,Excellent,Echo Suite
STA-ASSET-0007,Echocardiograph,Mindray,Echo-188,ECH-S9T0U1,2018,Fair,Cardiac Ward A
STA-ASSET-0171,Echocardiograph,Medtronic,Echo-986,ECH-C8NOG8,2021,Good,Cardiac ICU
STA-ASSET-0005,Echocardiograph,Siemens Healthineers,Echo-554,ECH-M3N4O5,2022,Good,Cath Lab
STA-ASSET-0029,Infusion Pump,Philips,Infu-889,INF-3G8CD3,2021,Poor,Cardiac Ward A
STA-ASSET-0049,Ventilator,Zoll Medical,Vent-108,VNT-1SY9LA,2016,Good,Cardiac Ward A
STA-ASSET-0004,Echocardiograph,GE Healthcare,Echo-172,ECH-J0K1L2,2019,Fair,Cardiac Ward B
STA-ASSET-0035,Ventilator,GE Healthcare,Vent-239,VNT-ECAZRP,2016,Fair,Echo Suite
STA-ASSET-0033,Infusion Pump,Boston Scientific,Infu-740,INF-9DKBPV,2020,Excellent,Cardiac Ward A
STA-ASSET-0023,EP Recording System,Philips,EP R-669,EPR-O7P8Q9,2020,Excellent,Cardiac ICU
STA-ASSET-0078,EP Recording System,Siemens Healthineers,EP R-705,EPR-AP5IPI,2017,Good,Cardiac Ward A
STA-ASSET-0102,EP Recording System,Medtronic,EP R-290,EPR-6OUZ1E,2021,Poor,Cardiac Ward B
STA-ASSET-0180,Defibrillator,Medtronic,Defi-733,DEF-RY58VR,2024,Poor,Echo Suite
STA-ASSET-0177,Ventilator,Zoll Medical,Vent-573,VNT-3MV1A0,2017,Fair,Storage
STA-ASSET-0173,Infusion Pump,GE Healthcare,Infu-374,INF-MDNHQN,2024,Excellent,Cardiac ICU
