finding_id,activity_id,article,severity,status,description
F-0052,ACT-007,Art. 28(3),MEDIUM,OPEN,Activity 'HR Performance Analytics' assessed against Art. 28(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0053,ACT-007,Art. 32(1),HIGH,IN_PROGRESS,Activity 'HR Performance Analytics' assessed against Art. 32(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0054,ACT-007,Art. 9,LOW,REMEDIATED,Activity 'HR Performance Analytics' assessed against Art. 9: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0055,ACT-007,Art. 44,MEDIUM,OPEN,Activity 'HR Performance Analytics' assessed against Art. 44: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0056,ACT-007,Art. 12(3),HIGH,IN_PROGRESS,Activity 'HR Performance Analytics' assessed against Art. 12(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0057,ACT-008,Art. 5(1)(e),HIGH,OPEN,Activity 'Customer Support Tickets' assessed against Art. 5(1)(e): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0058,ACT-008,Art. 30(1),LOW,REMEDIATED,Activity 'Customer Support Tickets' assessed against Art. 30(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0059,ACT-008,Art. 28(3),MEDIUM,IN_PROGRESS,Activity 'Customer Support Tickets' assessed against Art. 28(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0060,ACT-008,Art. 32(1),HIGH,OPEN,Activity 'Customer Support Tickets' assessed against Art. 32(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0061,ACT-008,Art. 9,LOW,REMEDIATED,Activity 'Customer Support Tickets' assessed against Art. 9: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0062,ACT-008,Art. 44,MEDIUM,IN_PROGRESS,Activity 'Customer Support Tickets' assessed against Art. 44: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0063,ACT-008,Art. 12(3),HIGH,OPEN,Activity 'Customer Support Tickets' assessed against Art. 12(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0064,ACT-008,Art. 5(2),LOW,REMEDIATED,Activity 'Customer Support Tickets' assessed against Art. 5(2): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0065,ACT-009,Art. 30(1),LOW,OPEN,Activity 'Authentication and Access Logs' assessed against Art. 30(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0066,ACT-009,Art. 28(3),MEDIUM,OPEN,Activity 'Authentication and Access Logs' assessed against Art. 28(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0067,ACT-009,Art. 32(1),HIGH,OPEN,Activity 'Authentication and Access Logs' assessed against Art. 32(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0068,ACT-009,Art. 9,LOW,OPEN,Activity 'Authentication and Access Logs' assessed against Art. 9: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0069,ACT-009,Art. 44,MEDIUM,OPEN,Activity 'Authentication and Access Logs' assessed against Art. 44: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0070,ACT-009,Art. 12(3),HIGH,OPEN,Activity 'Authentication and Access Logs' assessed against Art. 12(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0071,ACT-009,Art. 5(2),LOW,OPEN,Activity 'Authentication and Access Logs' assessed against Art. 5(2): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0072,ACT-009,Art. 5(1)(e),MEDIUM,OPEN,Activity 'Authentication and Access Logs' assessed against Art. 5(1)(e): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0073,ACT-010,Art. 28(3),MEDIUM,OPEN,Activity 'Recruitment and Applicant Tracking' assessed against Art. 28(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0074,ACT-010,Art. 32(1),HIGH,IN_PROGRESS,Activity 'Recruitment and Applicant Tracking' assessed against Art. 32(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0075,ACT-010,Art. 9,LOW,REMEDIATED,Activity 'Recruitment and Applicant Tracking' assessed against Art. 9: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0076,ACT-010,Art. 44,MEDIUM,OPEN,Activity 'Recruitment and Applicant Tracking' assessed against Art. 44: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0077,ACT-010,Art. 12(3),HIGH,IN_PROGRESS,Activity 'Recruitment and Applicant Tracking' assessed against Art. 12(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0078,ACT-010,Art. 5(2),LOW,REMEDIATED,Activity 'Recruitment and Applicant Tracking' assessed against Art. 5(2): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0079,ACT-010,Art. 5(1)(e),MEDIUM,OPEN,Activity 'Recruitment and Applicant Tracking' assessed against Art. 5(1)(e): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0080,ACT-010,Art. 30(1),HIGH,IN_PROGRESS,Activity 'Recruitment and Applicant Tracking' assessed against Art. 30(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0081,ACT-011,Art. 32(1),HIGH,OPEN,Activity 'Data Backup and Disaster Recovery' assessed against Art. 32(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0082,ACT-011,Art. 9,LOW,REMEDIATED,Activity 'Data Backup and Disaster Recovery' assessed against Art. 9: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0083,ACT-011,Art. 44,MEDIUM,IN_PROGRESS,Activity 'Data Backup and Disaster Recovery' assessed against Art. 44: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0084,ACT-011,Art. 12(3),HIGH,OPEN,Activity 'Data Backup and Disaster Recovery' assessed against Art. 12(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0085,ACT-011,Art. 5(2),LOW,REMEDIATED,Activity 'Data Backup and Disaster Recovery' assessed against Art. 5(2): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0086,ACT-011,Art. 5(1)(e),MEDIUM,IN_PROGRESS,Activity 'Data Backup and Disaster Recovery' assessed against Art. 5(1)(e): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0087,ACT-011,Art. 30(1),HIGH,OPEN,Activity 'Data Backup and Disaster Recovery' assessed against Art. 30(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0088,ACT-011,Art. 28(3),LOW,REMEDIATED,Activity 'Data Backup and Disaster Recovery' assessed against Art. 28(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0089,ACT-012,Art. 9,LOW,OPEN,Activity 'Office CCTV Surveillance' assessed against Art. 9: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0090,ACT-012,Art. 44,MEDIUM,OPEN,Activity 'Office CCTV Surveillance' assessed against Art. 44: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0091,ACT-012,Art. 12(3),HIGH,OPEN,Activity 'Office CCTV Surveillance' assessed against Art. 12(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0092,ACT-012,Art. 5(2),LOW,OPEN,Activity 'Office CCTV Surveillance' assessed against Art. 5(2): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0093,ACT-012,Art. 5(1)(e),MEDIUM,OPEN,Activity 'Office CCTV Surveillance' assessed against Art. 5(1)(e): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0094,ACT-012,Art. 30(1),HIGH,OPEN,Activity 'Office CCTV Surveillance' assessed against Art. 30(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0095,ACT-012,Art. 28(3),LOW,OPEN,Activity 'Office CCTV Surveillance' assessed against Art. 28(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0096,ACT-012,Art. 32(1),MEDIUM,OPEN,Activity 'Office CCTV Surveillance' assessed against Art. 32(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0097,ACT-013,Art. 44,MEDIUM,OPEN,Activity 'Cookie Consent Management' assessed against Art. 44: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0098,ACT-013,Art. 12(3),HIGH,IN_PROGRESS,Activity 'Cookie Consent Management' assessed against Art. 12(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0099,ACT-013,Art. 5(2),LOW,REMEDIATED,Activity 'Cookie Consent Management' assessed against Art. 5(2): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0100,ACT-013,Art. 5(1)(e),MEDIUM,OPEN,Activity 'Cookie Consent Management' assessed against Art. 5(1)(e): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0101,ACT-013,Art. 30(1),HIGH,IN_PROGRESS,Activity 'Cookie Consent Management' assessed against Art. 30(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0102,ACT-013,Art. 28(3),LOW,REMEDIATED,Activity 'Cookie Consent Management' assessed against Art. 28(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0103,ACT-013,Art. 32(1),MEDIUM,OPEN,Activity 'Cookie Consent Management' assessed against Art. 32(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0104,ACT-013,Art. 9,HIGH,IN_PROGRESS,Activity 'Cookie Consent Management' assessed against Art. 9: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0105,ACT-014,Art. 12(3),HIGH,OPEN,Activity 'Churn Prediction Model' assessed against Art. 12(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0106,ACT-014,Art. 5(2),LOW,REMEDIATED,Activity 'Churn Prediction Model' assessed against Art. 5(2): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0107,ACT-014,Art. 5(1)(e),MEDIUM,IN_PROGRESS,Activity 'Churn Prediction Model' assessed against Art. 5(1)(e): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0108,ACT-014,Art. 30(1),HIGH,OPEN,Activity 'Churn Prediction Model' assessed against Art. 30(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0109,ACT-014,Art. 28(3),LOW,REMEDIATED,Activity 'Churn Prediction Model' assessed against Art. 28(3): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0110,ACT-014,Art. 32(1),MEDIUM,IN_PROGRESS,Activity 'Churn Prediction Model' assessed against Art. 32(1): documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0111,ACT-014,Art. 9,HIGH,OPEN,Activity 'Churn Prediction Model' assessed against Art. 9: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
F-0112,ACT-014,Art. 44,LOW,REMEDIATED,Activity 'Churn Prediction Model' assessed against Art. 44: documented control reviewed by the auditor; remediation owner assigned and tracked to a target date; residual exposure mapped to the applicable Art. 83 fining tier and recorded in the compliance summary.
