company_id,company_name,industry_segment,notice_received_date,notice_type,violations_alleged,penalty_per_violation_usd,total_penalty_usd,resolution_type,resolution_date,consent_order_provisions,advertising_claims_flagged,evidence_standard_failed,disclosure_issues,status
CO-0016,Supplement Co. 16,beauty_supplement,2023-04-18,Notice of Penalty Offenses (Substantiation),3,51744.0,0.0,consent_order,2024-05-13,Prohibition on further violations; compliance monitoring; consumer redress,promising results (prohibited qualifier); insider reviews undisclosed; may help support (prohibited qualifier),RCT required but not available,YES,RESOLVED
CO-0017,Supplement Co. 17,beauty_supplement,2023-04-26,Notice of Penalty Offenses (Substantiation),8,51744.0,0.0,no_action_letter,2024-03-13,None,preliminary studies (prohibited qualifier); review suppression; biodegradable false claim; undisclosed paid endorsement; scientifically proven without evidence; Made in USA false claim; clinically demonstrated without RCT; may help support (prohibited qualifier),RCT required but not available,NO,PENDING
CO-0018,Supplement Co. 18,immune_supplement,2023-04-21,Notice of Penalty Offenses (Substantiation),4,51744.0,0.0,no_action_letter,2024-02-20,None,clinically demonstrated without RCT; insider reviews undisclosed; preliminary studies (prohibited qualifier); results not typical disclaimer,RCT required but not available,YES,PENDING
CO-0019,Supplement Co. 19,sleep_supplement,2023-04-13,Notice of Penalty Offenses (Substantiation),4,51744.0,0.0,ongoing_investigation,2024-11-08,Prohibition on further violations; compliance monitoring; consumer redress,results not typical disclaimer; promising results (prohibited qualifier); undisclosed paid endorsement; fake reviews,RCT required but not available,NO,PENDING
CO-0020,Supplement Co. 20,cognitive_supplement,2023-04-13,Notice of Penalty Offenses (Substantiation),2,51744.0,0.0,no_action_letter,2024-02-20,None,clinically demonstrated without RCT; fake reviews,RCT required but not available,YES,RESOLVED
CO-0021,Supplement Co. 21,weight_loss_supplement,2023-04-12,Notice of Penalty Offenses (Substantiation),6,51744.0,0.0,ongoing_investigation,2024-05-19,Prohibition on further violations; compliance monitoring; consumer redress,clinically demonstrated without RCT; insider reviews undisclosed; may help support (prohibited qualifier); undisclosed paid endorsement; promising results (prohibited qualifier); preliminary studies (prohibited qualifier),RCT required but not available,YES,RESOLVED
CO-0022,Supplement Co. 22,immune_supplement,2023-04-15,Notice of Penalty Offenses (Substantiation),3,51744.0,0.0,voluntary_correction,2024-05-20,Prohibition on further violations; compliance monitoring; consumer redress,scientifically proven without evidence; fake reviews; undisclosed paid endorsement,RCT required but not available,YES,OPEN
CO-0023,Supplement Co. 23,beauty_supplement,2023-04-10,Notice of Penalty Offenses (Substantiation),5,51744.0,413952.0,civil_penalty_settlement,2024-03-26,Prohibition on further violations; compliance monitoring; consumer redress,review suppression; results not typical disclaimer; Made in USA false claim; preliminary studies (prohibited qualifier); promising results (prohibited qualifier),RCT required but not available,YES,RESOLVED
CO-0024,Supplement Co. 24,digestive_supplement,2023-04-28,Notice of Penalty Offenses (Substantiation),8,51744.0,0.0,no_action_letter,2024-10-19,None,insider reviews undisclosed; clinically demonstrated without RCT; promising results (prohibited qualifier); scientifically proven without evidence; biodegradable false claim; may help support (prohibited qualifier); Made in USA false claim; fake reviews,RCT required but not available,YES,OPEN
CO-0025,Supplement Co. 25,digestive_supplement,2023-04-24,Notice of Penalty Offenses (Substantiation),7,51744.0,0.0,consent_order,2024-09-09,Prohibition on further violations; compliance monitoring; consumer redress,clinically demonstrated without RCT; promising results (prohibited qualifier); insider reviews undisclosed; review suppression; Made in USA false claim; scientifically proven without evidence; preliminary studies (prohibited qualifier),RCT required but not available,NO,PENDING
CO-0026,Supplement Co. 26,immune_supplement,2023-04-14,Notice of Penalty Offenses (Substantiation),5,51744.0,0.0,voluntary_correction,2024-05-10,Prohibition on further violations; compliance monitoring; consumer redress,may help support (prohibited qualifier); scientifically proven without evidence; results not typical disclaimer; insider reviews undisclosed; preliminary studies (prohibited qualifier),RCT required but not available,YES,RESOLVED
CO-0027,Supplement Co. 27,anti_aging_supplement,2023-04-24,Notice of Penalty Offenses (Substantiation),8,51744.0,0.0,consent_order,2024-02-05,Prohibition on further violations; compliance monitoring; consumer redress,insider reviews undisclosed; clinically demonstrated without RCT; scientifically proven without evidence; results not typical disclaimer; review suppression; fake reviews; preliminary studies (prohibited qualifier); promising results (prohibited qualifier),RCT required but not available,YES,PENDING
CO-0028,Supplement Co. 28,cognitive_supplement,2023-04-28,Notice of Penalty Offenses (Substantiation),7,51744.0,0.0,no_action_letter,2024-07-16,None,fake reviews; insider reviews undisclosed; promising results (prohibited qualifier); biodegradable false claim; results not typical disclaimer; undisclosed paid endorsement; clinically demonstrated without RCT,RCT required but not available,NO,PENDING
CO-0029,Supplement Co. 29,cognitive_supplement,2023-04-24,Notice of Penalty Offenses (Substantiation),5,51744.0,0.0,ongoing_investigation,2024-06-09,Prohibition on further violations; compliance monitoring; consumer redress,promising results (prohibited qualifier); results not typical disclaimer; insider reviews undisclosed; clinically demonstrated without RCT; fake reviews,RCT required but not available,YES,PENDING
CO-0030,Supplement Co. 30,immune_supplement,2023-04-18,Notice of Penalty Offenses (Substantiation),4,51744.0,0.0,consent_order,2024-08-18,Prohibition on further violations; compliance monitoring; consumer redress,scientifically proven without evidence; may help support (prohibited qualifier); promising results (prohibited qualifier); insider reviews undisclosed,RCT required but not available,YES,OPEN
CO-0031,Supplement Co. 31,beauty_supplement,2023-04-12,Notice of Penalty Offenses (Substantiation),6,51744.0,103488.0,civil_penalty_settlement,2024-05-06,Prohibition on further violations; compliance monitoring; consumer redress,scientifically proven without evidence; may help support (prohibited qualifier); results not typical disclaimer; undisclosed paid endorsement; clinically demonstrated without RCT; fake reviews,RCT required but not available,YES,RESOLVED
CO-0032,Supplement Co. 32,digestive_supplement,2023-04-10,Notice of Penalty Offenses (Substantiation),5,51744.0,0.0,ongoing_investigation,2024-08-02,Prohibition on further violations; compliance monitoring; consumer redress,results not typical disclaimer; may help support (prohibited qualifier); scientifically proven without evidence; preliminary studies (prohibited qualifier); undisclosed paid endorsement,RCT required but not available,YES,OPEN
CO-0033,Supplement Co. 33,cognitive_supplement,2023-04-24,Notice of Penalty Offenses (Substantiation),3,51744.0,0.0,ongoing_investigation,2024-03-17,Prohibition on further violations; compliance monitoring; consumer redress,fake reviews; biodegradable false claim; review suppression,RCT required but not available,YES,RESOLVED
CO-0034,Supplement Co. 34,energy_supplement,2023-04-14,Notice of Penalty Offenses (Substantiation),5,51744.0,0.0,voluntary_correction,2024-12-09,Prohibition on further violations; compliance monitoring; consumer redress,preliminary studies (prohibited qualifier); results not typical disclaimer; scientifically proven without evidence; review suppression; promising results (prohibited qualifier),RCT required but not available,YES,OPEN
CO-0035,Supplement Co. 35,weight_loss_supplement,2023-04-25,Notice of Penalty Offenses (Substantiation),2,51744.0,465696.0,civil_penalty_settlement,2024-02-24,Prohibition on further violations; compliance monitoring; consumer redress,biodegradable false claim; Made in USA false claim,RCT required but not available,NO,PENDING
CO-0036,Supplement Co. 36,digestive_supplement,2023-04-25,Notice of Penalty Offenses (Substantiation),1,51744.0,0.0,ongoing_investigation,2024-03-27,Prohibition on further violations; compliance monitoring; consumer redress,review suppression,RCT required but not available,YES,PENDING
CO-0037,Supplement Co. 37,immune_supplement,2023-04-13,Notice of Penalty Offenses (Substantiation),8,51744.0,0.0,consent_order,2024-03-13,Prohibition on further violations; compliance monitoring; consumer redress,fake reviews; Made in USA false claim; biodegradable false claim; insider reviews undisclosed; results not typical disclaimer; promising results (prohibited qualifier); preliminary studies (prohibited qualifier); review suppression,RCT required but not available,NO,PENDING
CO-0038,Supplement Co. 38,weight_loss_supplement,2023-04-15,Notice of Penalty Offenses (Substantiation),2,51744.0,0.0,ongoing_investigation,2024-11-06,Prohibition on further violations; compliance monitoring; consumer redress,insider reviews undisclosed; Made in USA false claim,RCT required but not available,NO,PENDING
CO-0039,Supplement Co. 39,digestive_supplement,2023-04-27,Notice of Penalty Offenses (Substantiation),8,51744.0,0.0,voluntary_correction,2024-04-12,Prohibition on further violations; compliance monitoring; consumer redress,biodegradable false claim; Made in USA false claim; preliminary studies (prohibited qualifier); review suppression; scientifically proven without evidence; clinically demonstrated without RCT; fake reviews; undisclosed paid endorsement,RCT required but not available,NO,OPEN
CO-0040,Supplement Co. 40,weight_loss_supplement,2023-04-14,Notice of Penalty Offenses (Substantiation),3,51744.0,517440.0,civil_penalty_settlement,2024-08-15,Prohibition on further violations; compliance monitoring; consumer redress,biodegradable false claim; Made in USA false claim; clinically demonstrated without RCT,RCT required but not available,NO,PENDING
CO-0041,Supplement Co. 41,energy_supplement,2023-04-18,Notice of Penalty Offenses (Substantiation),8,51744.0,569184.0,civil_penalty_settlement,2024-09-11,Prohibition on further violations; compliance monitoring; consumer redress,clinically demonstrated without RCT; insider reviews undisclosed; Made in USA false claim; scientifically proven without evidence; undisclosed paid endorsement; preliminary studies (prohibited qualifier); biodegradable false claim; review suppression,RCT required but not available,YES,OPEN
CO-0042,Supplement Co. 42,weight_loss_supplement,2023-04-23,Notice of Penalty Offenses (Substantiation),5,51744.0,0.0,no_action_letter,2024-09-27,None,results not typical disclaimer; insider reviews undisclosed; review suppression; may help support (prohibited qualifier); scientifically proven without evidence,RCT required but not available,NO,PENDING
CO-0043,Supplement Co. 43,beauty_supplement,2023-04-12,Notice of Penalty Offenses (Substantiation),4,51744.0,206976.0,civil_penalty_settlement,2024-05-22,Prohibition on further violations; compliance monitoring; consumer redress,preliminary studies (prohibited qualifier); may help support (prohibited qualifier); review suppression; promising results (prohibited qualifier),RCT required but not available,NO,OPEN
CO-0044,Supplement Co. 44,weight_loss_supplement,2023-04-21,Notice of Penalty Offenses (Substantiation),5,51744.0,620928.0,civil_penalty_settlement,2024-07-08,Prohibition on further violations; compliance monitoring; consumer redress,clinically demonstrated without RCT; insider reviews undisclosed; review suppression; results not typical disclaimer; promising results (prohibited qualifier),RCT required but not available,YES,PENDING
CO-0045,Supplement Co. 45,probiotic_supplement,2023-04-14,Notice of Penalty Offenses (Substantiation),6,51744.0,0.0,ongoing_investigation,2024-02-11,Prohibition on further violations; compliance monitoring; consumer redress,biodegradable false claim; review suppression; fake reviews; undisclosed paid endorsement; insider reviews undisclosed; clinically demonstrated without RCT,RCT required but not available,NO,PENDING
CO-0046,Supplement Co. 46,probiotic_supplement,2023-04-22,Notice of Penalty Offenses (Substantiation),8,51744.0,155232.0,civil_penalty_settlement,2024-06-28,Prohibition on further violations; compliance monitoring; consumer redress,insider reviews undisclosed; review suppression; Made in USA false claim; preliminary studies (prohibited qualifier); undisclosed paid endorsement; fake reviews; may help support (prohibited qualifier); clinically demonstrated without RCT,RCT required but not available,YES,OPEN
CO-0047,Supplement Co. 47,immune_supplement,2023-04-11,Notice of Penalty Offenses (Substantiation),8,51744.0,672672.0,civil_penalty_settlement,2024-10-11,Prohibition on further violations; compliance monitoring; consumer redress,review suppression; results not typical disclaimer; Made in USA false claim; promising results (prohibited qualifier); fake reviews; undisclosed paid endorsement; insider reviews undisclosed; scientifically proven without evidence,RCT required but not available,YES,PENDING
CO-0048,Supplement Co. 48,anti_aging_supplement,2023-04-18,Notice of Penalty Offenses (Substantiation),8,51744.0,0.0,voluntary_correction,2024-08-17,Prohibition on further violations; compliance monitoring; consumer redress,preliminary studies (prohibited qualifier); clinically demonstrated without RCT; insider reviews undisclosed; results not typical disclaimer; scientifically proven without evidence; review suppression; undisclosed paid endorsement; promising results (prohibited qualifier),RCT required but not available,NO,PENDING
CO-0049,Supplement Co. 49,energy_supplement,2023-04-27,Notice of Penalty Offenses (Substantiation),7,51744.0,206976.0,civil_penalty_settlement,2024-02-28,Prohibition on further violations; compliance monitoring; consumer redress,insider reviews undisclosed; undisclosed paid endorsement; promising results (prohibited qualifier); review suppression; clinically demonstrated without RCT; fake reviews; scientifically proven without evidence,RCT required but not available,YES,PENDING
CO-0050,Supplement Co. 50,probiotic_supplement,2023-04-13,Notice of Penalty Offenses (Substantiation),8,51744.0,0.0,consent_order,2024-09-09,Prohibition on further violations; compliance monitoring; consumer redress,results not typical disclaimer; fake reviews; preliminary studies (prohibited qualifier); scientifically proven without evidence; undisclosed paid endorsement; promising results (prohibited qualifier); insider reviews undisclosed; may help support (prohibited qualifier),RCT required but not available,NO,PENDING
CO-0051,Supplement Co. 51,probiotic_supplement,2023-04-13,Notice of Penalty Offenses (Substantiation),2,51744.0,0.0,consent_order,2024-03-28,Prohibition on further violations; compliance monitoring; consumer redress,preliminary studies (prohibited qualifier); insider reviews undisclosed,RCT required but not available,YES,OPEN
CO-0052,Supplement Co. 52,anti_aging_supplement,2023-04-16,Notice of Penalty Offenses (Substantiation),1,51744.0,0.0,voluntary_correction,2024-08-24,Prohibition on further violations; compliance monitoring; consumer redress,fake reviews,RCT required but not available,YES,RESOLVED
CO-0053,Supplement Co. 53,sleep_supplement,2023-04-20,Notice of Penalty Offenses (Substantiation),5,51744.0,0.0,no_action_letter,2024-09-12,None,results not typical disclaimer; biodegradable false claim; promising results (prohibited qualifier); scientifically proven without evidence; fake reviews,RCT required but not available,NO,OPEN
CO-0054,Supplement Co. 54,beauty_supplement,2023-04-20,Notice of Penalty Offenses (Substantiation),2,51744.0,0.0,ongoing_investigation,2024-03-23,Prohibition on further violations; compliance monitoring; consumer redress,promising results (prohibited qualifier); clinically demonstrated without RCT,RCT required but not available,NO,OPEN
CO-0055,Supplement Co. 55,sleep_supplement,2023-04-26,Notice of Penalty Offenses (Substantiation),8,51744.0,0.0,consent_order,2024-01-17,Prohibition on further violations; compliance monitoring; consumer redress,review suppression; promising results (prohibited qualifier); undisclosed paid endorsement; insider reviews undisclosed; fake reviews; preliminary studies (prohibited qualifier); biodegradable false claim; scientifically proven without evidence,RCT required but not available,YES,PENDING
CO-0056,Supplement Co. 56,probiotic_supplement,2023-04-24,Notice of Penalty Offenses (Substantiation),2,51744.0,0.0,voluntary_correction,2024-04-08,Prohibition on further violations; compliance monitoring; consumer redress,scientifically proven without evidence; biodegradable false claim,RCT required but not available,YES,PENDING
CO-0057,Supplement Co. 57,weight_loss_supplement,2023-04-16,Notice of Penalty Offenses (Substantiation),7,51744.0,724416.0,civil_penalty_settlement,2024-03-11,Prohibition on further violations; compliance monitoring; consumer redress,may help support (prohibited qualifier); undisclosed paid endorsement; review suppression; fake reviews; Made in USA false claim; preliminary studies (prohibited qualifier); results not typical disclaimer,RCT required but not available,NO,OPEN
CO-0058,Supplement Co. 58,probiotic_supplement,2023-04-20,Notice of Penalty Offenses (Substantiation),3,51744.0,0.0,voluntary_correction,2024-02-04,Prohibition on further violations; compliance monitoring; consumer redress,may help support (prohibited qualifier); Made in USA false claim; review suppression,RCT required but not available,NO,RESOLVED
CO-0059,Supplement Co. 59,cognitive_supplement,2023-04-25,Notice of Penalty Offenses (Substantiation),1,51744.0,0.0,consent_order,2024-02-23,Prohibition on further violations; compliance monitoring; consumer redress,clinically demonstrated without RCT,RCT required but not available,NO,RESOLVED
CO-0060,Supplement Co. 60,weight_loss_supplement,2023-04-24,Notice of Penalty Offenses (Substantiation),4,51744.0,0.0,consent_order,2024-03-22,Prohibition on further violations; compliance monitoring; consumer redress,Made in USA false claim; review suppression; preliminary studies (prohibited qualifier); scientifically proven without evidence,RCT required but not available,NO,OPEN
CO-0061,Supplement Co. 61,cognitive_supplement,2023-04-20,Notice of Penalty Offenses (Substantiation),7,51744.0,0.0,voluntary_correction,2024-03-22,Prohibition on further violations; compliance monitoring; consumer redress,fake reviews; insider reviews undisclosed; scientifically proven without evidence; Made in USA false claim; review suppression; clinically demonstrated without RCT; undisclosed paid endorsement,RCT required but not available,NO,PENDING
CO-0062,Supplement Co. 62,digestive_supplement,2023-04-25,Notice of Penalty Offenses (Substantiation),6,51744.0,0.0,consent_order,2024-02-27,Prohibition on further violations; compliance monitoring; consumer redress,fake reviews; results not typical disclaimer; insider reviews undisclosed; undisclosed paid endorsement; Made in USA false claim; preliminary studies (prohibited qualifier),RCT required but not available,YES,OPEN
CO-0063,Supplement Co. 63,anti_aging_supplement,2023-04-25,Notice of Penalty Offenses (Substantiation),8,51744.0,206976.0,civil_penalty_settlement,2024-09-10,Prohibition on further violations; compliance monitoring; consumer redress,promising results (prohibited qualifier); preliminary studies (prohibited qualifier); Made in USA false claim; review suppression; may help support (prohibited qualifier); biodegradable false claim; insider reviews undisclosed; results not typical disclaimer,RCT required but not available,YES,PENDING
CO-0064,Supplement Co. 64,weight_loss_supplement,2023-04-24,Notice of Penalty Offenses (Substantiation),8,51744.0,620928.0,civil_penalty_settlement,2024-10-26,Prohibition on further violations; compliance monitoring; consumer redress,scientifically proven without evidence; Made in USA false claim; results not typical disclaimer; review suppression; clinically demonstrated without RCT; insider reviews undisclosed; fake reviews; preliminary studies (prohibited qualifier),RCT required but not available,NO,OPEN
CO-0065,Supplement Co. 65,probiotic_supplement,2023-04-18,Notice of Penalty Offenses (Substantiation),5,51744.0,0.0,consent_order,2024-11-26,Prohibition on further violations; compliance monitoring; consumer redress,insider reviews undisclosed; biodegradable false claim; preliminary studies (prohibited qualifier); undisclosed paid endorsement; scientifically proven without evidence,RCT required but not available,NO,RESOLVED
CO-0066,Supplement Co. 66,probiotic_supplement,2023-04-28,Notice of Penalty Offenses (Substantiation),3,51744.0,0.0,no_action_letter,2024-10-02,None,promising results (prohibited qualifier); insider reviews undisclosed; may help support (prohibited qualifier),RCT required but not available,NO,PENDING
CO-0067,Supplement Co. 67,anti_aging_supplement,2023-04-24,Notice of Penalty Offenses (Substantiation),8,51744.0,776160.0,civil_penalty_settlement,2024-07-06,Prohibition on further violations; compliance monitoring; consumer redress,promising results (prohibited qualifier); may help support (prohibited qualifier); scientifically proven without evidence; biodegradable false claim; results not typical disclaimer; review suppression; preliminary studies (prohibited qualifier); fake reviews,RCT required but not available,YES,OPEN
CO-0068,Supplement Co. 68,beauty_supplement,2023-04-12,Notice of Penalty Offenses (Substantiation),2,51744.0,0.0,ongoing_investigation,2024-02-09,Prohibition on further violations; compliance monitoring; consumer redress,fake reviews; promising results (prohibited qualifier),RCT required but not available,NO,OPEN
CO-0069,Supplement Co. 69,beauty_supplement,2023-04-13,Notice of Penalty Offenses (Substantiation),4,51744.0,0.0,voluntary_correction,2024-04-09,Prohibition on further violations; compliance monitoring; consumer redress,promising results (prohibited qualifier); scientifically proven without evidence; biodegradable false claim; preliminary studies (prohibited qualifier),RCT required but not available,YES,OPEN
CO-0070,Supplement Co. 70,energy_supplement,2023-04-15,Notice of Penalty Offenses (Substantiation),5,51744.0,0.0,ongoing_investigation,2024-03-13,Prohibition on further violations; compliance monitoring; consumer redress,results not typical disclaimer; fake reviews; clinically demonstrated without RCT; preliminary studies (prohibited qualifier); insider reviews undisclosed,RCT required but not available,NO,OPEN
CO-0071,Supplement Co. 71,weight_loss_supplement,2023-04-11,Notice of Penalty Offenses (Substantiation),5,51744.0,672672.0,civil_penalty_settlement,2024-04-22,Prohibition on further violations; compliance monitoring; consumer redress,scientifically proven without evidence; promising results (prohibited qualifier); review suppression; may help support (prohibited qualifier); undisclosed paid endorsement,RCT required but not available,YES,PENDING
CO-0072,Supplement Co. 72,anti_aging_supplement,2023-04-27,Notice of Penalty Offenses (Substantiation),4,51744.0,0.0,voluntary_correction,2024-01-01,Prohibition on further violations; compliance monitoring; consumer redress,biodegradable false claim; undisclosed paid endorsement; insider reviews undisclosed; preliminary studies (prohibited qualifier),RCT required but not available,YES,RESOLVED
CO-0073,Supplement Co. 73,immune_supplement,2023-04-12,Notice of Penalty Offenses (Substantiation),5,51744.0,0.0,ongoing_investigation,2024-01-23,Prohibition on further violations; compliance monitoring; consumer redress,results not typical disclaimer; preliminary studies (prohibited qualifier); insider reviews undisclosed; Made in USA false claim; scientifically proven without evidence,RCT required but not available,YES,PENDING
CO-0074,Supplement Co. 74,energy_supplement,2023-04-21,Notice of Penalty Offenses (Substantiation),8,51744.0,258720.0,civil_penalty_settlement,2024-10-23,Prohibition on further violations; compliance monitoring; consumer redress,may help support (prohibited qualifier); undisclosed paid endorsement; promising results (prohibited qualifier); review suppression; biodegradable false claim; Made in USA false claim; results not typical disclaimer; scientifically proven without evidence,RCT required but not available,YES,RESOLVED
CO-0075,Supplement Co. 75,digestive_supplement,2023-04-11,Notice of Penalty Offenses (Substantiation),8,51744.0,620928.0,civil_penalty_settlement,2024-12-27,Prohibition on further violations; compliance monitoring; consumer redress,insider reviews undisclosed; may help support (prohibited qualifier); scientifically proven without evidence; preliminary studies (prohibited qualifier); promising results (prohibited qualifier); clinically demonstrated without RCT; biodegradable false claim; results not typical disclaimer,RCT required but not available,YES,PENDING
CO-0076,Supplement Co. 76,cognitive_supplement,2023-04-20,Notice of Penalty Offenses (Substantiation),5,51744.0,0.0,voluntary_correction,2024-04-16,Prohibition on further violations; compliance monitoring; consumer redress,scientifically proven without evidence; may help support (prohibited qualifier); undisclosed paid endorsement; review suppression; insider reviews undisclosed,RCT required but not available,YES,RESOLVED
CO-0077,Supplement Co. 77,digestive_supplement,2023-04-23,Notice of Penalty Offenses (Substantiation),1,51744.0,258720.0,civil_penalty_settlement,2024-04-21,Prohibition on further violations; compliance monitoring; consumer redress,Made in USA false claim,RCT required but not available,YES,RESOLVED
CO-0078,Supplement Co. 78,probiotic_supplement,2023-04-13,Notice of Penalty Offenses (Substantiation),4,51744.0,413952.0,civil_penalty_settlement,2024-08-21,Prohibition on further violations; compliance monitoring; consumer redress,may help support (prohibited qualifier); review suppression; preliminary studies (prohibited qualifier); insider reviews undisclosed,RCT required but not available,NO,PENDING
CO-0079,Supplement Co. 79,cognitive_supplement,2023-04-18,Notice of Penalty Offenses (Substantiation),6,51744.0,0.0,consent_order,2024-02-20,Prohibition on further violations; compliance monitoring; consumer redress,may help support (prohibited qualifier); results not typical disclaimer; clinically demonstrated without RCT; insider reviews undisclosed; promising results (prohibited qualifier); review suppression,RCT required but not available,NO,RESOLVED
CO-0080,Supplement Co. 80,energy_supplement,2023-04-28,Notice of Penalty Offenses (Substantiation),1,51744.0,0.0,ongoing_investigation,2024-02-18,Prohibition on further violations; compliance monitoring; consumer redress,preliminary studies (prohibited qualifier),RCT required but not available,YES,RESOLVED
CO-0081,Supplement Co. 81,probiotic_supplement,2023-04-16,Notice of Penalty Offenses (Substantiation),8,51744.0,0.0,voluntary_correction,2024-07-21,Prohibition on further violations; compliance monitoring; consumer redress,fake reviews; insider reviews undisclosed; scientifically proven without evidence; preliminary studies (prohibited qualifier); Made in USA false claim; review suppression; results not typical disclaimer; biodegradable false claim,RCT required but not available,YES,PENDING
CO-0082,Supplement Co. 82,probiotic_supplement,2023-04-10,Notice of Penalty Offenses (Substantiation),8,51744.0,0.0,no_action_letter,2024-10-02,None,biodegradable false claim; review suppression; undisclosed paid endorsement; may help support (prohibited qualifier); Made in USA false claim; scientifically proven without evidence; clinically demonstrated without RCT; fake reviews,RCT required but not available,NO,RESOLVED
