post_id,handle,platform,post_date,post_time_est,follower_count,impressions,engagement_rate,reach,clicks,link_clicks,saves,shares,comments,likes,disclosure_pattern,disclosure_type,disclosure_timing,compliance_status,health_claim_detected,health_claim_category,health_claim_compliant,violation_category,penalty_exposure_usd,review_date,reviewer,resolution_status,resolution_action,resolution_date,legal_hold,notes,campaign_id,content_type,paid_partnership_tag,verbal_disclosure,visual_disclosure
SUPP-0014,@guthealth_guru,Pinterest,2026-02-17,17:30:00,63122,11884,2.35,12525,756,399,344,34,458,414,"No disclosure (first post)",inadequate,post-content or absent,NON-COMPLIANT,"initial pilot data shows gut improvement (PROHIBITED: 'initial' + 'pilot')",general_wellness,No,§255.5,51744,2026-03-20,Jordan Ellis,PENDING,INFLUENCER NOTIFIED,N/A,No,"Influencer remediation tracking",CAMP-2026-018,Blog post,No,No,No
SUPP-0015,@nutriscience,LinkedIn,2026-03-07,11:30:00,101588,53277,2.19,58368,622,319,403,655,693,6093,"No disclosure (first post)",inadequate,post-content or absent,NON-COMPLIANT,"Vitamin D3 supports immune function (compliant - RCT supported)",health_efficacy,Yes,§255.5,51744,2026-03-10,Sarah Chen,OPEN,ESCALATE TO CCO,N/A,No,"Sarah Chen escalation review",CAMP-2026-002,Long video (>60s),No,No,No
SUPP-0016,@fitandfueled,Snapchat,2026-01-03,13:15:00,100775,39010,1.83,32768,1155,670,702,507,848,4259,"FTC compliant verbal + text",adequate,pre-content,COMPLIANT,"initial pilot data shows gut improvement (PROHIBITED: 'initial' + 'pilot')",general_wellness,No,None,0,2026-02-06,Casey Park,RESOLVED,NONE,2026-02-10,No,"Quarterly disclosure audit",CAMP-2026-005,Long video (>60s),No,No,No
SUPP-0017,@nourishednaturally,LinkedIn,2026-02-12,21:45:00,89403,19810,6.86,14886,1270,634,369,162,698,1512,"Paid collab sticker only",inadequate,post-content or absent,NON-COMPLIANT,"initial pilot data shows gut improvement (PROHIBITED: 'initial' + 'pilot')",general_wellness,No,§255.5,51744,2026-03-15,Alex Rivera (Ext.),IN_REVIEW,CONTRACT UPDATED,N/A,No,"Casey Park pre-launch clearance",CAMP-2026-016,Carousel,No,No,No
SUPP-0018,@fitandfueled,Twitter/X,2026-01-02,09:30:00,81948,20269,2.87,21293,522,58,54,171,473,2940,"Paid collab sticker only",inadequate,post-content or absent,NON-COMPLIANT,"Doctor-Formulated for immunity (REQUIRES substantiation per revised audit letter)",general_wellness,No,§255.5,51744,2026-02-05,Casey Park,PENDING,ESCALATE TO CCO,N/A,No,"Supplemental audit batch March 2026",CAMP-2026-008,Reel,No,No,No
SUPP-0019,@holistic_health_hub,LinkedIn,2026-03-01,22:00:00,81775,17766,3.39,18276,405,74,143,161,76,2557,"No disclosure",inadequate,post-content or absent,NON-COMPLIANT,"Science-backed probiotic formula (compliant general claim)",general_wellness,Yes,§255.5,51744,2026-03-04,Jordan Ellis,PENDING,MONITORING,N/A,No,"Post-update-1 compliance sweep",CAMP-2026-003,Blog post,No,No,No
SUPP-0020,@nutriscience,Instagram Stories,2026-02-14,23:45:00,113097,35381,1.44,28210,352,129,496,117,1410,2745,"Platform Paid Partnership only",inadequate,post-content or absent,NON-COMPLIANT,"B. longum promotes digestive wellness (insufficient evidence - no human RCT)",health_efficacy,No,§255.5,51744,2026-03-17,Sarah Chen,OPEN,OBTAIN LEGAL REVIEW,N/A,No,"Influencer remediation tracking",CAMP-2026-012,Long video (>60s),Yes,No,No
SUPP-0021,@microbiome_maven,Pinterest,2026-03-11,21:15:00,34702,5994,6.46,5995,444,195,36,39,35,331,"Ad: at beginning",adequate,pre-content,COMPLIANT,"Doctor-Formulated for immunity (REQUIRES substantiation per revised audit letter)",general_wellness,No,None,0,2026-03-14,Casey Park,RESOLVED,NONE,2026-03-18,No,"Sarah Chen escalation review",CAMP-2026-007,Reel,No,No,Yes
SUPP-0022,@wellnesswithjenna,Pinterest,2026-03-19,12:15:00,101862,30412,0.84,25346,2156,853,698,63,411,2149,"Disclosure at post end",inadequate,post-content or absent,NON-COMPLIANT,"Clinically demonstrated to enhance immunity (PROHIBITED: requires RCT for all ingredients)",health_efficacy,No,§255.5,51744,2026-03-22,Sarah Chen,IN_REVIEW,COMPLIANT - NO ACTION,N/A,No,"Post-CEO-retraction review round",CAMP-2026-008,Reel,No,No,No
SUPP-0023,@vitalitycoach,Snapchat,2026-02-10,17:15:00,36633,13591,5.14,12143,550,304,156,143,170,471,"#ad first hashtag",adequate,pre-content,COMPLIANT,"Doctor-Formulated for immunity (REQUIRES substantiation per revised audit letter)",general_wellness,No,None,0,2026-03-13,Sarah Chen,RESOLVED,NONE,2026-03-17,No,"Post-update-1 compliance sweep",CAMP-2026-007,Story,No,No,Yes
SUPP-0024,@nutriscience,TikTok,2026-02-16,09:30:00,28081,14721,7.15,15739,459,216,344,127,45,540,"#gifted in hashtags",inadequate,post-content or absent,NON-COMPLIANT,"Vitamin D3 supports immune function (compliant - RCT supported)",health_efficacy,Yes,§255.5,51744,2026-03-19,Alex Rivera (Ext.),IN_REVIEW,INFLUENCER NOTIFIED,N/A,No,"Sarah Chen escalation review",CAMP-2026-018,Reel,No,No,No
SUPP-0025,@wellnesswithjenna,YouTube,2026-02-17,18:30:00,115152,42436,1.53,40026,2590,1318,930,224,1487,3700,"#ad buried as last hashtag",inadequate,post-content or absent,NON-COMPLIANT,"Supports immune health (compliant with RCT)",health_efficacy,Yes,§255.5,51744,2026-03-20,Sarah Chen,OPEN,CONTRACT UPDATED,N/A,No,"Post-CEO-retraction review round",CAMP-2026-002,Live session,No,No,Yes
SUPP-0026,@immunity_insider,Instagram,2026-03-13,22:00:00,40123,17241,3.85,12362,193,111,415,98,119,1215,"#ad first hashtag",adequate,pre-content,COMPLIANT,"Vitamin D3 supports immune function (compliant - RCT supported)",health_efficacy,Yes,None,0,2026-03-16,Casey Park,RESOLVED,NONE,2026-03-20,No,"Post-update-1 compliance sweep",CAMP-2026-004,Story,No,No,Yes
SUPP-0027,@fitandfueled,LinkedIn,2026-03-12,10:00:00,39749,13525,1.88,12844,544,192,122,30,117,1234,"#ad first hashtag",adequate,pre-content,COMPLIANT,"Vitamin D3 supports immune function (compliant - RCT supported)",health_efficacy,Yes,None,0,2026-03-15,Alex Rivera (Ext.),RESOLVED,NONE,2026-03-19,No,"Post-CEO-retraction review round",CAMP-2026-006,Live session,No,No,Yes
SUPP-0028,@cleanwellness,Snapchat,2026-03-05,14:45:00,33516,12539,4.71,10835,471,247,88,147,161,1175,"#ad buried as last hashtag",inadequate,post-content or absent,NON-COMPLIANT,"B. longum promotes digestive wellness (insufficient evidence - no human RCT)",health_efficacy,No,§255.5,51744,2026-03-08,Sarah Chen,IN_REVIEW,MONITORING,N/A,No,"Casey Park pre-launch clearance",CAMP-2026-008,Reel,No,No,Yes
SUPP-0029,@digestive_digest,Instagram,2026-01-23,15:00:00,17315,8222,7.22,8845,460,122,11,75,210,1131,"#sponsored in middle",inadequate,post-content or absent,NON-COMPLIANT,"Clinically demonstrated to enhance immunity (PROHIBITED: requires RCT for all ingredients)",health_efficacy,No,§255.5,51744,2026-02-26,Casey Park,OPEN,INFLUENCER NOTIFIED,N/A,No,"Supplemental audit batch March 2026",CAMP-2026-014,Story,No,No,No
SUPP-0030,@supplementspro,Snapchat,2026-01-04,09:30:00,73357,37736,6.56,30863,1068,446,361,339,384,4296,"Disclosure at post end",inadequate,post-content or absent,NON-COMPLIANT,"Doctor recommended for gut wellness (REQUIRES expert disclosure §255.3)",general_wellness,No,§255.5,51744,2026-02-07,Casey Park,PENDING,CONTRACT UPDATED,N/A,No,"Post-CEO-retraction review round",CAMP-2026-011,Long video (>60s),No,No,No
SUPP-0031,@cleanwellness,Facebook,2026-03-26,14:30:00,68980,37490,4.77,37426,688,102,54,41,992,754,"Disclosure in bio only",inadequate,post-content or absent,NON-COMPLIANT,"Gut health support tested in human trials (compliant)",general_wellness,Yes,§255.5,51744,2026-03-28,Jordan Ellis,PENDING,REMOVE CLAIM,N/A,No,"Post-update-1 compliance sweep",CAMP-2026-018,Blog post,No,No,No
SUPP-0032,@microbiome_maven,Instagram Stories,2026-02-24,13:45:00,80235,23226,4.77,20070,629,86,231,114,577,774,"No disclosure",inadequate,post-content or absent,NON-COMPLIANT,"may help digestive comfort (PROHIBITED: 'may' + B. longum lacks RCT)",health_efficacy,No,§255.5,51744,2026-03-27,Alex Rivera (Ext.),IN_REVIEW,OBTAIN LEGAL REVIEW,N/A,No,"Post-CEO-retraction review round",CAMP-2026-010,Blog post,No,No,No
SUPP-0033,@immunity_insider,LinkedIn,2026-01-01,23:15:00,52334,10074,6.92,10545,763,283,21,83,297,621,"AD text overlay (video)",inadequate,post-content or absent,NON-COMPLIANT,"may help digestive comfort (PROHIBITED: 'may' + B. longum lacks RCT)",health_efficacy,No,§255.5,51744,2026-02-04,Sarah Chen,OPEN,REMOVE CLAIM,N/A,No,"Sarah Chen escalation review",CAMP-2026-018,Reel,No,No,No
SUPP-0034,@vitamindiary,YouTube,2026-02-12,08:15:00,90601,44702,5.37,33224,2697,902,685,558,1028,2558,"No disclosure (first post)",inadequate,post-content or absent,NON-COMPLIANT,"Clinically demonstrated to enhance immunity (PROHIBITED: requires RCT for all ingredients)",health_efficacy,No,§255.5,51744,2026-03-15,Casey Park,PENDING,UPDATE DISCLOSURE,N/A,No,"Post-update-1 compliance sweep",CAMP-2026-014,Blog post,No,No,No
SUPP-0035,@fitandfueled,Instagram,2026-03-05,10:30:00,101187,53657,2.68,57441,4152,1029,623,691,1987,1612,"#ad at post beginning",adequate,pre-content,COMPLIANT,"Clinically demonstrated to enhance immunity (PROHIBITED: requires RCT for all ingredients)",health_efficacy,No,None,0,2026-03-08,Sarah Chen,RESOLVED,NONE,2026-03-12,No,"Sarah Chen escalation review",CAMP-2026-005,Carousel,No,No,Yes
SUPP-0036,@microbiome_maven,Twitter/X,2026-01-24,19:30:00,114807,30037,1.56,24133,1461,718,468,121,774,1736,"FTC compliant verbal + text",adequate,pre-content,COMPLIANT,"L. acidophilus NCFM for immune health (compliant - 2 human RCTs)",health_efficacy,Yes,None,0,2026-02-27,Sarah Chen,RESOLVED,NONE,2026-02-28,No,"Sarah Chen escalation review",CAMP-2026-018,Static image,No,No,No
SUPP-0037,@microbiome_maven,Facebook,2026-02-12,10:45:00,98933,52865,1.5,37216,3105,535,1128,55,529,5933,"Disclosure at post end",inadequate,post-content or absent,NON-COMPLIANT,"supports gut microbiome balance (compliant)",general_wellness,Yes,§255.5,51744,2026-03-15,Alex Rivera (Ext.),OPEN,COMPLIANT - NO ACTION,N/A,No,"Supplemental audit batch March 2026",CAMP-2026-017,Reel,No,No,No
SUPP-0038,@digestive_digest,Pinterest,2026-02-04,22:45:00,69601,11582,5.72,9006,675,147,33,31,94,685,"AD text overlay (video)",inadequate,post-content or absent,NON-COMPLIANT,"preliminary research suggests (PROHIBITED)",general_wellness,No,§255.5,51744,2026-03-07,Sarah Chen,IN_REVIEW,CONTRACT UPDATED,N/A,No,"Casey Park pre-launch clearance",CAMP-2026-005,Long video (>60s),No,No,No
SUPP-0039,@digestive_digest,Instagram,2026-03-07,08:00:00,49141,5740,1.56,4901,411,223,125,40,124,402,"Paid collab sticker only",inadequate,post-content or absent,NON-COMPLIANT,"L. acidophilus NCFM for immune health (compliant - 2 human RCTs)",health_efficacy,Yes,§255.5,51744,2026-03-10,Sarah Chen,OPEN,INFLUENCER NOTIFIED,N/A,No,"Influencer remediation tracking",CAMP-2026-011,Reel,No,No,No
SUPP-0040,@microbiome_maven,TikTok,2026-03-26,17:00:00,30407,10692,6.38,10812,437,189,291,121,211,813,"Platform Paid Partnership only",inadequate,post-content or absent,NON-COMPLIANT,"Probiotic of choice for digestive health (compliant general claim)",general_wellness,Yes,§255.5,51744,2026-03-28,Alex Rivera (Ext.),PENDING,REMOVE CLAIM,N/A,No,"Influencer remediation tracking",CAMP-2026-016,Long video (>60s),Yes,No,No
SUPP-0041,@cleanwellness,Instagram,2026-01-12,16:45:00,49249,21846,3.52,21854,344,204,250,207,552,1690,"No disclosure (first post)",inadequate,post-content or absent,NON-COMPLIANT,"supports gut microbiome balance (compliant)",general_wellness,Yes,§255.5,51744,2026-02-15,Jordan Ellis,OPEN,INFLUENCER NOTIFIED,N/A,No,"Influencer remediation tracking",CAMP-2026-012,Podcast mention,No,No,No
SUPP-0042,@immunity_insider,Instagram Stories,2026-02-05,19:45:00,11442,2423,7.46,2230,129,75,43,21,8,362,"No disclosure",inadequate,post-content or absent,NON-COMPLIANT,"may help digestive comfort (PROHIBITED: 'may' + B. longum lacks RCT)",health_efficacy,No,§255.5,51744,2026-03-08,Jordan Ellis,IN_REVIEW,INFLUENCER NOTIFIED,N/A,No,"Influencer remediation tracking",CAMP-2026-012,Static image,No,No,No
SUPP-0043,@cleanwellness,Reels,2026-03-17,19:45:00,73829,31367,4.23,30272,1026,226,368,142,68,4208,"#ad buried as last hashtag",inadequate,post-content or absent,NON-COMPLIANT,"Science-backed probiotic formula (compliant general claim)",general_wellness,Yes,§255.5,51744,2026-03-20,Alex Rivera (Ext.),IN_REVIEW,REMOVE CLAIM,N/A,No,"Influencer remediation tracking",CAMP-2026-018,Live session,No,No,Yes
SUPP-0044,@holistic_health_hub,Snapchat,2026-02-24,20:30:00,94504,27861,1.02,26643,1888,421,477,244,711,3957,"#sponsored in middle",inadequate,post-content or absent,NON-COMPLIANT,"L. acidophilus NCFM for immune health (compliant - 2 human RCTs)",health_efficacy,Yes,§255.5,51744,2026-03-27,Alex Rivera (Ext.),OPEN,OBTAIN LEGAL REVIEW,N/A,No,"Post-CEO-retraction review round",CAMP-2026-017,Live session,No,No,No
SUPP-0045,@cleanwellness,LinkedIn,2026-03-19,21:45:00,103856,53394,0.94,47398,2497,745,791,341,656,6500,"No disclosure (first post)",inadequate,post-content or absent,NON-COMPLIANT,"Vitamin D3 supports immune function (compliant - RCT supported)",health_efficacy,Yes,§255.5,51744,2026-03-22,Alex Rivera (Ext.),OPEN,OBTAIN LEGAL REVIEW,N/A,No,"Casey Park pre-launch clearance",CAMP-2026-002,Carousel,No,No,No
SUPP-0046,@vitamindiary,Pinterest,2026-02-14,21:45:00,99324,11973,7.47,10073,172,68,177,77,234,304,"No disclosure (first post)",inadequate,post-content or absent,NON-COMPLIANT,"Helps strengthen immunity (PROHIBITED: 'helps')",general_wellness,No,§255.5,51744,2026-03-17,Alex Rivera (Ext.),IN_REVIEW,COMPLIANT - NO ACTION,N/A,No,"Post-CEO-retraction review round",CAMP-2026-013,Reel,No,No,No
SUPP-0047,@cleanwellness,YouTube,2026-03-13,12:30:00,98246,42850,0.94,45313,3125,1396,240,615,1394,4196,"Platform Paid Partnership only",inadequate,post-content or absent,NON-COMPLIANT,"may help immune function (PROHIBITED: 'may')",health_efficacy,No,§255.5,51744,2026-03-16,Jordan Ellis,IN_REVIEW,OBTAIN LEGAL REVIEW,N/A,No,"Sarah Chen escalation review",CAMP-2026-007,Long video (>60s),Yes,No,No
SUPP-0048,@guthealth_guru,YouTube,2026-02-12,08:15:00,107613,17152,6.39,17503,117,17,418,105,332,689,"#sponsored in middle",inadequate,post-content or absent,NON-COMPLIANT,"Gut health support tested in human trials (compliant)",general_wellness,Yes,§255.5,51744,2026-03-15,Sarah Chen,IN_REVIEW,COMPLIANT - NO ACTION,N/A,No,"Quarterly disclosure audit",CAMP-2026-006,Podcast mention,No,No,No
SUPP-0049,@guthealth_guru,Snapchat,2026-02-19,09:30:00,52360,19613,6.97,21435,1299,723,519,52,312,2867,"Paid collab sticker only",inadequate,post-content or absent,NON-COMPLIANT,"B. longum promotes digestive wellness (insufficient evidence - no human RCT)",health_efficacy,No,§255.5,51744,2026-03-22,Casey Park,PENDING,OBTAIN LEGAL REVIEW,N/A,No,"Casey Park pre-launch clearance",CAMP-2026-004,Carousel,No,No,No
SUPP-0050,@vitamindiary,Instagram Stories,2026-01-26,09:30:00,16478,4800,6.87,3637,149,49,48,24,104,537,"Disclosure in bio only",inadequate,post-content or absent,NON-COMPLIANT,"preliminary research suggests (PROHIBITED)",general_wellness,No,§255.5,51744,2026-02-28,Alex Rivera (Ext.),PENDING,INFLUENCER NOTIFIED,N/A,No,"Influencer remediation tracking",CAMP-2026-007,Short video (<60s),No,No,No
SUPP-0051,@holistic_health_hub,Twitter/X,2026-01-07,10:30:00,40138,21878,3.54,18214,1353,226,610,22,199,1141,"No disclosure",inadequate,post-content or absent,NON-COMPLIANT,"No health claim made (compliant)",general_wellness,Yes,§255.5,51744,2026-02-10,Jordan Ellis,PENDING,MONITORING,N/A,No,"Post-update-1 compliance sweep",CAMP-2026-001,Carousel,No,No,No
SUPP-0052,@guthealth_guru,Snapchat,2026-02-14,20:15:00,20051,9531,2.76,8544,586,215,72,136,259,1207,"#gifted in hashtags",inadequate,post-content or absent,NON-COMPLIANT,"promising results in gut health (PROHIBITED: 'promising')",general_wellness,No,§255.5,51744,2026-03-17,Alex Rivera (Ext.),OPEN,UPDATE DISCLOSURE,N/A,No,"Influencer remediation tracking",CAMP-2026-010,Carousel,No,No,No
SUPP-0053,@nourishednaturally,Twitter/X,2026-02-20,20:30:00,117464,17601,5.66,19228,1273,283,480,21,288,1321,"No disclosure",inadequate,post-content or absent,NON-COMPLIANT,"Science-backed probiotic formula (compliant general claim)",general_wellness,Yes,§255.5,51744,2026-03-23,Casey Park,PENDING,ESCALATE TO CCO,N/A,No,"Supplemental audit batch March 2026",CAMP-2026-011,Reel,No,No,No
SUPP-0054,@cleanwellness,Reels,2026-02-22,14:30:00,69719,13052,0.99,9824,499,70,224,42,139,463,"No disclosure (first post)",inadequate,post-content or absent,NON-COMPLIANT,"Gut health support tested in human trials (compliant)",general_wellness,Yes,§255.5,51744,2026-03-25,Casey Park,IN_REVIEW,OBTAIN LEGAL REVIEW,N/A,No,"Supplemental audit batch March 2026",CAMP-2026-005,Reel,No,No,No
SUPP-0055,@microbiome_maven,TikTok,2026-01-24,16:15:00,65626,10141,1.93,8393,516,223,252,95,24,1263,"Platform Paid Partnership only",inadequate,post-content or absent,NON-COMPLIANT,"Helps strengthen immunity (PROHIBITED: 'helps')",general_wellness,No,§255.5,51744,2026-02-27,Jordan Ellis,PENDING,CONTRACT UPDATED,N/A,No,"Quarterly disclosure audit",CAMP-2026-016,Static image,Yes,No,No
SUPP-0056,@guthealth_guru,YouTube,2026-01-06,12:45:00,86616,35806,0.94,27045,882,164,633,297,1415,1603,"Paid collab sticker only",inadequate,post-content or absent,NON-COMPLIANT,"No health claim made (compliant)",general_wellness,Yes,§255.5,51744,2026-02-09,Alex Rivera (Ext.),IN_REVIEW,REMOVE CLAIM,N/A,No,"Influencer remediation tracking",CAMP-2026-005,Reel,No,No,No
SUPP-0057,@digestive_digest,YouTube,2026-01-22,10:30:00,42444,16239,3.93,11458,243,106,481,239,97,1536,"#gifted in hashtags",inadequate,post-content or absent,NON-COMPLIANT,"Results Not Typical disclaimer applies (OBSOLETE safe harbor - abolished 2009)",general_wellness,No,§255.5,51744,2026-02-25,Alex Rivera (Ext.),OPEN,CONTRACT UPDATED,N/A,No,"Supplemental audit batch March 2026",CAMP-2026-012,Podcast mention,No,No,No
SUPP-0058,@holistic_health_hub,Reels,2026-02-06,10:15:00,16255,5354,4.78,4659,332,62,49,45,32,449,"Ad: at beginning",adequate,pre-content,COMPLIANT,"ProBio+ clinically studied for immunity (compliant phrasing)",general_wellness,Yes,None,0,2026-03-09,Casey Park,RESOLVED,NONE,2026-03-13,No,"Influencer remediation tracking",CAMP-2026-016,Carousel,No,No,Yes
SUPP-0059,@digestive_digest,TikTok,2026-03-04,08:15:00,47750,23696,7.15,16961,1821,1048,61,115,533,2173,"#ad buried as last hashtag",inadequate,post-content or absent,NON-COMPLIANT,"may help immune function (PROHIBITED: 'may')",health_efficacy,No,§255.5,51744,2026-03-07,Sarah Chen,PENDING,INFLUENCER NOTIFIED,N/A,No,"Casey Park pre-launch clearance",CAMP-2026-018,Reel,No,No,Yes
SUPP-0060,@probiotic_life,YouTube,2026-01-12,19:15:00,79077,18391,6.2,14430,437,91,41,207,541,2225,"Ad: at beginning",adequate,pre-content,COMPLIANT,"B. longum promotes digestive wellness (insufficient evidence - no human RCT)",health_efficacy,No,None,0,2026-02-15,Casey Park,RESOLVED,NONE,2026-02-19,No,"Post-CEO-retraction review round",CAMP-2026-006,Story,No,No,Yes
SUPP-0061,@vitalitycoach,YouTube,2026-01-06,20:15:00,109428,52712,4.39,39392,3280,1042,1157,500,430,5589,"AD text overlay (video)",inadequate,post-content or absent,NON-COMPLIANT,"Results Not Typical disclaimer applies (OBSOLETE safe harbor - abolished 2009)",general_wellness,No,§255.5,51744,2026-02-09,Alex Rivera (Ext.),PENDING,MONITORING,N/A,No,"Post-update-1 compliance sweep",CAMP-2026-003,Live session,No,No,No
SUPP-0062,@cleanwellness,Pinterest,2026-02-02,20:30:00,67041,7612,1.96,8194,117,22,103,49,30,855,"AD text overlay (video)",inadequate,post-content or absent,NON-COMPLIANT,"B. longum promotes digestive wellness (insufficient evidence - no human RCT)",health_efficacy,No,§255.5,51744,2026-03-05,Jordan Ellis,PENDING,UPDATE DISCLOSURE,N/A,No,"Quarterly disclosure audit",CAMP-2026-018,Static image,No,No,No
SUPP-0063,@immunity_insider,YouTube,2026-02-05,14:30:00,68441,34936,2.65,25749,2216,588,921,204,426,3231,"Disclosure at post end",inadequate,post-content or absent,NON-COMPLIANT,"ProBio+ clinically studied for immunity (compliant phrasing)",general_wellness,Yes,§255.5,51744,2026-03-08,Alex Rivera (Ext.),IN_REVIEW,INFLUENCER NOTIFIED,N/A,No,"Casey Park pre-launch clearance",CAMP-2026-012,Short video (<60s),No,No,No
