review_id,review_date,reviewer,document_reviewed,claim_id,claim_text_excerpt,claim_type,regulatory_section,ftc_citation,violation_detected,violation_category,severity,evidence_tier,rct_count,animal_studies,in_vitro_studies,prohibited_qualifier,proof_claim,disclosure_issue,recommended_action,action_taken,status,estimated_penalty_usd,review_notes
RV-0031,2026-05-30,Compliance Counsel LLC,press_release_draft_v2.md,CL-006,As seen on Dr. Wellness Network (undisclosed),endorsement_claim,§255.5,16 CFR §255.5,YES,undisclosed_material_connection,high,N/A,0,0,0,NO,NO,YES,Add Ad: disclosure at beginning of all posts,Flagged for revision,ESCALATED,51744.0,Review #31: undisclosed_material_connection flagged in press_release_draft_v2.md by Compliance Counsel LLC
RV-0032,2026-06-03,Sarah Chen (Counsel),ad_copy_social_media.md,CL-010,Results not typical disclaimer,disclaimer,§255.1,16 CFR §255.1,YES,invalid_safe_harbor,high,N/A,0,0,0,NO,NO,NO,Remove; safe harbor abolished 2009,Resolved,IN_REVIEW,51744.0,Review #32: invalid_safe_harbor flagged in ad_copy_social_media.md by Sarah Chen
RV-0033,2026-06-02,Compliance Counsel LLC,press_release_draft_v2.md,CL-010,Results not typical disclaimer,disclaimer,§255.1,16 CFR §255.1,YES,invalid_safe_harbor,high,N/A,0,0,0,NO,NO,NO,Remove; safe harbor abolished 2009,Under review,OPEN,51744.0,Review #33: invalid_safe_harbor flagged in press_release_draft_v2.md by Compliance Counsel LLC
RV-0034,2026-06-06,Dr. Rachel Kim (Science),press_release_draft_v1.md,CL-004,B-vitamins scientifically proven to support energy,health_claim,§255.1,16 CFR §255.1,YES,proof_claim,high,Established science,10,0,0,NO,YES,NO,Remove 'scientifically proven'; use 'well-established role',Under review,OPEN,51744.0,Review #34: proof_claim flagged in press_release_draft_v1.md by Dr. Rachel Kim
RV-0035,2026-06-09,Dr. Maria Santos (CCO),press_release_draft_v2.md,CL-011,Eco-Friendly Packaging,environmental_claim,§260.1,16 CFR §260.1,YES,unqualified_general_claim,medium,N/A,0,0,0,NO,NO,NO,Qualify with specific environmental benefit,Under review,ESCALATED,51744.0,Review #35: unqualified_general_claim flagged in press_release_draft_v2.md by Dr. Maria Santos
RV-0036,2026-05-20,Sarah Chen (Counsel),brand_guidelines.md,CL-004,B-vitamins scientifically proven to support energy,health_claim,§255.1,16 CFR §255.1,YES,proof_claim,high,Established science,10,0,0,NO,YES,NO,Remove 'scientifically proven'; use 'well-established role',Resolved,IN_REVIEW,51744.0,Review #36: proof_claim flagged in brand_guidelines.md by Sarah Chen
RV-0037,2026-05-25,Sarah Chen (Counsel),press_release_draft_v2.md,CL-005,Doctor-formulated for maximum results,endorsement_claim,§255.3,16 CFR §255.3,YES,undisclosed_material_connection,high,N/A,0,0,0,NO,NO,YES,Disclose physician connection; verify involvement,Referred to CCO,ESCALATED,51744.0,Review #37: undisclosed_material_connection flagged in press_release_draft_v2.md by Sarah Chen
RV-0038,2026-05-22,Dr. Rachel Kim (Science),product_label_draft.md,CL-003,Promising preliminary clinical results,health_claim,§255.1,16 CFR §255.1,YES,prohibited_qualifier,high,None (pilot only),0,0,0,YES,NO,NO,Remove entirely,Pending legal sign-off,IN_REVIEW,51744.0,Review #38: prohibited_qualifier flagged in product_label_draft.md by Dr. Rachel Kim
RV-0039,2026-05-28,Dr. Rachel Kim (Science),press_release_draft_v2.md,CL-007,Made in USA (Danish probiotic strains),origin_claim,§323.1,16 CFR §323.1,YES,false_origin_claim,high,N/A,0,0,0,NO,NO,NO,Replace with qualified Made in USA claim,Pending legal sign-off,ESCALATED,2000000.0,Review #39: false_origin_claim flagged in press_release_draft_v2.md by Dr. Rachel Kim
RV-0040,2026-05-25,Compliance Counsel LLC,brand_guidelines.md,CL-008,Biodegradable Capsule Shells (HDPE),environmental_claim,§260.8,16 CFR §260.8,YES,unsubstantiated_env_claim,high,Testing data,0,0,0,NO,NO,NO,Remove; HDPE fails one-year standard,Referred to CCO,OPEN,51744.0,Review #40: unsubstantiated_env_claim flagged in brand_guidelines.md by Compliance Counsel LLC
RV-0041,2026-06-05,Compliance Counsel LLC,press_release_draft_v1.md,CL-004,B-vitamins scientifically proven to support energy,health_claim,§255.1,16 CFR §255.1,YES,proof_claim,high,Established science,10,0,0,NO,YES,NO,Remove 'scientifically proven'; use 'well-established role',Under review,OPEN,51744.0,Review #41: proof_claim flagged in press_release_draft_v1.md by Compliance Counsel LLC
RV-0042,2026-05-22,Dr. Rachel Kim (Science),product_label_draft.md,CL-007,Made in USA (Danish probiotic strains),origin_claim,§323.1,16 CFR §323.1,YES,false_origin_claim,high,N/A,0,0,0,NO,NO,NO,Replace with qualified Made in USA claim,Resolved,IN_REVIEW,2000000.0,Review #42: false_origin_claim flagged in product_label_draft.md by Dr. Rachel Kim
RV-0043,2026-05-20,Compliance Counsel LLC,ad_copy_social_media.md,CL-006,As seen on Dr. Wellness Network (undisclosed),endorsement_claim,§255.5,16 CFR §255.5,YES,undisclosed_material_connection,high,N/A,0,0,0,NO,NO,YES,Add Ad: disclosure at beginning of all posts,Resolved,IN_REVIEW,51744.0,Review #43: undisclosed_material_connection flagged in ad_copy_social_media.md by Compliance Counsel LLC
RV-0044,2026-05-23,Compliance Counsel LLC,brand_guidelines.md,CL-010,Results not typical disclaimer,disclaimer,§255.1,16 CFR §255.1,YES,invalid_safe_harbor,high,N/A,0,0,0,NO,NO,NO,Remove; safe harbor abolished 2009,Under review,RESOLVED,51744.0,Review #44: invalid_safe_harbor flagged in brand_guidelines.md by Compliance Counsel LLC
RV-0045,2026-06-07,Compliance Counsel LLC,brand_guidelines.md,CL-003,Promising preliminary clinical results,health_claim,§255.1,16 CFR §255.1,YES,prohibited_qualifier,high,None (pilot only),0,0,0,YES,NO,NO,Remove entirely,Flagged for revision,RESOLVED,51744.0,Review #45: prohibited_qualifier flagged in brand_guidelines.md by Compliance Counsel LLC
RV-0046,2026-05-23,Dr. Rachel Kim (Science),ad_copy_social_media.md,CL-002,May help support immune function,health_claim,§255.1,16 CFR §255.1,YES,prohibited_qualifier,high,Partial RCT,3,0,0,YES,NO,NO,Remove 'may'; rewrite with evidence-based language,Flagged for revision,RESOLVED,51744.0,Review #46: prohibited_qualifier flagged in ad_copy_social_media.md by Dr. Rachel Kim
RV-0047,2026-05-25,Dr. Maria Santos (CCO),brand_guidelines.md,CL-006,As seen on Dr. Wellness Network (undisclosed),endorsement_claim,§255.5,16 CFR §255.5,YES,undisclosed_material_connection,high,N/A,0,0,0,NO,NO,YES,Add Ad: disclosure at beginning of all posts,Pending legal sign-off,OPEN,51744.0,Review #47: undisclosed_material_connection flagged in brand_guidelines.md by Dr. Maria Santos
RV-0048,2026-05-29,Compliance Counsel LLC,ad_copy_social_media.md,CL-005,Doctor-formulated for maximum results,endorsement_claim,§255.3,16 CFR §255.3,YES,undisclosed_material_connection,high,N/A,0,0,0,NO,NO,YES,Disclose physician connection; verify involvement,Pending legal sign-off,OPEN,51744.0,Review #48: undisclosed_material_connection flagged in ad_copy_social_media.md by Compliance Counsel LLC
RV-0049,2026-05-20,Dr. Rachel Kim (Science),product_label_draft.md,CL-007,Made in USA (Danish probiotic strains),origin_claim,§323.1,16 CFR §323.1,YES,false_origin_claim,high,N/A,0,0,0,NO,NO,NO,Replace with qualified Made in USA claim,Flagged for revision,OPEN,2000000.0,Review #49: false_origin_claim flagged in product_label_draft.md by Dr. Rachel Kim
RV-0050,2026-05-23,Sarah Chen (Counsel),press_release_draft_v1.md,CL-005,Doctor-formulated for maximum results,endorsement_claim,§255.3,16 CFR §255.3,YES,undisclosed_material_connection,high,N/A,0,0,0,NO,NO,YES,Disclose physician connection; verify involvement,Flagged for revision,OPEN,51744.0,Review #50: undisclosed_material_connection flagged in press_release_draft_v1.md by Sarah Chen
RV-0051,2026-06-06,Compliance Counsel LLC,product_label_draft.md,CL-008,Biodegradable Capsule Shells (HDPE),environmental_claim,§260.8,16 CFR §260.8,YES,unsubstantiated_env_claim,high,Testing data,0,0,0,NO,NO,NO,Remove; HDPE fails one-year standard,Resolved,OPEN,51744.0,Review #51: unsubstantiated_env_claim flagged in product_label_draft.md by Compliance Counsel LLC
RV-0052,2026-06-01,Compliance Counsel LLC,brand_guidelines.md,CL-004,B-vitamins scientifically proven to support energy,health_claim,§255.1,16 CFR §255.1,YES,proof_claim,high,Established science,10,0,0,NO,YES,NO,Remove 'scientifically proven'; use 'well-established role',Resolved,ESCALATED,51744.0,Review #52: proof_claim flagged in brand_guidelines.md by Compliance Counsel LLC
RV-0053,2026-06-02,Dr. Maria Santos (CCO),product_label_draft.md,CL-009,Recyclable Packaging,environmental_claim,§260.12,16 CFR §260.12,YES,unsubstantiated_env_claim,medium,Facility access data,0,0,0,NO,NO,NO,Qualify to specific recyclable components,Pending legal sign-off,ESCALATED,51744.0,Review #53: unsubstantiated_env_claim flagged in product_label_draft.md by Dr. Maria Santos
RV-0054,2026-05-29,Compliance Counsel LLC,press_release_draft_v1.md,CL-012,Initial studies show remarkable outcomes,health_claim,§255.1,16 CFR §255.1,YES,prohibited_qualifier,high,Pilot (n=45),0,0,0,YES,NO,NO,"Remove; pilot study insufficient, 'initial' prohibited qualifier",Referred to CCO,OPEN,51744.0,Review #54: prohibited_qualifier flagged in press_release_draft_v1.md by Compliance Counsel LLC
RV-0055,2026-05-29,Compliance Counsel LLC,product_label_draft.md,CL-012,Initial studies show remarkable outcomes,health_claim,§255.1,16 CFR §255.1,YES,prohibited_qualifier,high,Pilot (n=45),0,0,0,YES,NO,NO,"Remove; pilot study insufficient, 'initial' prohibited qualifier",Flagged for revision,RESOLVED,51744.0,Review #55: prohibited_qualifier flagged in product_label_draft.md by Compliance Counsel LLC
RV-0056,2026-06-02,Compliance Counsel LLC,brand_guidelines.md,CL-001,Clinically demonstrated to support immune function,health_claim,§255.1,16 CFR §255.1,YES,proof_claim,high,RCT (LGG only),3,0,0,NO,YES,NO,Remove or qualify with strain-specific language,Resolved,RESOLVED,51744.0,Review #56: proof_claim flagged in brand_guidelines.md by Compliance Counsel LLC
RV-0057,2026-05-26,Dr. Maria Santos (CCO),press_release_draft_v1.md,CL-003,Promising preliminary clinical results,health_claim,§255.1,16 CFR §255.1,YES,prohibited_qualifier,high,None (pilot only),0,0,0,YES,NO,NO,Remove entirely,Resolved,OPEN,51744.0,Review #57: prohibited_qualifier flagged in press_release_draft_v1.md by Dr. Maria Santos
RV-0058,2026-05-23,Dr. Maria Santos (CCO),ad_copy_social_media.md,CL-009,Recyclable Packaging,environmental_claim,§260.12,16 CFR §260.12,YES,unsubstantiated_env_claim,medium,Facility access data,0,0,0,NO,NO,NO,Qualify to specific recyclable components,Pending legal sign-off,RESOLVED,51744.0,Review #58: unsubstantiated_env_claim flagged in ad_copy_social_media.md by Dr. Maria Santos
RV-0059,2026-05-20,Dr. Rachel Kim (Science),brand_guidelines.md,CL-003,Promising preliminary clinical results,health_claim,§255.1,16 CFR §255.1,YES,prohibited_qualifier,high,None (pilot only),0,0,0,YES,NO,NO,Remove entirely,Pending legal sign-off,ESCALATED,51744.0,Review #59: prohibited_qualifier flagged in brand_guidelines.md by Dr. Rachel Kim
RV-0060,2026-06-01,Dr. Rachel Kim (Science),ad_copy_social_media.md,CL-007,Made in USA (Danish probiotic strains),origin_claim,§323.1,16 CFR §323.1,YES,false_origin_claim,high,N/A,0,0,0,NO,NO,NO,Replace with qualified Made in USA claim,Under review,IN_REVIEW,2000000.0,Review #60: false_origin_claim flagged in ad_copy_social_media.md by Dr. Rachel Kim
RV-0061,2026-05-25,Dr. Maria Santos (CCO),brand_guidelines.md,CL-011,Eco-Friendly Packaging,environmental_claim,§260.1,16 CFR §260.1,YES,unqualified_general_claim,medium,N/A,0,0,0,NO,NO,NO,Qualify with specific environmental benefit,Resolved,ESCALATED,51744.0,Review #61: unqualified_general_claim flagged in brand_guidelines.md by Dr. Maria Santos
RV-0062,2026-05-28,Sarah Chen (Counsel),ad_copy_social_media.md,CL-001,Clinically demonstrated to support immune function,health_claim,§255.1,16 CFR §255.1,YES,proof_claim,high,RCT (LGG only),3,0,0,NO,YES,NO,Remove or qualify with strain-specific language,Flagged for revision,RESOLVED,51744.0,Review #62: proof_claim flagged in ad_copy_social_media.md by Sarah Chen
RV-0063,2026-06-06,Dr. Rachel Kim (Science),press_release_draft_v2.md,CL-005,Doctor-formulated for maximum results,endorsement_claim,§255.3,16 CFR §255.3,YES,undisclosed_material_connection,high,N/A,0,0,0,NO,NO,YES,Disclose physician connection; verify involvement,Pending legal sign-off,IN_REVIEW,51744.0,Review #63: undisclosed_material_connection flagged in press_release_draft_v2.md by Dr. Rachel Kim
RV-0064,2026-06-09,Dr. Maria Santos (CCO),ad_copy_social_media.md,CL-009,Recyclable Packaging,environmental_claim,§260.12,16 CFR §260.12,YES,unsubstantiated_env_claim,medium,Facility access data,0,0,0,NO,NO,NO,Qualify to specific recyclable components,Flagged for revision,RESOLVED,51744.0,Review #64: unsubstantiated_env_claim flagged in ad_copy_social_media.md by Dr. Maria Santos
RV-0065,2026-05-30,Compliance Counsel LLC,press_release_draft_v1.md,CL-011,Eco-Friendly Packaging,environmental_claim,§260.1,16 CFR §260.1,YES,unqualified_general_claim,medium,N/A,0,0,0,NO,NO,NO,Qualify with specific environmental benefit,Flagged for revision,IN_REVIEW,51744.0,Review #65: unqualified_general_claim flagged in press_release_draft_v1.md by Compliance Counsel LLC
RV-0066,2026-06-04,Dr. Maria Santos (CCO),ad_copy_social_media.md,CL-011,Eco-Friendly Packaging,environmental_claim,§260.1,16 CFR §260.1,YES,unqualified_general_claim,medium,N/A,0,0,0,NO,NO,NO,Qualify with specific environmental benefit,Resolved,IN_REVIEW,51744.0,Review #66: unqualified_general_claim flagged in ad_copy_social_media.md by Dr. Maria Santos
RV-0067,2026-06-01,Compliance Counsel LLC,ad_copy_social_media.md,CL-009,Recyclable Packaging,environmental_claim,§260.12,16 CFR §260.12,YES,unsubstantiated_env_claim,medium,Facility access data,0,0,0,NO,NO,NO,Qualify to specific recyclable components,Pending legal sign-off,RESOLVED,51744.0,Review #67: unsubstantiated_env_claim flagged in ad_copy_social_media.md by Compliance Counsel LLC
RV-0068,2026-05-26,Compliance Counsel LLC,product_label_draft.md,CL-008,Biodegradable Capsule Shells (HDPE),environmental_claim,§260.8,16 CFR §260.8,YES,unsubstantiated_env_claim,high,Testing data,0,0,0,NO,NO,NO,Remove; HDPE fails one-year standard,Referred to CCO,ESCALATED,51744.0,Review #68: unsubstantiated_env_claim flagged in product_label_draft.md by Compliance Counsel LLC
RV-0069,2026-06-07,Compliance Counsel LLC,ad_copy_social_media.md,CL-003,Promising preliminary clinical results,health_claim,§255.1,16 CFR §255.1,YES,prohibited_qualifier,high,None (pilot only),0,0,0,YES,NO,NO,Remove entirely,Referred to CCO,IN_REVIEW,51744.0,Review #69: prohibited_qualifier flagged in ad_copy_social_media.md by Compliance Counsel LLC
RV-0070,2026-06-04,Dr. Maria Santos (CCO),product_label_draft.md,CL-009,Recyclable Packaging,environmental_claim,§260.12,16 CFR §260.12,YES,unsubstantiated_env_claim,medium,Facility access data,0,0,0,NO,NO,NO,Qualify to specific recyclable components,Referred to CCO,OPEN,51744.0,Review #70: unsubstantiated_env_claim flagged in product_label_draft.md by Dr. Maria Santos
RV-0071,2026-06-09,Sarah Chen (Counsel),press_release_draft_v1.md,CL-005,Doctor-formulated for maximum results,endorsement_claim,§255.3,16 CFR §255.3,YES,undisclosed_material_connection,high,N/A,0,0,0,NO,NO,YES,Disclose physician connection; verify involvement,Pending legal sign-off,RESOLVED,51744.0,Review #71: undisclosed_material_connection flagged in press_release_draft_v1.md by Sarah Chen
RV-0072,2026-05-24,Dr. Maria Santos (CCO),press_release_draft_v1.md,CL-009,Recyclable Packaging,environmental_claim,§260.12,16 CFR §260.12,YES,unsubstantiated_env_claim,medium,Facility access data,0,0,0,NO,NO,NO,Qualify to specific recyclable components,Under review,RESOLVED,51744.0,Review #72: unsubstantiated_env_claim flagged in press_release_draft_v1.md by Dr. Maria Santos
