hostname,ip,ssh_version,os,env,owner,is_vulnerable
host-p0036.internal.example.com,10.44.68.103,OpenSSH_8.6p1,RHEL 8,prod,data-infra,true
host-s0037.internal.example.com,10.29.84.158,OpenSSH_7.4p1,Ubuntu 20.04,staging,backend,false
host-d0038.internal.example.com,10.10.143.26,OpenSSH_8.3p1,Ubuntu 20.04,dev,database,false
host-p0039.internal.example.com,10.11.216.46,OpenSSH_9.4p1,RHEL 7,prod,frontend-infra,true
host-s0040.internal.example.com,10.48.75.91,OpenSSH_8.6p1,RHEL 9,staging,database,true
host-d0041.internal.example.com,10.8.43.22,OpenSSH_9.3p2,Ubuntu 22.04,dev,sre,true
host-d0042.internal.example.com,10.43.174.11,OpenSSH_7.4p1,Ubuntu 20.04,dev,ml-platform,false
host-s0043.internal.example.com,10.15.122.223,OpenSSH_8.4p1,Debian 12,staging,backend,false
host-s0044.internal.example.com,10.27.14.74,OpenSSH_8.6p1,RHEL 7,staging,api,true
host-d0045.internal.example.com,10.4.27.205,OpenSSH_9.4p1,Debian 12,dev,api,true
host-p0046.internal.example.com,10.4.59.227,OpenSSH_8.3p1,RHEL 8,prod,security,false
host-d0047.internal.example.com,10.23.87.89,OpenSSH_7.9p1,Debian 12,dev,ml-platform,false
host-d0048.internal.example.com,10.45.146.84,OpenSSH_9.0p1,Amazon Linux 2,dev,data-infra,true
host-s0049.internal.example.com,10.24.180.66,OpenSSH_9.8p1,RHEL 8,staging,security,false
host-d0050.internal.example.com,10.33.215.128,OpenSSH_8.7p1,Debian 12,dev,backend,true
host-s0051.internal.example.com,10.4.13.235,OpenSSH_9.4p1,Amazon Linux 2,staging,ml-platform,true
host-p0052.internal.example.com,10.31.84.211,OpenSSH_9.8p1,RHEL 8,prod,api,false
host-s0053.internal.example.com,10.25.145.238,OpenSSH_8.9p1,Debian 12,staging,backend,true
host-p0054.internal.example.com,10.5.232.92,OpenSSH_9.2p1,Ubuntu 20.04,prod,security,true
host-p0055.internal.example.com,10.31.25.205,OpenSSH_8.8p1,Ubuntu 22.04,prod,monitoring,true
host-d0056.internal.example.com,10.35.177.218,OpenSSH_8.4p1,Amazon Linux 2,dev,backend,false
host-p0057.internal.example.com,10.22.248.231,OpenSSH_8.6p1,Debian 12,prod,database,true
host-s0058.internal.example.com,10.47.60.236,OpenSSH_7.4p1,CentOS 7,staging,api,false
host-p0059.internal.example.com,10.49.66.36,OpenSSH_9.1p1,RHEL 7,prod,security,true
host-p0060.internal.example.com,10.21.231.228,OpenSSH_8.5p1,Ubuntu 20.04,prod,sre,true
host-p0061.internal.example.com,10.2.15.33,OpenSSH_8.4p1,Ubuntu 22.04,prod,backend,false
host-d0062.internal.example.com,10.21.133.153,OpenSSH_8.6p1,Debian 12,dev,devops,true
host-s0063.internal.example.com,10.8.194.47,OpenSSH_8.3p1,Ubuntu 22.04,staging,api,false
host-s0064.internal.example.com,10.20.245.199,OpenSSH_7.4p1,CentOS 7,staging,ml-platform,false
host-p0065.internal.example.com,10.16.142.98,OpenSSH_9.3p2,RHEL 8,prod,devops,true
host-s0066.internal.example.com,10.34.250.124,OpenSSH_7.4p1,CentOS 7,staging,security,false
host-p0067.internal.example.com,10.5.218.196,OpenSSH_9.6p1,Ubuntu 22.04,prod,devops,true
host-d0068.internal.example.com,10.27.49.1,OpenSSH_9.0p1,Debian 12,dev,security,true
host-p0069.internal.example.com,10.30.102.250,OpenSSH_9.1p1,Amazon Linux 2,prod,ml-platform,true
host-d0070.internal.example.com,10.31.114.141,OpenSSH_9.0p1,Ubuntu 22.04,dev,security,true
host-p0071.internal.example.com,10.29.52.74,OpenSSH_8.8p1,RHEL 9,prod,backend,true
host-p0072.internal.example.com,10.24.242.170,OpenSSH_9.8p1,Ubuntu 20.04,prod,data-infra,false
host-p0073.internal.example.com,10.4.59.17,OpenSSH_7.4p1,CentOS 7,prod,data-infra,false
host-p0074.internal.example.com,10.50.124.200,OpenSSH_9.6p1,Amazon Linux 2,prod,database,true
host-s0075.internal.example.com,10.38.94.59,OpenSSH_8.5p1,Ubuntu 20.04,staging,ml-platform,true
host-p0076.internal.example.com,10.48.138.153,OpenSSH_8.4p1,RHEL 8,prod,frontend-infra,false
host-p0077.internal.example.com,10.25.225.190,OpenSSH_7.4p1,CentOS 7,prod,api,false
host-s0078.internal.example.com,10.33.197.143,OpenSSH_9.2p1,CentOS 7,staging,sre,true
host-p0079.internal.example.com,10.10.187.190,OpenSSH_9.4p1,Amazon Linux 2,prod,sre,true
host-p0080.internal.example.com,10.42.161.196,OpenSSH_7.9p1,Debian 12,prod,monitoring,false
host-p0081.internal.example.com,10.7.17.21,OpenSSH_9.3p2,Ubuntu 22.04,prod,ml-platform,true
host-s0082.internal.example.com,10.2.17.97,OpenSSH_8.6p1,Ubuntu 20.04,staging,database,true
host-p0083.internal.example.com,10.22.64.170,OpenSSH_9.0p1,Amazon Linux 2,prod,data-infra,true
host-d0084.internal.example.com,10.28.21.249,OpenSSH_7.4p1,Ubuntu 22.04,dev,backend,false
host-d0085.internal.example.com,10.35.233.108,OpenSSH_8.7p1,Debian 12,dev,sre,true
host-s0086.internal.example.com,10.29.2.22,OpenSSH_8.4p1,RHEL 9,staging,database,false
host-s0087.internal.example.com,10.4.189.97,OpenSSH_7.9p1,CentOS 7,staging,security,false
host-d0088.internal.example.com,10.40.230.31,OpenSSH_9.6p1,RHEL 8,dev,api,true
host-d0089.internal.example.com,10.22.222.136,OpenSSH_9.7p1,CentOS 7,dev,security,true
host-p0090.internal.example.com,10.42.4.20,OpenSSH_9.7p1,RHEL 7,prod,ml-platform,true
host-p0091.internal.example.com,10.8.167.14,OpenSSH_8.4p1,RHEL 7,prod,frontend-infra,false
host-p0092.internal.example.com,10.22.106.148,OpenSSH_8.4p1,CentOS 7,prod,devops,false
host-p0093.internal.example.com,10.1.81.165,OpenSSH_8.7p1,Ubuntu 20.04,prod,devops,true
host-s0094.internal.example.com,10.16.228.218,OpenSSH_9.2p1,Debian 12,staging,data-infra,true
host-s0095.internal.example.com,10.22.229.118,OpenSSH_9.2p1,Ubuntu 20.04,staging,monitoring,true
host-p0096.internal.example.com,10.25.221.231,OpenSSH_8.5p1,CentOS 7,prod,backend,true
host-d0097.internal.example.com,10.48.163.145,OpenSSH_9.3p2,RHEL 9,dev,monitoring,true
host-d0098.internal.example.com,10.20.144.89,OpenSSH_8.7p1,Ubuntu 22.04,dev,monitoring,true
host-s0099.internal.example.com,10.7.181.11,OpenSSH_7.4p1,Debian 12,staging,monitoring,false
host-d0100.internal.example.com,10.7.81.137,OpenSSH_7.9p1,Ubuntu 22.04,dev,sre,false
host-s0101.internal.example.com,10.26.124.201,OpenSSH_9.6p1,Amazon Linux 2,staging,devops,true
host-p0102.internal.example.com,10.37.114.164,OpenSSH_9.3p2,Ubuntu 22.04,prod,monitoring,true
host-d0103.internal.example.com,10.27.165.30,OpenSSH_8.8p1,RHEL 9,dev,devops,true
host-p0104.internal.example.com,10.28.12.241,OpenSSH_7.9p1,Ubuntu 20.04,prod,data-infra,false
host-d0105.internal.example.com,10.24.249.37,OpenSSH_8.4p1,RHEL 8,dev,database,false
host-d0106.internal.example.com,10.4.71.226,OpenSSH_9.7p1,RHEL 7,dev,api,true
host-p0107.internal.example.com,10.23.183.246,OpenSSH_9.4p1,CentOS 7,prod,frontend-infra,true
host-p0108.internal.example.com,10.25.23.27,OpenSSH_7.9p1,RHEL 8,prod,ml-platform,false
host-s0109.internal.example.com,10.9.205.52,OpenSSH_7.4p1,RHEL 9,staging,database,false
host-p0110.internal.example.com,10.50.196.109,OpenSSH_9.1p1,Amazon Linux 2,prod,backend,true
host-s0111.internal.example.com,10.6.164.242,OpenSSH_8.4p1,RHEL 9,staging,frontend-infra,false
host-p0112.internal.example.com,10.32.133.102,OpenSSH_9.0p1,RHEL 7,prod,sre,true
host-d0113.internal.example.com,10.11.71.150,OpenSSH_9.1p1,RHEL 8,dev,data-infra,true
host-p0114.internal.example.com,10.19.216.184,OpenSSH_9.2p1,CentOS 7,prod,monitoring,true
host-p0115.internal.example.com,10.36.95.196,OpenSSH_9.3p2,RHEL 8,prod,monitoring,true
host-p0116.internal.example.com,10.38.218.61,OpenSSH_7.9p1,RHEL 8,prod,api,false
host-d0117.internal.example.com,10.46.66.247,OpenSSH_9.4p1,RHEL 7,dev,ml-platform,true
host-p0118.internal.example.com,10.50.205.249,OpenSSH_9.4p1,Ubuntu 20.04,prod,monitoring,true
host-p0119.internal.example.com,10.17.139.149,OpenSSH_8.3p1,CentOS 7,prod,ml-platform,false
host-d0120.internal.example.com,10.46.19.63,OpenSSH_8.5p1,Amazon Linux 2,dev,sre,true
host-p0121.internal.example.com,10.19.248.130,OpenSSH_7.9p1,RHEL 9,prod,ml-platform,false
host-p0122.internal.example.com,10.37.26.160,OpenSSH_9.0p1,RHEL 8,prod,database,true
host-d0123.internal.example.com,10.34.37.205,OpenSSH_9.5p1,RHEL 8,dev,monitoring,true
host-d0124.internal.example.com,10.10.220.21,OpenSSH_9.4p1,RHEL 7,dev,api,true
host-p0125.internal.example.com,10.20.106.187,OpenSSH_8.6p1,RHEL 8,prod,backend,true
host-d0126.internal.example.com,10.2.211.174,OpenSSH_9.7p1,RHEL 9,dev,api,true
host-d0127.internal.example.com,10.6.119.151,OpenSSH_9.1p1,RHEL 8,dev,database,true
host-p0128.internal.example.com,10.16.200.202,OpenSSH_9.3p2,Ubuntu 20.04,prod,security,true
host-p0129.internal.example.com,10.3.183.94,OpenSSH_9.5p1,CentOS 7,prod,api,true
host-p0130.internal.example.com,10.12.130.131,OpenSSH_8.5p1,CentOS 7,prod,database,true
host-d0131.internal.example.com,10.13.46.241,OpenSSH_8.6p1,RHEL 7,dev,frontend-infra,true
host-p0132.internal.example.com,10.5.21.66,OpenSSH_8.3p1,RHEL 7,prod,devops,false
host-d0133.internal.example.com,10.43.156.87,OpenSSH_9.5p1,Ubuntu 22.04,dev,api,true
host-s0134.internal.example.com,10.50.213.145,OpenSSH_7.9p1,CentOS 7,staging,monitoring,false
host-s0135.internal.example.com,10.29.236.212,OpenSSH_9.1p1,RHEL 8,staging,data-infra,true
host-s0136.internal.example.com,10.15.217.91,OpenSSH_8.9p1,RHEL 7,staging,data-infra,true
host-d0137.internal.example.com,10.35.156.166,OpenSSH_8.4p1,RHEL 9,dev,backend,false
host-d0138.internal.example.com,10.18.33.86,OpenSSH_9.2p1,Amazon Linux 2,dev,sre,true
host-p0139.internal.example.com,10.4.60.198,OpenSSH_8.6p1,Amazon Linux 2,prod,devops,true
host-s0140.internal.example.com,10.42.247.120,OpenSSH_9.2p1,RHEL 7,staging,ml-platform,true
host-s0141.internal.example.com,10.28.21.65,OpenSSH_7.4p1,Ubuntu 20.04,staging,monitoring,false
host-d0142.internal.example.com,10.5.90.150,OpenSSH_9.8p1,Amazon Linux 2,dev,sre,false
host-s0143.internal.example.com,10.10.196.210,OpenSSH_8.5p1,Amazon Linux 2,staging,security,true
host-s0144.internal.example.com,10.42.104.27,OpenSSH_9.3p2,Debian 12,staging,ml-platform,true
host-p0145.internal.example.com,10.40.147.9,OpenSSH_9.6p1,RHEL 9,prod,api,true
host-p0146.internal.example.com,10.17.137.79,OpenSSH_9.0p1,Ubuntu 22.04,prod,security,true
host-d0147.internal.example.com,10.32.247.44,OpenSSH_9.6p1,RHEL 9,dev,devops,true
host-s0148.internal.example.com,10.32.89.72,OpenSSH_9.4p1,Ubuntu 22.04,staging,database,true
host-d0149.internal.example.com,10.14.139.217,OpenSSH_9.0p1,RHEL 7,dev,sre,true
host-d0150.internal.example.com,10.5.75.251,OpenSSH_8.6p1,RHEL 9,dev,data-infra,true
host-p0151.internal.example.com,10.25.62.238,OpenSSH_7.4p1,Amazon Linux 2,prod,backend,false
host-d0152.internal.example.com,10.30.125.103,OpenSSH_8.8p1,CentOS 7,dev,security,true
host-s0153.internal.example.com,10.21.78.31,OpenSSH_9.7p1,Ubuntu 22.04,staging,devops,true
host-p0154.internal.example.com,10.35.165.79,OpenSSH_8.9p1,Amazon Linux 2,prod,api,true
host-s0155.internal.example.com,10.42.141.161,OpenSSH_7.4p1,CentOS 7,staging,security,false
host-p0156.internal.example.com,10.39.67.19,OpenSSH_9.4p1,Ubuntu 20.04,prod,api,true
host-p0157.internal.example.com,10.28.238.108,OpenSSH_9.2p1,RHEL 8,prod,data-infra,true
host-p0158.internal.example.com,10.30.186.125,OpenSSH_9.4p1,Ubuntu 20.04,prod,devops,true
host-p0159.internal.example.com,10.15.123.175,OpenSSH_7.4p1,Debian 12,prod,devops,false
host-p0160.internal.example.com,10.37.173.148,OpenSSH_9.4p1,CentOS 7,prod,monitoring,true
host-s0161.internal.example.com,10.3.20.133,OpenSSH_8.4p1,RHEL 7,staging,sre,false
host-s0162.internal.example.com,10.1.239.14,OpenSSH_7.4p1,Amazon Linux 2,staging,backend,false
host-p0163.internal.example.com,10.41.111.125,OpenSSH_8.4p1,Debian 12,prod,monitoring,false
host-s0164.internal.example.com,10.9.254.130,OpenSSH_7.4p1,RHEL 7,staging,database,false
host-p0165.internal.example.com,10.41.161.248,OpenSSH_8.3p1,CentOS 7,prod,ml-platform,false
host-s0166.internal.example.com,10.6.95.91,OpenSSH_8.5p1,RHEL 8,staging,security,true
host-p0167.internal.example.com,10.35.204.237,OpenSSH_8.7p1,Amazon Linux 2,prod,monitoring,true
host-p0168.internal.example.com,10.34.74.104,OpenSSH_9.8p1,Amazon Linux 2,prod,monitoring,false
host-d0169.internal.example.com,10.45.202.235,OpenSSH_9.3p2,CentOS 7,dev,database,true
host-p0170.internal.example.com,10.48.5.162,OpenSSH_9.7p1,Ubuntu 22.04,prod,sre,true
host-d0171.internal.example.com,10.38.13.115,OpenSSH_8.9p1,Amazon Linux 2,dev,database,true
host-s0172.internal.example.com,10.17.236.108,OpenSSH_8.6p1,Debian 12,staging,sre,true
host-p0173.internal.example.com,10.34.142.183,OpenSSH_9.3p2,Amazon Linux 2,prod,database,true
host-p0174.internal.example.com,10.39.6.105,OpenSSH_9.2p1,RHEL 7,prod,sre,true
host-s0175.internal.example.com,10.13.94.112,OpenSSH_8.5p1,Amazon Linux 2,staging,frontend-infra,true
host-s0176.internal.example.com,10.39.9.212,OpenSSH_8.7p1,Amazon Linux 2,staging,sre,true
host-p0177.internal.example.com,10.9.91.90,OpenSSH_8.7p1,RHEL 8,prod,security,true
host-p0178.internal.example.com,10.3.192.147,OpenSSH_7.9p1,Ubuntu 22.04,prod,ml-platform,false
host-d0179.internal.example.com,10.18.47.128,OpenSSH_7.4p1,Amazon Linux 2,dev,devops,false
host-s0180.internal.example.com,10.34.89.121,OpenSSH_9.1p1,Ubuntu 22.04,staging,ml-platform,true
host-s0181.internal.example.com,10.16.125.219,OpenSSH_7.9p1,RHEL 7,staging,devops,false
host-p0182.internal.example.com,10.7.124.241,OpenSSH_8.5p1,RHEL 8,prod,data-infra,true
host-s0183.internal.example.com,10.45.12.47,OpenSSH_9.7p1,Ubuntu 20.04,staging,ml-platform,true
host-p0184.internal.example.com,10.44.78.142,OpenSSH_9.1p1,Ubuntu 20.04,prod,database,true
host-p0185.internal.example.com,10.32.2.172,OpenSSH_8.6p1,Ubuntu 22.04,prod,backend,true
host-d0186.internal.example.com,10.34.226.99,OpenSSH_9.1p1,RHEL 7,dev,sre,true
host-s0187.internal.example.com,10.5.253.59,OpenSSH_9.6p1,Debian 12,staging,ml-platform,true
host-p0188.internal.example.com,10.43.208.184,OpenSSH_7.4p1,Ubuntu 20.04,prod,api,false
host-p0189.internal.example.com,10.23.221.93,OpenSSH_9.1p1,RHEL 8,prod,sre,true
host-s0190.internal.example.com,10.30.168.159,OpenSSH_7.9p1,RHEL 9,staging,database,false
host-p0191.internal.example.com,10.5.175.54,OpenSSH_9.0p1,RHEL 9,prod,devops,true
host-d0192.internal.example.com,10.47.199.78,OpenSSH_9.6p1,Debian 12,dev,backend,true
host-s0193.internal.example.com,10.8.7.206,OpenSSH_9.2p1,RHEL 7,staging,backend,true
host-d0194.internal.example.com,10.15.243.192,OpenSSH_9.8p1,Ubuntu 22.04,dev,frontend-infra,false
host-d0195.internal.example.com,10.3.41.221,OpenSSH_7.9p1,Amazon Linux 2,dev,ml-platform,false
host-d0196.internal.example.com,10.11.111.37,OpenSSH_9.4p1,CentOS 7,dev,sre,true
host-p0197.internal.example.com,10.36.6.99,OpenSSH_8.5p1,RHEL 9,prod,backend,true
host-p0198.internal.example.com,10.23.192.16,OpenSSH_8.9p1,RHEL 9,prod,backend,true
host-d0199.internal.example.com,10.43.151.38,OpenSSH_8.9p1,Debian 12,dev,backend,true
host-s0200.internal.example.com,10.32.8.139,OpenSSH_8.9p1,RHEL 9,staging,data-infra,true
host-p0201.internal.example.com,10.7.106.96,OpenSSH_9.3p2,RHEL 8,prod,devops,true
host-d0202.internal.example.com,10.27.236.82,OpenSSH_8.8p1,Ubuntu 22.04,dev,security,true
host-p0203.internal.example.com,10.2.136.5,OpenSSH_9.3p2,Ubuntu 22.04,prod,sre,true
host-s0204.internal.example.com,10.48.131.212,OpenSSH_9.4p1,Ubuntu 22.04,staging,database,true
host-d0205.internal.example.com,10.31.246.117,OpenSSH_8.4p1,RHEL 8,dev,database,false
host-d0206.internal.example.com,10.45.158.31,OpenSSH_8.5p1,RHEL 7,dev,ml-platform,true
host-d0207.internal.example.com,10.3.90.186,OpenSSH_9.7p1,RHEL 8,dev,monitoring,true
host-s0208.internal.example.com,10.4.11.107,OpenSSH_9.0p1,Ubuntu 22.04,staging,data-infra,true
host-d0209.internal.example.com,10.20.210.189,OpenSSH_8.8p1,Ubuntu 22.04,dev,ml-platform,true
host-d0210.internal.example.com,10.17.128.30,OpenSSH_9.2p1,Ubuntu 22.04,dev,database,true
host-s0211.internal.example.com,10.14.243.50,OpenSSH_9.2p1,Ubuntu 22.04,staging,database,true
host-s0212.internal.example.com,10.10.53.80,OpenSSH_9.5p1,RHEL 8,staging,backend,true
host-d0213.internal.example.com,10.31.219.212,OpenSSH_8.4p1,CentOS 7,dev,ml-platform,false
host-p0214.internal.example.com,10.4.212.198,OpenSSH_8.7p1,Amazon Linux 2,prod,devops,true
host-d0215.internal.example.com,10.47.157.189,OpenSSH_8.9p1,CentOS 7,dev,database,true
host-d0216.internal.example.com,10.15.116.177,OpenSSH_9.0p1,Amazon Linux 2,dev,data-infra,true
host-p0217.internal.example.com,10.38.192.174,OpenSSH_9.2p1,RHEL 9,prod,data-infra,true
host-p0218.internal.example.com,10.50.244.254,OpenSSH_9.5p1,RHEL 9,prod,security,true
host-s0219.internal.example.com,10.48.111.43,OpenSSH_8.4p1,RHEL 7,staging,api,false
host-p0220.internal.example.com,10.9.4.183,OpenSSH_9.2p1,Ubuntu 20.04,prod,monitoring,true
host-p0221.internal.example.com,10.32.143.204,OpenSSH_9.5p1,RHEL 9,prod,monitoring,true
host-p0222.internal.example.com,10.45.211.57,OpenSSH_9.6p1,Ubuntu 20.04,prod,backend,true
host-s0223.internal.example.com,10.49.5.232,OpenSSH_9.1p1,CentOS 7,staging,devops,true
host-d0224.internal.example.com,10.47.36.161,OpenSSH_8.3p1,Amazon Linux 2,dev,security,false
host-p0225.internal.example.com,10.47.205.178,OpenSSH_8.6p1,RHEL 7,prod,data-infra,true
host-s0226.internal.example.com,10.29.68.122,OpenSSH_9.0p1,Ubuntu 20.04,staging,security,true
host-s0227.internal.example.com,10.14.145.46,OpenSSH_9.6p1,Debian 12,staging,devops,true
host-s0228.internal.example.com,10.11.15.95,OpenSSH_7.4p1,Ubuntu 20.04,staging,data-infra,false
host-p0229.internal.example.com,10.9.76.213,OpenSSH_8.8p1,CentOS 7,prod,database,true
host-d0230.internal.example.com,10.36.117.109,OpenSSH_7.4p1,RHEL 9,dev,ml-platform,false
host-s0231.internal.example.com,10.42.202.202,OpenSSH_8.8p1,Debian 12,staging,security,true
host-p0232.internal.example.com,10.18.169.218,OpenSSH_9.7p1,RHEL 7,prod,database,true
host-d0233.internal.example.com,10.12.34.228,OpenSSH_9.0p1,Amazon Linux 2,dev,backend,true
host-d0234.internal.example.com,10.7.52.2,OpenSSH_8.4p1,Amazon Linux 2,dev,security,false
host-s0235.internal.example.com,10.24.135.147,OpenSSH_8.6p1,CentOS 7,staging,database,true
host-p0236.internal.example.com,10.19.242.22,OpenSSH_8.7p1,Ubuntu 20.04,prod,devops,true
host-p0237.internal.example.com,10.9.7.167,OpenSSH_9.1p1,CentOS 7,prod,backend,true
host-p0238.internal.example.com,10.10.112.21,OpenSSH_8.3p1,Amazon Linux 2,prod,ml-platform,false
host-p0239.internal.example.com,10.42.129.56,OpenSSH_8.8p1,Ubuntu 20.04,prod,monitoring,true
host-p0240.internal.example.com,10.36.221.79,OpenSSH_9.5p1,RHEL 8,prod,monitoring,true
host-d0241.internal.example.com,10.22.159.241,OpenSSH_9.6p1,Ubuntu 22.04,dev,backend,true
host-p0242.internal.example.com,10.6.242.98,OpenSSH_9.4p1,Ubuntu 22.04,prod,sre,true
host-d0243.internal.example.com,10.45.65.248,OpenSSH_9.8p1,Amazon Linux 2,dev,frontend-infra,false
host-p0244.internal.example.com,10.46.245.172,OpenSSH_8.5p1,RHEL 9,prod,api,true
host-d0245.internal.example.com,10.19.253.253,OpenSSH_9.4p1,Debian 12,dev,monitoring,true
host-p0246.internal.example.com,10.23.30.88,OpenSSH_9.1p1,CentOS 7,prod,backend,true
host-s0247.internal.example.com,10.10.125.57,OpenSSH_7.9p1,Ubuntu 20.04,staging,monitoring,false
host-p0248.internal.example.com,10.28.29.200,OpenSSH_7.9p1,Debian 12,prod,monitoring,false
host-d0249.internal.example.com,10.36.90.184,OpenSSH_9.8p1,RHEL 8,dev,backend,false
host-p0250.internal.example.com,10.43.104.252,OpenSSH_8.7p1,RHEL 8,prod,frontend-infra,true
host-p0251.internal.example.com,10.13.160.229,OpenSSH_8.4p1,RHEL 7,prod,data-infra,false
host-d0252.internal.example.com,10.27.185.130,OpenSSH_8.4p1,Ubuntu 20.04,dev,api,false
host-d0253.internal.example.com,10.27.176.127,OpenSSH_7.9p1,CentOS 7,dev,security,false
host-s0254.internal.example.com,10.44.159.127,OpenSSH_9.6p1,Ubuntu 20.04,staging,sre,true
host-s0255.internal.example.com,10.21.48.55,OpenSSH_9.4p1,RHEL 8,staging,security,true
host-s0256.internal.example.com,10.19.245.146,OpenSSH_9.1p1,CentOS 7,staging,backend,true
host-p0257.internal.example.com,10.4.226.183,OpenSSH_8.5p1,RHEL 9,prod,monitoring,true
host-s0258.internal.example.com,10.21.210.86,OpenSSH_9.1p1,CentOS 7,staging,ml-platform,true
host-p0259.internal.example.com,10.49.185.212,OpenSSH_7.4p1,Debian 12,prod,api,false
host-d0260.internal.example.com,10.30.18.197,OpenSSH_8.3p1,RHEL 9,dev,monitoring,false
host-d0261.internal.example.com,10.1.146.249,OpenSSH_8.4p1,Debian 12,dev,frontend-infra,false
host-d0262.internal.example.com,10.27.204.104,OpenSSH_8.9p1,Ubuntu 22.04,dev,data-infra,true
host-s0263.internal.example.com,10.43.247.14,OpenSSH_9.7p1,Debian 12,staging,devops,true
host-p0264.internal.example.com,10.23.118.1,OpenSSH_8.6p1,Amazon Linux 2,prod,backend,true
host-p0265.internal.example.com,10.23.154.138,OpenSSH_9.7p1,Amazon Linux 2,prod,security,true
host-s0266.internal.example.com,10.47.19.126,OpenSSH_9.2p1,RHEL 9,staging,sre,true
host-s0267.internal.example.com,10.33.23.22,OpenSSH_9.7p1,RHEL 9,staging,sre,true
host-p0268.internal.example.com,10.26.166.33,OpenSSH_8.9p1,Debian 12,prod,monitoring,true
host-p0269.internal.example.com,10.38.160.217,OpenSSH_9.1p1,RHEL 9,prod,api,true
host-s0270.internal.example.com,10.13.184.186,OpenSSH_9.2p1,Ubuntu 22.04,staging,devops,true
host-d0271.internal.example.com,10.21.11.130,OpenSSH_9.0p1,Ubuntu 20.04,dev,devops,true
host-d0272.internal.example.com,10.6.166.100,OpenSSH_9.3p2,Amazon Linux 2,dev,devops,true
host-p0273.internal.example.com,10.12.104.118,OpenSSH_9.5p1,Debian 12,prod,devops,true
