assessment_id,facility_id,facility_type,state,device_serial,software_version,battery_health_pct,battery_cycles,last_service_date,assessment_date,risk_category,action_required,update_completed,battery_replaced,post_update_version,notes
ASMNT-00001,FAC-CO-205,Home-Health,CO,IVX-294293,5.10.0,92.3,57,2024-12-03,2025-12-04,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 92.3%; 57 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00040,FAC-NE-608,Outpatient-Infusion,NE,IVX-402880,5.10.0,88.2,58,2024-01-26,2025-12-04,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 88.2%; 58 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00041,FAC-IL-152,Home-Health,IL,IVX-620239,5.10.0,82.2,296,2023-07-08,2025-12-02,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 82.2%; 296 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00042,FAC-NJ-609,Hospital-Community,NJ,IVX-578655,5.9.3,70.4,255,2024-05-14,2025-12-01,MEDIUM,UPDATE_SOFTWARE_PRIORITY,YES,NO,5.10.2,Battery health 70.4%; 255 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00043,FAC-SC-149,Hospital-Academic,SC,IVX-846275,5.9.3,78.4,69,2025-02-19,2025-11-12,MEDIUM,UPDATE_SOFTWARE_PRIORITY,NO,NO,PENDING,Battery health 78.4%; 69 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00044,FAC-SC-669,Home-Health,SC,IVX-393871,5.10.0,63.9,98,2025-11-05,2025-12-27,HIGH,REPLACE_BATTERY_THEN_UPDATE,NO,NO,PENDING,Battery health 63.9%; 98 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00045,FAC-OR-918,Long-Term-Care,OR,IVX-404260,5.10.1,97.5,314,2024-07-01,2025-12-05,LOW,UPDATE_SOFTWARE_ROUTINE,NO,NO,PENDING,Battery health 97.5%; 314 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00046,FAC-OK-971,Outpatient-Infusion,OK,IVX-573962,5.10.1,56.5,177,2023-06-12,2025-12-21,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 56.5%; 177 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00047,FAC-WA-379,Home-Health,WA,IVX-949288,5.10.1,89.8,177,2025-06-16,2025-11-12,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 89.8%; 177 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00048,FAC-GA-164,Home-Health,GA,IVX-558336,5.10.1,87.4,68,2023-09-08,2025-12-18,LOW,UPDATE_SOFTWARE_ROUTINE,NO,NO,PENDING,Battery health 87.4%; 68 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00049,FAC-NJ-579,Hospital-Academic,NJ,IVX-967379,5.9.2,87.2,319,2025-12-18,2025-11-18,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 87.2%; 319 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00050,FAC-CA-429,Long-Term-Care,CA,IVX-887598,5.10.1,50.8,312,2024-09-08,2025-12-01,HIGH,REPLACE_BATTERY_THEN_UPDATE,NO,NO,PENDING,Battery health 50.8%; 312 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00051,FAC-NV-378,Hospital-Academic,NV,IVX-527825,5.10.0,74.1,303,2025-06-11,2025-11-28,MEDIUM,UPDATE_SOFTWARE_PRIORITY,YES,NO,5.10.2,Battery health 74.1%; 303 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00052,FAC-MI-237,Long-Term-Care,MI,IVX-490580,5.10.0,62.3,151,2025-09-12,2025-11-01,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 62.3%; 151 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00053,FAC-WI-293,Long-Term-Care,WI,IVX-178573,5.10.1,85.4,13,2024-01-04,2025-12-05,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 85.4%; 13 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00054,FAC-SC-764,Home-Health,SC,IVX-909545,5.10.0,84.8,56,2024-10-27,2025-11-20,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 84.8%; 56 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00055,FAC-MN-748,Hospital-Academic,MN,IVX-291401,5.10.0,90.9,75,2025-03-10,2025-11-21,LOW,UPDATE_SOFTWARE_ROUTINE,NO,NO,PENDING,Battery health 90.9%; 75 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00056,FAC-WI-812,Long-Term-Care,WI,IVX-912196,5.10.1,87.3,75,2023-02-03,2025-11-10,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 87.3%; 75 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00057,FAC-NV-526,Outpatient-Infusion,NV,IVX-124162,5.10.0,98.8,281,2023-03-03,2025-11-12,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 98.8%; 281 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00058,FAC-ID-433,Long-Term-Care,ID,IVX-527664,5.9.3,53.1,186,2024-12-20,2025-11-04,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 53.1%; 186 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00059,FAC-MI-851,Hospital-Academic,MI,IVX-854094,5.10.0,83.1,266,2023-05-25,2025-12-10,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 83.1%; 266 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00060,FAC-TX-404,Hospital-Academic,TX,IVX-889928,5.10.0,71.5,64,2024-08-05,2025-11-19,MEDIUM,UPDATE_SOFTWARE_PRIORITY,YES,NO,5.10.2,Battery health 71.5%; 64 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00061,FAC-ID-417,Outpatient-Infusion,ID,IVX-536587,5.9.2,92.8,10,2025-10-26,2025-11-03,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 92.8%; 10 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00062,FAC-SC-695,Outpatient-Infusion,SC,IVX-673959,5.10.1,91.2,53,2025-02-13,2025-12-19,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 91.2%; 53 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00063,FAC-VA-961,Hospital-Academic,VA,IVX-700786,5.10.1,49.2,225,2024-02-18,2025-12-17,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 49.2%; 225 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00064,FAC-OR-402,Hospital-Community,OR,IVX-931283,5.10.1,60.8,121,2023-04-04,2025-11-23,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 60.8%; 121 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00065,FAC-NJ-760,Hospital-Academic,NJ,IVX-919800,5.10.1,88.2,153,2025-08-26,2025-11-14,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 88.2%; 153 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00066,FAC-MS-331,Long-Term-Care,MS,IVX-705028,5.10.0,65.4,135,2023-12-07,2025-12-11,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 65.4%; 135 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00067,FAC-MN-990,Outpatient-Infusion,MN,IVX-465282,5.10.0,88.2,42,2023-06-28,2025-12-04,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 88.2%; 42 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00068,FAC-CA-270,Hospital-Academic,CA,IVX-386127,5.10.0,77.4,238,2023-05-28,2025-12-23,MEDIUM,UPDATE_SOFTWARE_PRIORITY,YES,NO,5.10.2,Battery health 77.4%; 238 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00069,FAC-VA-254,Hospital-Community,VA,IVX-498524,5.10.2,48.1,249,2024-09-25,2025-12-05,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 48.1%; 249 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00070,FAC-NE-832,Hospital-Academic,NE,IVX-762022,5.10.1,48.7,108,2023-05-23,2025-12-22,HIGH,REPLACE_BATTERY_THEN_UPDATE,NO,NO,PENDING,Battery health 48.7%; 108 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00071,FAC-FL-283,Outpatient-Infusion,FL,IVX-647951,5.10.1,64.7,150,2023-03-22,2025-11-07,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 64.7%; 150 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00072,FAC-MI-794,Hospital-Academic,MI,IVX-871368,5.10.0,96.0,59,2023-12-13,2025-12-16,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 96.0%; 59 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00073,FAC-MI-199,Hospital-Academic,MI,IVX-876073,5.9.3,62.6,311,2025-06-25,2025-11-04,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 62.6%; 311 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00074,FAC-CA-654,Home-Health,CA,IVX-383416,5.9.3,98.5,314,2024-09-20,2025-11-09,LOW,UPDATE_SOFTWARE_ROUTINE,NO,NO,PENDING,Battery health 98.5%; 314 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00075,FAC-MD-444,Hospital-Academic,MD,IVX-845003,5.10.1,79.8,151,2023-05-10,2025-11-13,MEDIUM,UPDATE_SOFTWARE_PRIORITY,NO,NO,PENDING,Battery health 79.8%; 151 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00076,FAC-VA-991,Long-Term-Care,VA,IVX-608117,5.10.0,52.5,19,2024-06-24,2025-11-23,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 52.5%; 19 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00077,FAC-MN-264,Long-Term-Care,MN,IVX-220213,5.9.3,91.4,162,2024-04-20,2025-11-08,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 91.4%; 162 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00078,FAC-VA-665,Outpatient-Infusion,VA,IVX-512559,5.10.0,79.4,200,2024-02-26,2025-11-21,MEDIUM,UPDATE_SOFTWARE_PRIORITY,YES,NO,5.10.2,Battery health 79.4%; 200 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00079,FAC-WA-811,Hospital-Academic,WA,IVX-332444,5.10.1,86.4,108,2023-02-04,2025-12-19,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 86.4%; 108 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00080,FAC-VA-451,Hospital-Academic,VA,IVX-333630,5.9.3,56.2,115,2025-06-08,2025-11-22,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 56.2%; 115 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00081,FAC-ID-149,Hospital-Academic,ID,IVX-168970,5.10.1,76.1,32,2025-12-23,2025-11-01,MEDIUM,UPDATE_SOFTWARE_PRIORITY,YES,NO,5.10.2,Battery health 76.1%; 32 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00082,FAC-OR-368,Hospital-Academic,OR,IVX-529327,5.10.1,71.7,44,2024-10-20,2025-11-26,MEDIUM,UPDATE_SOFTWARE_PRIORITY,YES,NO,5.10.2,Battery health 71.7%; 44 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00083,FAC-OK-504,Hospital-Community,OK,IVX-685956,5.10.0,63.1,182,2023-12-25,2025-12-11,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 63.1%; 182 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00084,FAC-MD-403,Outpatient-Infusion,MD,IVX-300224,5.10.2,46.2,248,2024-02-19,2025-11-28,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 46.2%; 248 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00085,FAC-FL-198,Hospital-Academic,FL,IVX-586648,5.10.1,93.0,305,2025-04-18,2025-12-06,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 93.0%; 305 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00086,FAC-GA-631,Hospital-Community,GA,IVX-374119,5.10.1,87.6,309,2024-05-16,2025-11-07,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 87.6%; 309 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00087,FAC-FL-278,Hospital-Community,FL,IVX-985672,5.10.0,97.0,286,2024-05-21,2025-11-01,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 97.0%; 286 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00088,FAC-VA-658,Home-Health,VA,IVX-647163,5.10.0,47.2,87,2025-06-06,2025-11-07,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 47.2%; 87 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00089,FAC-VA-595,Long-Term-Care,VA,IVX-819983,5.10.0,63.7,87,2025-08-22,2025-12-15,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 63.7%; 87 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00090,FAC-MN-764,Outpatient-Infusion,MN,IVX-858862,5.9.3,82.6,293,2023-07-01,2025-12-18,LOW,UPDATE_SOFTWARE_ROUTINE,NO,NO,PENDING,Battery health 82.6%; 293 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00091,FAC-TX-560,Home-Health,TX,IVX-783446,5.10.0,76.3,116,2024-06-06,2025-11-12,MEDIUM,UPDATE_SOFTWARE_PRIORITY,YES,NO,5.10.2,Battery health 76.3%; 116 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00092,FAC-VA-312,Hospital-Community,VA,IVX-374776,5.10.0,76.7,19,2025-11-26,2025-11-27,MEDIUM,UPDATE_SOFTWARE_PRIORITY,NO,NO,PENDING,Battery health 76.7%; 19 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00093,FAC-MN-372,Hospital-Academic,MN,IVX-834131,5.10.0,57.3,289,2025-08-25,2025-12-26,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 57.3%; 289 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00094,FAC-MS-914,Outpatient-Infusion,MS,IVX-360416,5.10.1,72.3,182,2024-11-19,2025-12-06,MEDIUM,UPDATE_SOFTWARE_PRIORITY,NO,NO,PENDING,Battery health 72.3%; 182 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00095,FAC-TX-802,Hospital-Community,TX,IVX-529625,5.9.3,92.6,57,2025-12-07,2025-11-28,LOW,UPDATE_SOFTWARE_ROUTINE,YES,NO,5.10.2,Battery health 92.6%; 57 cycles; Recall Z-0885-2026; Product LVP-SW-0005
ASMNT-00096,FAC-NE-760,Long-Term-Care,NE,IVX-816701,5.10.2,50.8,139,2023-12-17,2025-11-24,HIGH,REPLACE_BATTERY_THEN_UPDATE,YES,YES,5.10.2,Battery health 50.8%; 139 cycles; Recall Z-0885-2026; Product LVP-SW-0005
