order_id,symbol,side,quantity,aros_trigger_utc,aros_trigger_utc_wrong,expected_settlement_utc,actual_settlement_utc,delta_minutes,settlement_status
AROS-020241103061,YM,SELL,26,2024-11-03T16:11:00Z,2024-11-03T15:11:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,LATE
AROS-020241103062,YM,SELL,20,2024-11-03T17:21:00Z,2024-11-03T16:21:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,FAIL
AROS-020241103063,RTY,BUY,36,2024-11-03T15:36:00Z,2024-11-03T14:36:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,PENDING
AROS-020241103064,ES,BUY,15,2024-11-03T15:24:00Z,2024-11-03T14:24:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,FAIL
AROS-020241103065,NQ,BUY,36,2024-11-03T17:19:00Z,2024-11-03T16:19:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,FAIL
AROS-020241103066,YM,BUY,44,2024-11-03T17:51:00Z,2024-11-03T16:51:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,LATE
AROS-020241103067,ES,BUY,38,2024-11-03T20:38:00Z,2024-11-03T19:38:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,FAIL
AROS-020241103068,ES,SELL,21,2024-11-03T15:38:00Z,2024-11-03T14:38:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,LATE
AROS-020241103069,NQ,SELL,30,2024-11-03T16:47:00Z,2024-11-03T15:47:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,LATE
AROS-020241103070,YM,BUY,18,2024-11-03T16:29:00Z,2024-11-03T15:29:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,LATE
AROS-020241103071,YM,BUY,41,2024-11-03T21:06:00Z,2024-11-03T20:06:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,LATE
AROS-020241103072,RTY,BUY,8,2024-11-03T18:52:00Z,2024-11-03T17:52:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,LATE
AROS-020241103073,NQ,SELL,18,2024-11-03T20:18:00Z,2024-11-03T19:18:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,FAIL
AROS-020241103074,ES,BUY,16,2024-11-03T18:31:00Z,2024-11-03T17:31:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,FAIL
AROS-020241103075,RTY,BUY,12,2024-11-03T18:13:00Z,2024-11-03T17:13:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,FAIL
AROS-020241103076,YM,BUY,10,2024-11-03T18:40:00Z,2024-11-03T17:40:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,PENDING
AROS-020241103077,YM,SELL,6,2024-11-03T15:58:00Z,2024-11-03T14:58:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,LATE
AROS-020241103078,ES,SELL,35,2024-11-03T17:49:00Z,2024-11-03T16:49:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,FAIL
AROS-020241103079,ES,BUY,11,2024-11-03T16:38:00Z,2024-11-03T15:38:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,PENDING
AROS-020241103080,RTY,BUY,29,2024-11-03T18:59:00Z,2024-11-03T17:59:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,FAIL
AROS-020241103081,YM,BUY,20,2024-11-03T19:26:00Z,2024-11-03T18:26:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,FAIL
AROS-020241103082,RTY,BUY,21,2024-11-03T15:40:00Z,2024-11-03T14:40:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,FAIL
AROS-020241103083,NQ,SELL,25,2024-11-03T17:49:00Z,2024-11-03T16:49:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,FAIL
AROS-020241103084,ES,BUY,38,2024-11-03T16:49:00Z,2024-11-03T15:49:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,PENDING
AROS-020241103085,YM,SELL,36,2024-11-03T19:39:00Z,2024-11-03T18:39:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,LATE
AROS-020241103086,YM,BUY,30,2024-11-03T16:14:00Z,2024-11-03T15:14:00Z,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,60,LATE

# Log entry 00000: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00001: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00002: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00003: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00004: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00005: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00006: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00007: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00008: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00009: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00010: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00011: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00012: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00013: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00014: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00015: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00016: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00017: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00018: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00019: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00020: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00021: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00022: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00023: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00024: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00025: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00026: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00027: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00028: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00029: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00030: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00031: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00032: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00033: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00034: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00035: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00036: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00037: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00038: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00039: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00040: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00041: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00042: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00043: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00044: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00045: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00046: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00047: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00048: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00049: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00050: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00051: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00052: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00053: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00054: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00055: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00056: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00057: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00058: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00059: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00060: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00061: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00062: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00063: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00064: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00065: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00066: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00067: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00068: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00069: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00070: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00071: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00072: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00073: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00074: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00075: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00076: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00077: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00078: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00079: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00080: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00081: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00082: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00083: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00084: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00085: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00086: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00087: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00088: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00089: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00090: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00091: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00092: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00093: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00094: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00095: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00096: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00097: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00098: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00099: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00100: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00101: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00102: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00103: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00104: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00105: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00106: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00107: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00108: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00109: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00110: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00111: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00112: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00113: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00114: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00115: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00116: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00117: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00118: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00119: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00120: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00121: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00122: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00123: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00124: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00125: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00126: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00127: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00128: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00129: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00130: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00131: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00132: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
# Log entry 00133: audit trail for regulatory review — ArtemisQ Capital AROS v4.2 incident 2024-11-03
