influencer_id,handle,platform,follower_count,post_date,campaign,disclosed_material_connection,disclosure_format,disclosure_position,post_reach,engagement_rate_pct,clicks,conversions,revenue_usd,claim_used,claim_compliant,ftc_issue_flag,penalty_risk_usd
INF-006,@doctordave_wellness,Instagram,198000,2026-07-03,ProBio+ Q1,NO,none,none,53424,3.27,1395,40,1617.78,Doctor recommended for immune function,NO,YES,51744.0
INF-007,@probioticlover,TikTok,28000,2026-06-29,ProBio+ Q1,NO,buried in hashtags,end_of_caption,11433,2.82,149,5,214.86,May help support gut health,NO,YES,51744.0
INF-008,@wellnessmama_official,Instagram,412000,2026-07-02,ProBio+ Q1,YES,Ad: at beginning,beginning_of_caption,108968,8.47,5645,248,10984.89,Supports immune and digestive health,YES,NO,0.0
INF-009,@holistichealthguru,YouTube,88000,2026-06-29,ProBio+ Q1,YES,Verbal+on-screen first 30s,beginning_of_video,31159,2.57,603,22,964.33,Clinically inspired probiotic formula supports wellness,YES,NO,0.0
INF-010,@fitfoodienutritionist,Instagram,55000,2026-07-01,ProBio+ Q1,YES,#ad at beginning,beginning_of_caption,10090,4.71,276,11,488.06,Supports digestive comfort,YES,NO,0.0
INF-001,@drwellnessnetwork,Instagram,285000,2026-07-08,ProBio+ Q1,NO,none,none,125846,6.91,5244,81,3492.44,Clinically demonstrated to support immune function,NO,YES,51744.0
INF-002,@healthcoach_jay,TikTok,42000,2026-07-12,ProBio+ Q1,NO,#giftedpartnership at hashtag end,end_of_caption,14350,5.88,389,14,597.62,May help support immune health,NO,YES,51744.0
INF-003,@nutritionbyjessica,Instagram,67500,2026-07-12,ProBio+ Q1,YES,Ad: at beginning,beginning_of_caption,28804,7.95,1464,41,1662.52,Supports digestive wellness based on probiotic blend,YES,NO,0.0
INF-004,@fitnesswithmark,YouTube,125000,2026-07-08,ProBio+ Q1,YES,Verbal+on-screen first 30s,beginning_of_video,51702,7.37,1992,27,1198.26,B-vitamins support energy metabolism,YES,NO,0.0
INF-005,@momlifewellness,Instagram,38000,2026-07-06,ProBio+ Q1,YES,#ad at beginning,beginning_of_caption,6676,5.06,144,5,219.1,Supports immune health naturally,YES,NO,0.0
INF-006,@doctordave_wellness,Instagram,198000,2026-07-07,ProBio+ Q1,NO,none,none,68889,8.14,2613,76,3269.75,Doctor recommended for immune function,NO,YES,51744.0
INF-007,@probioticlover,TikTok,28000,2026-07-07,ProBio+ Q1,NO,buried in hashtags,end_of_caption,12002,6.86,556,19,797.71,May help support gut health,NO,YES,51744.0
INF-008,@wellnessmama_official,Instagram,412000,2026-07-11,ProBio+ Q1,YES,Ad: at beginning,beginning_of_caption,142124,4.74,4089,65,2672.38,Supports immune and digestive health,YES,NO,0.0
INF-009,@holistichealthguru,YouTube,88000,2026-07-08,ProBio+ Q1,YES,Verbal+on-screen first 30s,beginning_of_video,13755,5.51,481,5,217.65,Clinically inspired probiotic formula supports wellness,YES,NO,0.0
INF-010,@fitfoodienutritionist,Instagram,55000,2026-07-06,ProBio+ Q1,YES,#ad at beginning,beginning_of_caption,12027,7.87,704,10,411.8,Supports digestive comfort,YES,NO,0.0
INF-001,@drwellnessnetwork,Instagram,285000,2026-07-18,ProBio+ Q1,NO,none,none,84252,5.41,3142,129,5530.37,Clinically demonstrated to support immune function,NO,YES,51744.0
INF-002,@healthcoach_jay,TikTok,42000,2026-07-14,ProBio+ Q1,NO,#giftedpartnership at hashtag end,end_of_caption,16186,7.21,555,8,337.16,May help support immune health,NO,YES,51744.0
INF-003,@nutritionbyjessica,Instagram,67500,2026-07-16,ProBio+ Q1,YES,Ad: at beginning,beginning_of_caption,18449,7.59,590,19,821.2,Supports digestive wellness based on probiotic blend,YES,NO,0.0
INF-004,@fitnesswithmark,YouTube,125000,2026-07-13,ProBio+ Q1,YES,Verbal+on-screen first 30s,beginning_of_video,33848,4.07,1025,20,818.82,B-vitamins support energy metabolism,YES,NO,0.0
INF-005,@momlifewellness,Instagram,38000,2026-07-16,ProBio+ Q1,YES,#ad at beginning,beginning_of_caption,7298,3.03,129,5,201.83,Supports immune health naturally,YES,NO,0.0
INF-006,@doctordave_wellness,Instagram,198000,2026-07-19,ProBio+ Q1,NO,none,none,80864,5.49,1865,83,3666.12,Doctor recommended for immune function,NO,YES,51744.0
INF-007,@probioticlover,TikTok,28000,2026-07-13,ProBio+ Q1,NO,buried in hashtags,end_of_caption,11981,7.49,418,11,451.65,May help support gut health,NO,YES,51744.0
INF-008,@wellnessmama_official,Instagram,412000,2026-07-16,ProBio+ Q1,YES,Ad: at beginning,beginning_of_caption,173341,2.9,2015,50,2231.13,Supports immune and digestive health,YES,NO,0.0
INF-009,@holistichealthguru,YouTube,88000,2026-07-19,ProBio+ Q1,YES,Verbal+on-screen first 30s,beginning_of_video,25212,4.63,913,40,1710.75,Clinically inspired probiotic formula supports wellness,YES,NO,0.0
INF-010,@fitfoodienutritionist,Instagram,55000,2026-07-18,ProBio+ Q1,YES,#ad at beginning,beginning_of_caption,16280,3.07,243,3,131.01,Supports digestive comfort,YES,NO,0.0
INF-001,@drwellnessnetwork,Instagram,285000,2026-07-20,ProBio+ Q2,NO,none,none,106701,2.18,1473,42,1858.65,Clinically demonstrated to support immune function,NO,YES,51744.0
INF-002,@healthcoach_jay,TikTok,42000,2026-07-21,ProBio+ Q2,NO,#giftedpartnership at hashtag end,end_of_caption,7016,5.2,270,3,120.99,May help support immune health,NO,YES,51744.0
INF-003,@nutritionbyjessica,Instagram,67500,2026-07-26,ProBio+ Q2,YES,Ad: at beginning,beginning_of_caption,14887,2.6,292,5,214.81,Supports digestive wellness based on probiotic blend,YES,NO,0.0
INF-004,@fitnesswithmark,YouTube,125000,2026-07-24,ProBio+ Q2,YES,Verbal+on-screen first 30s,beginning_of_video,21824,6.2,847,19,784.58,B-vitamins support energy metabolism,YES,NO,0.0
INF-005,@momlifewellness,Instagram,38000,2026-07-25,ProBio+ Q2,YES,#ad at beginning,beginning_of_caption,13864,3.4,263,8,331.92,Supports immune health naturally,YES,NO,0.0
INF-006,@doctordave_wellness,Instagram,198000,2026-07-22,ProBio+ Q2,NO,none,none,84883,8.07,2765,89,3809.64,Doctor recommended for immune function,NO,YES,51744.0
INF-007,@probioticlover,TikTok,28000,2026-07-20,ProBio+ Q2,NO,buried in hashtags,end_of_caption,4815,3.23,78,3,133.18,May help support gut health,NO,YES,51744.0
INF-008,@wellnessmama_official,Instagram,412000,2026-07-21,ProBio+ Q2,YES,Ad: at beginning,beginning_of_caption,107473,2.86,2254,79,3400.82,Supports immune and digestive health,YES,NO,0.0
INF-009,@holistichealthguru,YouTube,88000,2026-07-26,ProBio+ Q2,YES,Verbal+on-screen first 30s,beginning_of_video,30464,1.85,409,8,346.46,Clinically inspired probiotic formula supports wellness,YES,NO,0.0
INF-010,@fitfoodienutritionist,Instagram,55000,2026-07-21,ProBio+ Q2,YES,#ad at beginning,beginning_of_caption,12613,7.76,682,11,455.39,Supports digestive comfort,YES,NO,0.0
INF-001,@drwellnessnetwork,Instagram,285000,2026-07-28,ProBio+ Q2,NO,none,none,104105,3.16,2150,44,1867.04,Clinically demonstrated to support immune function,NO,YES,51744.0
INF-002,@healthcoach_jay,TikTok,42000,2026-08-02,ProBio+ Q2,NO,#giftedpartnership at hashtag end,end_of_caption,6940,6.05,307,4,166.63,May help support immune health,NO,YES,51744.0
INF-003,@nutritionbyjessica,Instagram,67500,2026-07-28,ProBio+ Q2,YES,Ad: at beginning,beginning_of_caption,23026,3.56,570,17,716.18,Supports digestive wellness based on probiotic blend,YES,NO,0.0
INF-004,@fitnesswithmark,YouTube,125000,2026-07-27,ProBio+ Q2,YES,Verbal+on-screen first 30s,beginning_of_video,22945,8.13,1261,21,843.57,B-vitamins support energy metabolism,YES,NO,0.0
INF-005,@momlifewellness,Instagram,38000,2026-07-29,ProBio+ Q2,YES,#ad at beginning,beginning_of_caption,12340,2.79,155,3,133.45,Supports immune health naturally,YES,NO,0.0
INF-006,@doctordave_wellness,Instagram,198000,2026-08-02,ProBio+ Q2,NO,none,none,87448,2.07,983,33,1429.71,Doctor recommended for immune function,NO,YES,51744.0
INF-007,@probioticlover,TikTok,28000,2026-07-29,ProBio+ Q2,NO,buried in hashtags,end_of_caption,10752,7.72,466,15,611.44,May help support gut health,NO,YES,51744.0
INF-008,@wellnessmama_official,Instagram,412000,2026-07-28,ProBio+ Q2,YES,Ad: at beginning,beginning_of_caption,168665,8.34,10188,418,16767.62,Supports immune and digestive health,YES,NO,0.0
INF-009,@holistichealthguru,YouTube,88000,2026-08-01,ProBio+ Q2,YES,Verbal+on-screen first 30s,beginning_of_video,37606,7.04,1494,50,2183.26,Clinically inspired probiotic formula supports wellness,YES,NO,0.0
INF-010,@fitfoodienutritionist,Instagram,55000,2026-07-28,ProBio+ Q2,YES,#ad at beginning,beginning_of_caption,12652,7.08,397,16,708.53,Supports digestive comfort,YES,NO,0.0
INF-001,@drwellnessnetwork,Instagram,285000,2026-08-04,ProBio+ Q2,NO,none,none,59813,7.95,2567,100,4434.66,Clinically demonstrated to support immune function,NO,YES,51744.0
INF-002,@healthcoach_jay,TikTok,42000,2026-08-04,ProBio+ Q2,NO,#giftedpartnership at hashtag end,end_of_caption,6598,3.09,108,4,179.3,May help support immune health,NO,YES,51744.0
INF-003,@nutritionbyjessica,Instagram,67500,2026-08-05,ProBio+ Q2,YES,Ad: at beginning,beginning_of_caption,17235,5.21,603,24,999.5,Supports digestive wellness based on probiotic blend,YES,NO,0.0
INF-004,@fitnesswithmark,YouTube,125000,2026-08-03,ProBio+ Q2,YES,Verbal+on-screen first 30s,beginning_of_video,23075,8.3,902,39,1611.38,B-vitamins support energy metabolism,YES,NO,0.0
INF-005,@momlifewellness,Instagram,38000,2026-08-03,ProBio+ Q2,YES,#ad at beginning,beginning_of_caption,12500,4.12,368,9,404.2,Supports immune health naturally,YES,NO,0.0
INF-006,@doctordave_wellness,Instagram,198000,2026-08-03,ProBio+ Q2,NO,none,none,52580,5.66,1493,52,2079.92,Doctor recommended for immune function,NO,YES,51744.0
INF-007,@probioticlover,TikTok,28000,2026-08-09,ProBio+ Q2,NO,buried in hashtags,end_of_caption,8722,6.62,402,13,543.54,May help support gut health,NO,YES,51744.0
INF-008,@wellnessmama_official,Instagram,412000,2026-08-03,ProBio+ Q2,YES,Ad: at beginning,beginning_of_caption,179080,7.97,9266,314,12752.52,Supports immune and digestive health,YES,NO,0.0
INF-009,@holistichealthguru,YouTube,88000,2026-08-05,ProBio+ Q2,YES,Verbal+on-screen first 30s,beginning_of_video,26588,6.27,884,30,1282.86,Clinically inspired probiotic formula supports wellness,YES,NO,0.0
INF-010,@fitfoodienutritionist,Instagram,55000,2026-08-04,ProBio+ Q2,YES,#ad at beginning,beginning_of_caption,15187,8.1,825,34,1464.3,Supports digestive comfort,YES,NO,0.0
INF-001,@drwellnessnetwork,Instagram,285000,2026-08-12,ProBio+ Q2,NO,none,none,77469,7.39,2985,56,2459.45,Clinically demonstrated to support immune function,NO,YES,51744.0
INF-002,@healthcoach_jay,TikTok,42000,2026-08-14,ProBio+ Q2,NO,#giftedpartnership at hashtag end,end_of_caption,14549,4.92,412,7,296.49,May help support immune health,NO,YES,51744.0
INF-003,@nutritionbyjessica,Instagram,67500,2026-08-16,ProBio+ Q2,YES,Ad: at beginning,beginning_of_caption,25028,6.21,798,27,1163.33,Supports digestive wellness based on probiotic blend,YES,NO,0.0
INF-004,@fitnesswithmark,YouTube,125000,2026-08-10,ProBio+ Q2,YES,Verbal+on-screen first 30s,beginning_of_video,49440,6.83,2259,43,1762.38,B-vitamins support energy metabolism,YES,NO,0.0
INF-005,@momlifewellness,Instagram,38000,2026-08-10,ProBio+ Q2,YES,#ad at beginning,beginning_of_caption,6226,8.39,336,12,507.2,Supports immune health naturally,YES,NO,0.0
INF-006,@doctordave_wellness,Instagram,198000,2026-08-15,ProBio+ Q2,NO,none,none,63894,6.61,2338,58,2362.22,Doctor recommended for immune function,NO,YES,51744.0
INF-007,@probioticlover,TikTok,28000,2026-08-15,ProBio+ Q2,NO,buried in hashtags,end_of_caption,4246,6.83,205,3,126.35,May help support gut health,NO,YES,51744.0
INF-008,@wellnessmama_official,Instagram,412000,2026-08-11,ProBio+ Q2,YES,Ad: at beginning,beginning_of_caption,161187,6.46,6099,185,8246.81,Supports immune and digestive health,YES,NO,0.0
INF-009,@holistichealthguru,YouTube,88000,2026-08-10,ProBio+ Q2,YES,Verbal+on-screen first 30s,beginning_of_video,25250,7.17,1207,53,2277.26,Clinically inspired probiotic formula supports wellness,YES,NO,0.0
INF-010,@fitfoodienutritionist,Instagram,55000,2026-08-16,ProBio+ Q2,YES,#ad at beginning,beginning_of_caption,22958,5.9,931,26,1147.71,Supports digestive comfort,YES,NO,0.0
INF-001,@drwellnessnetwork,Instagram,285000,2026-08-21,ProBio+ Q3,NO,none,none,80875,2.87,1728,46,2012.45,Clinically demonstrated to support immune function,NO,YES,51744.0
INF-002,@healthcoach_jay,TikTok,42000,2026-08-23,ProBio+ Q3,NO,#giftedpartnership at hashtag end,end_of_caption,14334,6.93,604,19,785.9,May help support immune health,NO,YES,51744.0
INF-003,@nutritionbyjessica,Instagram,67500,2026-08-17,ProBio+ Q3,YES,Ad: at beginning,beginning_of_caption,24574,3.37,442,18,727.07,Supports digestive wellness based on probiotic blend,YES,NO,0.0
INF-004,@fitnesswithmark,YouTube,125000,2026-08-18,ProBio+ Q3,YES,Verbal+on-screen first 30s,beginning_of_video,27422,6.45,1207,17,714.48,B-vitamins support energy metabolism,YES,NO,0.0
INF-005,@momlifewellness,Instagram,38000,2026-08-21,ProBio+ Q3,YES,#ad at beginning,beginning_of_caption,11011,2.22,179,4,175.36,Supports immune health naturally,YES,NO,0.0
INF-006,@doctordave_wellness,Instagram,198000,2026-08-22,ProBio+ Q3,NO,none,none,30860,7.7,1497,41,1832.85,Doctor recommended for immune function,NO,YES,51744.0
INF-007,@probioticlover,TikTok,28000,2026-08-19,ProBio+ Q3,NO,buried in hashtags,end_of_caption,10529,7.52,618,15,655.91,May help support gut health,NO,YES,51744.0
INF-008,@wellnessmama_official,Instagram,412000,2026-08-21,ProBio+ Q3,YES,Ad: at beginning,beginning_of_caption,160663,7.82,7479,157,6659.66,Supports immune and digestive health,YES,NO,0.0
INF-009,@holistichealthguru,YouTube,88000,2026-08-20,ProBio+ Q3,YES,Verbal+on-screen first 30s,beginning_of_video,22073,6.35,787,13,550.25,Clinically inspired probiotic formula supports wellness,YES,NO,0.0
INF-010,@fitfoodienutritionist,Instagram,55000,2026-08-18,ProBio+ Q3,YES,#ad at beginning,beginning_of_caption,24431,5.38,1002,31,1342.45,Supports digestive comfort,YES,NO,0.0
INF-001,@drwellnessnetwork,Instagram,285000,2026-08-24,ProBio+ Q3,NO,none,none,97705,2.71,1548,21,879.6,Clinically demonstrated to support immune function,NO,YES,51744.0
INF-002,@healthcoach_jay,TikTok,42000,2026-08-25,ProBio+ Q3,NO,#giftedpartnership at hashtag end,end_of_caption,12029,4.06,367,7,313.22,May help support immune health,NO,YES,51744.0
INF-003,@nutritionbyjessica,Instagram,67500,2026-08-27,ProBio+ Q3,YES,Ad: at beginning,beginning_of_caption,15233,2.35,145,4,179.96,Supports digestive wellness based on probiotic blend,YES,NO,0.0
INF-004,@fitnesswithmark,YouTube,125000,2026-08-26,ProBio+ Q3,YES,Verbal+on-screen first 30s,beginning_of_video,27158,2.26,480,6,240.87,B-vitamins support energy metabolism,YES,NO,0.0
INF-005,@momlifewellness,Instagram,38000,2026-08-25,ProBio+ Q3,YES,#ad at beginning,beginning_of_caption,7972,1.94,71,1,43.34,Supports immune health naturally,YES,NO,0.0
INF-006,@doctordave_wellness,Instagram,198000,2026-08-28,ProBio+ Q3,NO,none,none,85996,4.92,2126,51,2193.99,Doctor recommended for immune function,NO,YES,51744.0
INF-007,@probioticlover,TikTok,28000,2026-08-29,ProBio+ Q3,NO,buried in hashtags,end_of_caption,10234,7.01,333,7,300.18,May help support gut health,NO,YES,51744.0
INF-008,@wellnessmama_official,Instagram,412000,2026-08-26,ProBio+ Q3,YES,Ad: at beginning,beginning_of_caption,132968,7.88,5764,248,10163.45,Supports immune and digestive health,YES,NO,0.0
INF-009,@holistichealthguru,YouTube,88000,2026-08-28,ProBio+ Q3,YES,Verbal+on-screen first 30s,beginning_of_video,31432,6.0,831,31,1371.49,Clinically inspired probiotic formula supports wellness,YES,NO,0.0
INF-010,@fitfoodienutritionist,Instagram,55000,2026-08-28,ProBio+ Q3,YES,#ad at beginning,beginning_of_caption,21541,7.13,962,12,511.84,Supports digestive comfort,YES,NO,0.0
INF-001,@drwellnessnetwork,Instagram,285000,2026-09-05,ProBio+ Q3,NO,none,none,74433,5.19,2072,82,3616.34,Clinically demonstrated to support immune function,NO,YES,51744.0
INF-002,@healthcoach_jay,TikTok,42000,2026-08-31,ProBio+ Q3,NO,#giftedpartnership at hashtag end,end_of_caption,11762,4.23,376,10,407.55,May help support immune health,NO,YES,51744.0
INF-003,@nutritionbyjessica,Instagram,67500,2026-09-01,ProBio+ Q3,YES,Ad: at beginning,beginning_of_caption,24984,8.27,1049,40,1707.23,Supports digestive wellness based on probiotic blend,YES,NO,0.0
INF-004,@fitnesswithmark,YouTube,125000,2026-09-03,ProBio+ Q3,YES,Verbal+on-screen first 30s,beginning_of_video,36182,7.33,1689,38,1566.26,B-vitamins support energy metabolism,YES,NO,0.0
INF-005,@momlifewellness,Instagram,38000,2026-08-31,ProBio+ Q3,YES,#ad at beginning,beginning_of_caption,8879,4.82,299,9,389.98,Supports immune health naturally,YES,NO,0.0
INF-006,@doctordave_wellness,Instagram,198000,2026-09-02,ProBio+ Q3,NO,none,none,31404,7.5,1113,21,923.56,Doctor recommended for immune function,NO,YES,51744.0
INF-007,@probioticlover,TikTok,28000,2026-09-02,ProBio+ Q3,NO,buried in hashtags,end_of_caption,6549,5.79,285,8,340.59,May help support gut health,NO,YES,51744.0
INF-008,@wellnessmama_official,Instagram,412000,2026-09-01,ProBio+ Q3,YES,Ad: at beginning,beginning_of_caption,72381,6.62,2853,105,4561.52,Supports immune and digestive health,YES,NO,0.0
INF-009,@holistichealthguru,YouTube,88000,2026-09-05,ProBio+ Q3,YES,Verbal+on-screen first 30s,beginning_of_video,31992,4.8,624,13,546.16,Clinically inspired probiotic formula supports wellness,YES,NO,0.0
INF-010,@fitfoodienutritionist,Instagram,55000,2026-09-01,ProBio+ Q3,YES,#ad at beginning,beginning_of_caption,13302,5.7,446,13,547.53,Supports digestive comfort,YES,NO,0.0
INF-001,@drwellnessnetwork,Instagram,285000,2026-09-12,ProBio+ Q3,NO,none,none,89808,4.16,2172,48,1974.85,Clinically demonstrated to support immune function,NO,YES,51744.0
INF-002,@healthcoach_jay,TikTok,42000,2026-09-12,ProBio+ Q3,NO,#giftedpartnership at hashtag end,end_of_caption,8726,2.6,139,5,204.58,May help support immune health,NO,YES,51744.0
INF-003,@nutritionbyjessica,Instagram,67500,2026-09-08,ProBio+ Q3,YES,Ad: at beginning,beginning_of_caption,25081,3.65,582,21,902.45,Supports digestive wellness based on probiotic blend,YES,NO,0.0
INF-004,@fitnesswithmark,YouTube,125000,2026-09-07,ProBio+ Q3,YES,Verbal+on-screen first 30s,beginning_of_video,49973,3.78,1028,22,957.66,B-vitamins support energy metabolism,YES,NO,0.0
INF-005,@momlifewellness,Instagram,38000,2026-09-08,ProBio+ Q3,YES,#ad at beginning,beginning_of_caption,8827,8.33,456,15,609.32,Supports immune health naturally,YES,NO,0.0
INF-006,@doctordave_wellness,Instagram,198000,2026-09-13,ProBio+ Q3,NO,none,none,74415,2.49,750,16,678.14,Doctor recommended for immune function,NO,YES,51744.0
INF-007,@probioticlover,TikTok,28000,2026-09-09,ProBio+ Q3,NO,buried in hashtags,end_of_caption,5748,2.14,95,2,88.2,May help support gut health,NO,YES,51744.0
INF-008,@wellnessmama_official,Instagram,412000,2026-09-10,ProBio+ Q3,YES,Ad: at beginning,beginning_of_caption,122579,5.67,4688,79,3479.61,Supports immune and digestive health,YES,NO,0.0
INF-009,@holistichealthguru,YouTube,88000,2026-09-09,ProBio+ Q3,YES,Verbal+on-screen first 30s,beginning_of_video,15448,3.46,333,8,343.77,Clinically inspired probiotic formula supports wellness,YES,NO,0.0
INF-010,@fitfoodienutritionist,Instagram,55000,2026-09-11,ProBio+ Q3,YES,#ad at beginning,beginning_of_caption,11973,5.3,368,9,398.62,Supports digestive comfort,YES,NO,0.0
INF-001,@drwellnessnetwork,Instagram,285000,2026-09-17,ProBio+ Q4,NO,none,none,68860,5.96,2642,96,4293.88,Clinically demonstrated to support immune function,NO,YES,51744.0
INF-002,@healthcoach_jay,TikTok,42000,2026-09-15,ProBio+ Q4,NO,#giftedpartnership at hashtag end,end_of_caption,14181,3.57,218,4,171.0,May help support immune health,NO,YES,51744.0
INF-003,@nutritionbyjessica,Instagram,67500,2026-09-15,ProBio+ Q4,YES,Ad: at beginning,beginning_of_caption,10179,4.82,312,6,246.88,Supports digestive wellness based on probiotic blend,YES,NO,0.0
INF-004,@fitnesswithmark,YouTube,125000,2026-09-19,ProBio+ Q4,YES,Verbal+on-screen first 30s,beginning_of_video,29351,7.56,950,18,743.63,B-vitamins support energy metabolism,YES,NO,0.0
INF-005,@momlifewellness,Instagram,38000,2026-09-20,ProBio+ Q4,YES,#ad at beginning,beginning_of_caption,12825,6.23,617,16,683.4,Supports immune health naturally,YES,NO,0.0
INF-006,@doctordave_wellness,Instagram,198000,2026-09-19,ProBio+ Q4,NO,none,none,38549,3.58,630,8,351.63,Doctor recommended for immune function,NO,YES,51744.0
INF-007,@probioticlover,TikTok,28000,2026-09-18,ProBio+ Q4,NO,buried in hashtags,end_of_caption,10491,5.61,303,4,173.73,May help support gut health,NO,YES,51744.0
INF-008,@wellnessmama_official,Instagram,412000,2026-09-19,ProBio+ Q4,YES,Ad: at beginning,beginning_of_caption,111550,3.62,2487,65,2793.71,Supports immune and digestive health,YES,NO,0.0
INF-009,@holistichealthguru,YouTube,88000,2026-09-17,ProBio+ Q4,YES,Verbal+on-screen first 30s,beginning_of_video,32591,5.84,781,15,650.42,Clinically inspired probiotic formula supports wellness,YES,NO,0.0
INF-010,@fitfoodienutritionist,Instagram,55000,2026-09-20,ProBio+ Q4,YES,#ad at beginning,beginning_of_caption,17740,8.17,1159,39,1612.16,Supports digestive comfort,YES,NO,0.0
INF-001,@drwellnessnetwork,Instagram,285000,2026-09-21,ProBio+ Q4,NO,none,none,107995,2.97,1948,51,2110.42,Clinically demonstrated to support immune function,NO,YES,51744.0
INF-002,@healthcoach_jay,TikTok,42000,2026-09-25,ProBio+ Q4,NO,#giftedpartnership at hashtag end,end_of_caption,11792,7.26,674,18,756.57,May help support immune health,NO,YES,51744.0
INF-003,@nutritionbyjessica,Instagram,67500,2026-09-23,ProBio+ Q4,YES,Ad: at beginning,beginning_of_caption,23695,7.55,951,33,1367.23,Supports digestive wellness based on probiotic blend,YES,NO,0.0
INF-004,@fitnesswithmark,YouTube,125000,2026-09-24,ProBio+ Q4,YES,Verbal+on-screen first 30s,beginning_of_video,49258,5.49,1573,35,1456.22,B-vitamins support energy metabolism,YES,NO,0.0
INF-005,@momlifewellness,Instagram,38000,2026-09-27,ProBio+ Q4,YES,#ad at beginning,beginning_of_caption,10307,5.25,430,14,597.84,Supports immune health naturally,YES,NO,0.0
INF-006,@doctordave_wellness,Instagram,198000,2026-09-24,ProBio+ Q4,NO,none,none,32919,5.27,1125,32,1350.41,Doctor recommended for immune function,NO,YES,51744.0
INF-007,@probioticlover,TikTok,28000,2026-09-21,ProBio+ Q4,NO,buried in hashtags,end_of_caption,5909,5.48,249,6,260.89,May help support gut health,NO,YES,51744.0
INF-008,@wellnessmama_official,Instagram,412000,2026-09-21,ProBio+ Q4,YES,Ad: at beginning,beginning_of_caption,65368,6.02,2832,100,4154.38,Supports immune and digestive health,YES,NO,0.0
INF-009,@holistichealthguru,YouTube,88000,2026-09-21,ProBio+ Q4,YES,Verbal+on-screen first 30s,beginning_of_video,27779,2.42,535,22,930.54,Clinically inspired probiotic formula supports wellness,YES,NO,0.0
INF-010,@fitfoodienutritionist,Instagram,55000,2026-09-21,ProBio+ Q4,YES,#ad at beginning,beginning_of_caption,18937,2.83,414,8,348.14,Supports digestive comfort,YES,NO,0.0
INF-001,@drwellnessnetwork,Instagram,285000,2026-10-01,ProBio+ Q4,NO,none,none,114118,8.37,4751,143,5992.83,Clinically demonstrated to support immune function,NO,YES,51744.0
